,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
708,15906,0.081%,0.837%,1.675%,7.266%,8.644%,13.614%,53.566%,10.265%,2.350%,1.702%
709,15909,0.265%,0.743%,2.440%,10.822%,7.374%,16.233%,50.875%,9.125%,1.698%,0.424%
710,15921,0.000%,0.000%,32.609%,41.304%,0.000%,26.087%,0.000000%,17.241%,0.000%,0.000%
711,15922,15.493%,5.634%,7.042%,45.070%,19.718%,2.817%,4.225%,21.428571%,16.129%,16.667%
712,15925,0.000%,10.345%,13.793%,5.172%,58.621%,12.069%,0.000%,9.523810%,8.333%,10.638%
713,15927,0.000%,0.000%,19.380%,0.000%,21.705%,38.372%,13.178%,0.000%,7.364%,31.313131%
714,15930,0.000%,-100.000000%,-100.000000%,0.000000%,0.000000%,0.000000%,12.313400%,10.077519%,9.527493%,8.983906%
715,15931,2.414%,6.388%,7.457%,14.639%,7.885%,16.748%,34.933%,6.143%,1.406%,1.987%
716,15934,33.945%,22.018%,32.110%,0.000000%,0.000%,39.785%,0.000%,0.000%,0.000%,82.051282%
717,15938,0.226%,3.950%,10.722%,10.158%,12.077%,53.950%,5.079%,2.483%,1.354%,21.904762%
718,15940,1.411%,2.457%,4.286%,8.207%,6.534%,20.910%,45.008%,6.848%,2.457%,1.882%
719,15942,0.592%,0.000%,7.574%,7.929%,11.124%,11.006%,53.018%,3.905%,3.669%,1.183%
720,15943,1.340%,3.231%,7.092%,7.880%,10.638%,56.895%,9.929%,2.994%,0.000%,13.008130%
721,15945,0.000%,7.042%,14.085%,0.000%,9.859%,56.338%,12.676%,0.000%,0.000000%,0.000%
722,15946,0.000%,0.790%,3.203%,11.647%,8.819%,16.431%,50.624%,6.364%,1.581%,0.541%
723,15948,8.543%,0.000%,21.106%,43.216%,19.095%,8.040%,0.000%,0.000000%,0.000%,0.000%
724,15951,0.000%,7.792%,18.831%,7.792%,7.143%,49.351%,0.000%,9.091%,-100.000000%,-2.429713%
725,15952,2.784%,6.852%,5.782%,5.139%,39.400%,36.831%,3.212%,0.000%,0.000000%,0.000%
726,15955,0.965%,2.894%,14.684%,7.181%,14.041%,44.587%,9.110%,6.538%,0.000%,25.613079%
727,15956,0.718%,0.837%,0.957%,4.545%,9.450%,19.258%,52.871%,8.971%,2.392%,0.000%
728,15957,8.560%,7.004%,10.506%,5.058%,51.751%,8.560%,4.669%,3.891%,8.064516%,6.944%
729,15958,0.000%,0.401%,2.537%,15.754%,12.417%,8.411%,50.868%,4.406%,3.204%,2.003%
730,15960,0.000%,7.254%,19.689%,10.363%,52.332%,7.772%,2.591%,0.000000%,0.000%,0.000%
731,15961,0.000%,0.000%,2.875%,13.099%,10.543%,10.224%,44.089%,13.419%,4.153%,1.597%
732,15962,0.000%,1.695%,5.085%,6.780%,13.559%,72.881%,0.000%,5.555556%,0.000%,10.526%
733,15963,0.337%,1.089%,4.098%,12.889%,9.310%,15.223%,46.162%,7.106%,2.516%,1.271%
734,16613,0.000%,1.594%,1.992%,5.976%,8.566%,16.335%,58.167%,4.980%,2.390%,21.739130%
735,16619,3.000%,0.000%,10.000%,76.000%,7.000%,4.000%,5.128205%,0.000%,7.595%,5.128%
