,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
0,16914,1.655%,0.000%,3.862%,8.000%,10.621%,12.414%,54.621%,4.690%,3.724%,0.414%
1,16925,0.512%,0.256%,5.456%,5.541%,8.696%,14.066%,50.725%,9.292%,5.200%,0.256%
2,16926,0.000%,1.767%,3.180%,6.360%,5.300%,16.961%,48.763%,12.721%,3.887%,1.060%
3,16936,1.161%,1.032%,3.484%,7.226%,4.258%,13.419%,56.129%,10.065%,2.194%,1.032%
4,16947,0.413%,0.708%,5.251%,8.909%,6.549%,17.168%,48.791%,7.965%,1.829%,2.419%
5,17724,0.179%,1.668%,1.429%,8.219%,5.122%,8.100%,62.299%,10.423%,2.085%,0.476%
6,18623,0.108%,3.688%,6.508%,5.748%,15.944%,50.217%,15.184%,1.735%,0.868%,8.737864%
7,18810,0.000%,2.042%,6.687%,9.954%,8.474%,15.467%,45.023%,8.729%,2.399%,1.225%
8,18814,3.704%,16.667%,55.556%,6.666667%,14.815%,11.538%,6.667%,33.333%,0.000%,27.273%
9,18817,5.357%,10.714%,0.000%,51.786%,32.143%,0.000%,44.827586%,13.333%,20.408%,44.828%
10,18829,0.727%,2.909%,8.364%,5.455%,14.182%,55.273%,7.636%,1.818%,3.636%,17.441860%
11,18830,1.894%,0.758%,2.652%,8.333%,6.818%,12.500%,52.652%,11.364%,3.030%,0.000%
12,18831,0.616%,2.259%,5.133%,4.723%,13.347%,59.754%,9.035%,5.133%,4.687500%,8.333%
13,18832,0.291%,0.437%,1.164%,6.841%,8.588%,10.917%,61.863%,4.949%,4.658%,0.291%
14,18833,0.525%,0.000%,1.181%,6.955%,6.824%,12.861%,61.549%,8.924%,0.919%,0.262%
15,18837,0.879%,1.074%,7.617%,6.934%,14.551%,54.785%,11.816%,2.344%,10.714286%,2.509%
16,18840,1.148%,2.688%,2.949%,16.388%,10.125%,13.074%,41.936%,9.134%,1.592%,0.966%
17,18845,0.000%,1.550%,8.527%,3.876%,13.178%,58.140%,6.977%,6.977%,0.775%,14.285714%
18,18846,0.000%,3.659%,7.622%,7.622%,15.244%,54.268%,11.585%,12.244898%,8.197%,10.268%
19,18848,1.506%,1.851%,3.734%,13.147%,8.190%,13.681%,44.807%,10.857%,1.820%,0.408%
20,18850,1.138%,11.380%,3.983%,17.354%,53.058%,10.953%,0.427%,1.707%,18.340611%,10.078%
21,18851,0.749%,5.993%,7.865%,14.607%,11.985%,49.064%,2.996%,5.243%,1.498%,11.235955%
22,18853,1.944%,0.000%,3.753%,8.579%,8.244%,13.539%,54.558%,7.038%,1.340%,1.005%
23,18854,0.000%,4.419%,4.186%,10.698%,11.163%,48.140%,17.442%,3.953%,5.732484%,0.000%
24,18414,1.893%,4.942%,8.623%,20.978%,7.308%,16.877%,33.807%,3.996%,1.157%,0.421%
25,18419,0.718%,1.568%,4.442%,16.003%,7.446%,15.676%,45.983%,6.532%,1.372%,0.261%
26,18446,0.319%,1.036%,4.223%,9.402%,6.375%,14.900%,49.960%,11.633%,0.558%,1.594%
27,18612,1.481%,2.935%,6.091%,14.839%,9.164%,18.148%,37.500%,7.489%,0.651%,1.703%
28,18614,0.591%,0.000%,1.870%,6.594%,9.252%,16.142%,54.823%,7.677%,3.051%,0.000%
29,18615,0.459%,0.766%,2.603%,11.792%,8.423%,16.080%,50.689%,5.819%,3.369%,15.428571%
30,18618,2.585%,0.369%,9.970%,14.254%,16.396%,15.066%,33.900%,5.908%,1.551%,0.000%
31,18623,0.108%,3.688%,6.508%,5.748%,15.944%,50.217%,15.184%,1.735%,0.868%,8.737864%
32,18625,6.630%,2.210%,8.287%,16.022%,13.260%,12.707%,38.122%,0.000%,2.762%,27.777778%
33,18629,0.000%,0.175%,3.509%,6.667%,7.018%,17.544%,57.544%,4.561%,2.281%,0.702%
34,18630,0.267%,0.267%,1.426%,8.824%,4.100%,12.210%,56.150%,12.389%,4.189%,0.178%
35,18636,0.000%,3.358%,5.970%,5.970%,11.940%,60.261%,11.381%,1.119%,0.000%,6.666667%
36,18657,0.605%,1.304%,4.751%,12.087%,8.477%,20.005%,45.575%,5.659%,1.141%,0.396%
37,18844,0.898%,0.449%,2.695%,10.778%,7.036%,19.311%,42.515%,11.527%,4.790%,0.000%
38,18405,0.000%,0.000%,4.666%,5.090%,10.498%,25.875%,44.433%,7.741%,0.954%,0.742%
39,18415,1.695%,7.415%,32.415%,6.568%,8.051%,33.475%,8.475%,1.907%,23.369565%,10.400%
40,18417,1.733%,1.485%,3.713%,6.931%,4.703%,19.059%,47.277%,13.861%,1.238%,3.603604%
41,18421,0.444%,1.498%,2.607%,12.257%,8.264%,16.528%,46.866%,7.044%,3.661%,0.832%
42,18424,0.944%,0.892%,6.768%,16.159%,8.132%,19.203%,38.248%,6.768%,1.574%,1.312%
43,18427,0.000000%,10.914%,16.865%,21.391%,50.000000%,0.000000%,13.020590%,12.301201%,10.459911%,34.780899%
44,18428,0.849%,1.721%,4.917%,13.053%,6.460%,23.201%,41.350%,6.616%,1.408%,0.425%
45,18431,0.183%,1.904%,7.094%,14.345%,7.094%,16.223%,45.905%,5.477%,1.382%,0.391%
46,18436,1.789%,1.502%,6.890%,13.295%,7.310%,19.965%,40.658%,6.272%,0.883%,1.436%
47,18437,0.000%,9.589%,4.110%,26.027%,9.589%,15.068%,32.877%,2.740%,0.000000%,12.821%
48,18438,2.268%,9.897%,10.103%,5.361%,23.918%,37.732%,7.010%,1.649%,2.062%,37.209302%
49,18439,1.587%,17.460%,3.175%,30.688%,40.212%,6.878%,0.000%,7.272727%,16.327%,8.609%
50,18443,6.250%,5.208%,6.250%,20.833%,57.292%,4.167%,69.230769%,0.000%,0.000%,69.231%
51,18444,1.130%,1.686%,5.592%,15.943%,11.223%,16.121%,39.342%,7.773%,0.773%,0.416%
52,18445,0.672%,1.248%,8.733%,16.411%,4.127%,14.683%,46.257%,4.894%,0.672%,2.303%
53,18453,1.182%,0.000%,1.655%,9.220%,4.492%,28.842%,45.626%,8.511%,0.473%,5.504587%
54,18454,11.614335%,9.509987%,34.780899%,29.333279%,21.570254%,4.085016%,3.299391%,1.750927%,100.000000%,15.755627%
55,18455,12.500%,12.500%,56.250%,9.375%,9.375%,0.000000%,0.000%,0.000%,0.000%,0.000%
56,18456,0.000%,3.472%,1.389%,4.861%,0.694%,24.306%,51.389%,5.556%,7.639%,0.694%
57,18459,28.571%,14.286%,57.143%,0.000%,0.000%,0.000000%,10.914%,16.865%,21.391%,0.000000%
58,18460,2.703%,16.216%,6.757%,4.054%,0.000%,17.568%,27.027%,20.270%,5.405%,100.000000%
59,18461,1.183%,0.000%,0.000%,6.509%,4.142%,18.343%,48.521%,13.018%,8.284%,19.512195%
60,18462,1.235%,5.556%,12.346%,11.728%,11.111%,36.420%,20.370%,0.000%,1.235%,0.000000%
61,18463,0.000%,2.174%,8.696%,14.130%,66.304%,8.696%,0.000000%,10.256%,8.571%,0.000%
62,18465,2.570%,0.214%,10.064%,11.135%,5.996%,19.700%,36.617%,11.563%,1.927%,0.214%
63,18469,0.000%,21.918%,72.603%,5.479%,0.000000%,0.000%,0.000%,0.000%,0.000%,46.975%
64,18470,0.900%,0.643%,4.499%,14.781%,8.997%,16.967%,42.416%,8.226%,2.571%,21.200000%
65,18472,0.670%,0.380%,2.100%,3.999%,3.552%,19.794%,50.402%,13.427%,3.150%,2.525%
66,18473,6.349%,1.587%,15.344%,0.000%,14.815%,54.497%,7.407%,17.721519%,26.786%,11.310%
67,18847,0.938%,0.296%,4.741%,9.136%,6.519%,16.049%,48.691%,10.123%,2.420%,1.086%
68,17005,0.000%,8.451%,11.268%,16.901%,56.338%,5.634%,1.408%,32.653061%,0.000%,9.756%
69,17017,1.070%,0.000%,6.061%,8.021%,6.061%,14.795%,55.615%,6.417%,1.070%,0.891%
70,17018,1.412%,2.202%,6.042%,16.883%,5.195%,19.989%,40.429%,5.872%,0.282%,1.694%
71,17020,0.280%,0.374%,2.741%,8.411%,7.009%,22.866%,48.411%,8.318%,0.717%,0.872%
72,17022,1.887%,1.813%,6.494%,18.672%,7.823%,14.275%,39.188%,7.454%,1.413%,0.980%
73,17023,0.245%,1.145%,3.189%,9.975%,6.541%,18.152%,44.563%,7.686%,7.931%,0.572%
74,17028,0.000%,1.926%,4.470%,10.729%,9.904%,14.099%,46.974%,10.041%,1.444%,0.413%
75,17030,4.207%,5.825%,4.854%,8.738%,59.223%,3.560%,10.356%,3.236%,6.474820%,5.921%
76,17032,0.209%,0.870%,3.862%,12.909%,8.594%,11.378%,50.452%,8.525%,1.705%,1.496%
77,17033,4.662%,9.069%,10.358%,21.902%,8.612%,13.985%,22.936%,2.289%,1.356%,4.831%
78,17034,0.650%,0.780%,12.614%,11.313%,16.905%,45.124%,8.583%,4.031%,0.000%,17.475728%
79,17036,6.771%,8.038%,11.895%,23.367%,9.797%,13.359%,23.733%,2.435%,0.422%,0.183%
80,17048,0.728%,0.324%,0.809%,6.149%,5.663%,12.298%,48.544%,13.592%,10.680%,1.214%
81,17057,0.816%,1.857%,3.672%,13.944%,7.120%,18.348%,41.100%,10.272%,2.716%,0.155%
82,17061,1.652%,3.855%,6.216%,9.795%,17.624%,40.165%,11.802%,7.356%,1.534%,17.647059%
83,17078,1.243%,2.358%,7.328%,22.691%,5.719%,17.100%,37.122%,4.773%,1.469%,0.198%
84,17080,4.444%,0.000%,7.778%,7.778%,5.556%,51.111%,17.778%,5.556%,0.000%,18.181818%
85,17097,0.000%,0.000%,14.545%,5.818%,15.636%,44.364%,17.091%,2.545%,21.348315%,2.000%
86,17098,0.236%,2.479%,5.549%,7.792%,17.119%,53.365%,11.452%,1.181%,0.826%,8.527132%
87,17101,3.262%,3.874%,12.029%,10.398%,0.000%,14.067%,36.290%,13.150%,6.932%,0.000%
88,17102,1.294%,5.070%,8.270%,22.366%,6.616%,17.620%,25.279%,11.327%,1.762%,0.396%
89,17103,0.319%,0.256%,1.118%,13.578%,8.051%,16.070%,39.681%,11.693%,7.412%,1.821%
90,17104,0.000%,2.063%,2.991%,8.540%,7.199%,21.163%,29.373%,20.586%,5.507%,2.578%
91,17109,0.480%,1.397%,7.576%,17.847%,7.111%,20.288%,36.287%,5.827%,1.397%,1.792%
92,17110,2.033%,4.647%,6.655%,22.187%,7.589%,17.982%,29.840%,6.339%,1.743%,0.985%
93,17111,1.935%,2.381%,8.492%,19.191%,7.915%,21.283%,29.373%,5.875%,2.425%,1.129%
94,17112,1.261%,3.512%,9.539%,25.926%,7.830%,18.080%,27.427%,4.885%,1.229%,0.311%
95,17113,0.251%,0.408%,4.016%,11.484%,5.083%,18.419%,45.560%,12.018%,2.291%,0.471%
96,17120,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
97,17980,1.343%,0.627%,7.610%,9.042%,12.981%,56.132%,9.758%,1.791%,0.716%,12.024048%
98,15613,0.953%,1.715%,4.764%,12.805%,11.052%,15.587%,47.485%,3.925%,1.353%,0.362%
99,15618,0.357%,3.571%,4.167%,7.500%,18.690%,51.786%,11.667%,1.429%,0.833%,5.382436%
100,15656,1.013%,1.281%,5.542%,16.359%,10.221%,13.111%,44.398%,4.708%,3.039%,0.328%
101,15673,3.667%,5.623%,9.780%,2.934%,14.181%,55.501%,5.868%,2.445%,20.348837%,1.215%
102,15686,4.626%,2.491%,6.406%,8.541%,64.413%,13.523%,0.000%,3.260870%,12.353%,0.000%
103,15690,0.000%,0.811%,3.347%,8.012%,9.669%,16.160%,50.406%,8.485%,2.502%,0.609%
104,15732,0.341%,1.193%,2.726%,5.792%,7.836%,9.199%,60.647%,8.859%,2.555%,0.852%
105,15736,2.542%,3.814%,8.898%,18.220%,15.254%,45.339%,3.390%,2.119%,0.424%,11.224490%
106,15774,8.539%,0.352%,3.961%,7.658%,9.595%,15.845%,43.046%,8.187%,1.761%,1.056%
107,16025,1.084%,0.619%,1.754%,10.784%,8.411%,16.563%,53.922%,4.644%,1.187%,1.032%
108,16028,0.284%,0.711%,2.845%,11.095%,6.117%,14.367%,53.058%,7.966%,0.000%,3.556%
109,16041,0.000%,0.000%,1.211%,5.518%,5.518%,14.939%,57.604%,11.036%,2.826%,1.346%
110,16049,3.145%,7.123%,5.735%,15.171%,54.024%,10.731%,2.775%,1.295%,14.330218%,4.054%
111,16055,2.682%,1.596%,3.736%,18.902%,6.992%,19.093%,42.976%,2.874%,1.086%,0.064%
112,16201,1.506%,1.245%,3.996%,10.667%,8.561%,16.124%,46.449%,8.669%,2.060%,0.722%
113,16210,0.000%,7.184%,6.897%,11.207%,47.701%,23.851%,2.011%,1.149%,14.024390%,1.042%
114,16212,6.557%,12.295%,14.754%,54.918%,6.557%,2.459%,2.459%,10.256410%,0.000%,8.911%
115,16218,0.000%,0.798%,6.587%,3.593%,15.170%,55.090%,14.970%,2.994%,0.798%,23.529412%
116,16222,0.248%,2.602%,9.913%,6.691%,13.259%,49.318%,7.435%,10.161%,0.372%,20.673077%
117,16223,5.660%,0.000%,22.642%,71.698%,0.000%,0.000000%,10.914%,16.865%,25.668%,15.789%
118,16224,0.937%,0.937%,2.576%,7.260%,9.368%,7.026%,51.054%,17.330%,3.044%,0.468%
119,16226,1.011%,0.488%,2.510%,10.216%,10.251%,17.469%,51.116%,5.718%,0.872%,0.349%
120,16228,0.000%,8.808%,10.363%,13.472%,57.513%,8.290%,1.554%,0.000%,7.142857%,2.381%
121,16229,0.337%,0.731%,3.825%,15.636%,12.542%,17.829%,43.026%,4.106%,0.731%,1.237%
122,16236,8.491%,7.547%,61.792%,4.717%,17.453%,35.714286%,0.000%,13.139%,35.714%,0.000%
123,16238,0.000%,0.000%,4.651%,16.279%,13.953%,16.279%,45.736%,1.550%,1.550%,14.893617%
124,16240,1.411%,0.403%,0.605%,3.831%,6.653%,4.032%,69.556%,9.476%,3.024%,1.008%
125,16242,1.066%,0.502%,4.765%,9.154%,8.464%,7.398%,52.602%,11.348%,4.451%,0.251%
126,16244,0.000%,0.000%,34.783%,46.377%,7.246%,5.797%,5.797%,0.000000%,0.000%,0.000%
127,16245,0.000%,7.059%,9.412%,62.353%,17.647%,3.529%,0.000%,0.000000%,0.000%,8.108%
128,16249,0.882%,1.029%,1.765%,16.324%,9.853%,11.618%,49.118%,7.059%,2.353%,0.000%
129,16250,0.000%,5.172%,9.483%,56.034%,21.552%,7.759%,0.000%,0.000000%,0.000%,0.000%
130,16253,7.317%,9.756%,60.976%,21.951%,0.000000%,10.914%,16.865%,25.668%,11.538%,100.000000%
131,16259,0.000%,3.184%,4.486%,4.486%,16.498%,56.440%,11.867%,2.171%,0.868%,9.550562%
132,16262,0.394%,1.280%,1.870%,11.811%,7.776%,14.272%,51.772%,7.972%,2.067%,0.787%
133,16263,6.250%,11.458%,14.583%,2.083%,44.792%,20.833%,0.000000%,0.000%,12.088%,0.000%
134,16038,1.293%,0.808%,1.778%,11.803%,6.144%,10.914%,49.717%,8.407%,7.357%,1.778%
135,16127,5.135%,1.931%,6.794%,20.473%,7.044%,10.407%,39.218%,5.340%,2.772%,0.886%
136,16153,0.929%,4.334%,13.209%,8.462%,13.209%,47.472%,8.359%,3.818%,0.206%,22.475570%
137,16232,0.929%,0.786%,5.289%,9.221%,8.863%,11.079%,51.823%,8.863%,2.931%,0.214%
138,16301,0.631%,2.079%,3.563%,12.788%,8.983%,14.347%,49.666%,5.586%,1.429%,0.928%
139,16311,2.030%,4.061%,12.690%,7.107%,11.675%,51.777%,6.599%,4.061%,0.000%,22.727273%
140,16314,0.476%,0.688%,2.965%,5.982%,5.453%,15.246%,52.620%,9.158%,6.617%,0.794%
141,16317,0.577%,0.962%,5.385%,7.885%,15.000%,55.962%,9.808%,2.308%,2.115%,5.000000%
142,16319,5.172%,6.466%,6.466%,14.224%,64.224%,3.448%,0.000%,13.609467%,3.559%,5.585%
143,16323,0.245%,1.076%,3.908%,10.402%,8.590%,15.462%,49.047%,8.288%,2.360%,0.623%
144,16341,0.434%,4.335%,10.260%,8.237%,14.017%,52.168%,7.948%,1.879%,0.723%,13.551402%
145,16342,1.802%,8.559%,6.757%,14.302%,52.252%,8.559%,3.378%,4.392%,13.953488%,7.843%
146,16343,7.285%,11.921%,9.934%,54.305%,16.556%,60.000000%,0.000%,35.398%,60.000%,24.409%
147,16344,1.130%,2.825%,6.780%,23.164%,56.497%,3.390%,3.390%,2.825%,2.564103%,8.046%
148,16346,0.418%,5.351%,12.291%,1.756%,12.625%,56.187%,8.779%,0.585%,2.007%,25.495050%
149,16353,1.180%,0.295%,3.933%,10.226%,6.293%,14.061%,44.543%,12.291%,6.883%,0.295%
150,16354,0.918%,1.335%,4.116%,8.899%,8.426%,16.852%,46.774%,9.121%,1.863%,1.696%
151,16362,0.000%,0.000%,0.889%,7.333%,7.111%,11.778%,53.556%,13.778%,4.444%,1.111%
152,16364,3.052%,9.390%,5.869%,16.901%,50.235%,5.164%,7.981%,1.408%,14.361702%,4.865%
153,16372,4.861%,12.500%,7.639%,9.028%,56.250%,8.333%,1.389%,20.895522%,10.769%,6.557%
154,16373,0.555%,0.462%,2.957%,11.553%,9.889%,16.543%,47.967%,6.100%,3.882%,0.092%
155,16374,0.487%,0.973%,3.893%,9.976%,7.908%,11.557%,53.163%,8.394%,3.650%,0.000%
156,15521,0.171%,0.342%,2.055%,9.247%,6.336%,14.041%,60.103%,4.623%,1.370%,1.712%
157,15522,0.632%,2.287%,3.162%,10.654%,8.952%,14.936%,47.823%,9.973%,0.997%,0.584%
158,15533,0.580%,3.675%,4.642%,8.897%,13.926%,40.812%,24.371%,1.547%,1.547%,2.343750%
159,15534,1.644%,4.110%,4.658%,18.356%,56.164%,12.055%,2.192%,0.822%,0.000000%,8.036%
160,15535,1.968%,0.000%,0.738%,6.888%,6.150%,7.134%,54.367%,19.557%,2.091%,1.107%
161,15537,1.272%,2.437%,2.013%,7.312%,4.981%,10.526%,60.473%,7.135%,2.190%,1.660%
162,15539,15.481%,6.276%,5.858%,8.787%,0.000%,63.598%,0.000%,11.702128%,20.290%,0.000%
163,15545,0.203%,0.811%,1.826%,4.665%,9.128%,10.243%,60.243%,7.404%,3.347%,2.130%
164,15550,1.195%,4.608%,6.655%,5.290%,16.041%,48.805%,13.481%,3.072%,0.853%,6.547619%
165,15554,0.556%,1.444%,7.556%,8.667%,4.667%,16.222%,53.444%,3.667%,0.889%,2.889%
166,15559,0.524%,5.505%,3.145%,5.505%,14.155%,48.493%,19.528%,1.311%,1.835%,5.392157%
167,15946,0.000%,0.790%,3.203%,11.647%,8.819%,16.431%,50.624%,6.364%,1.581%,0.541%
168,16625,1.616%,0.485%,8.805%,6.300%,5.654%,57.916%,13.166%,3.796%,2.262%,7.933194%
169,16633,21.739%,18.841%,59.420%,0.000%,0.000000%,0.000%,0.000%,0.000%,0.000%,100.000%
170,16650,0.131%,0.394%,3.281%,8.530%,6.562%,8.530%,55.118%,11.549%,3.675%,2.231%
171,16655,0.571%,0.571%,1.333%,6.667%,6.286%,12.571%,59.429%,7.238%,4.571%,0.762%
172,16657,1.822%,0.000%,3.846%,7.490%,4.453%,17.409%,55.466%,5.466%,2.834%,1.215%
173,16659,2.062%,3.093%,9.278%,7.216%,59.794%,18.557%,8.108108%,0.000%,2.970%,8.108%
174,16662,0.968%,0.458%,5.807%,12.736%,2.649%,14.060%,49.465%,5.553%,8.304%,0.000%
175,16664,0.723%,1.012%,2.168%,6.503%,10.983%,10.983%,48.699%,7.948%,10.116%,0.867%
176,16667,0.206%,2.263%,11.728%,3.086%,10.288%,63.580%,6.379%,2.469%,0.000%,4.663212%
177,16670,11.111%,38.889%,50.000%,0.000000%,0.000%,15.789%,0.000%,0.000%,27.273%,53.659%
178,16672,0.000%,4.082%,0.000%,13.265%,61.224%,16.327%,5.102%,0.000000%,30.435%,0.000%
179,16673,0.355%,1.064%,1.419%,14.252%,5.973%,13.601%,54.406%,7.156%,1.301%,0.473%
180,16678,0.346%,0.807%,4.037%,10.957%,5.767%,14.994%,47.290%,11.419%,3.691%,0.692%
181,16679,1.250%,1.250%,3.438%,1.250%,13.125%,65.938%,10.625%,3.125%,6.451613%,2.913%
182,16694,5.797%,2.899%,0.000%,4.348%,71.014%,13.043%,0.000%,2.899%,16.666667%,0.000%
183,16695,0.293%,0.880%,4.106%,9.384%,10.850%,11.144%,50.147%,5.865%,7.331%,19.354839%
184,17211,3.676%,5.147%,11.765%,69.118%,7.353%,1.471%,1.471%,15.384615%,0.000%,1.869%
185,17022,1.887%,1.813%,6.494%,18.672%,7.823%,14.275%,39.188%,7.454%,1.413%,0.980%
186,17073,0.000%,2.512%,1.460%,6.834%,3.096%,15.304%,39.369%,18.458%,10.689%,2.278%
187,17501,0.952%,0.381%,6.349%,16.127%,8.889%,14.667%,38.222%,9.143%,2.730%,2.540%
188,17502,0.838%,0.942%,2.618%,13.717%,10.471%,14.555%,40.000%,12.356%,4.503%,0.000%
189,17505,4.332%,1.444%,5.054%,5.596%,5.596%,11.552%,24.729%,9.567%,32.130%,0.000%
190,17507,100.000%,0.000%,0.000000%,0.000000%,0.000000%,22.337554%,15.399115%,12.128713%,34.780899%,30.315023%
191,17508,5.263%,12.105%,10.526%,44.211%,13.158%,0.000%,14.737%,40.740741%,0.000%,0.000%
192,17509,0.235%,0.235%,4.239%,12.166%,3.611%,7.457%,35.086%,15.463%,20.173%,1.334%
193,17512,1.010%,0.428%,2.396%,14.222%,7.103%,11.672%,46.723%,11.946%,3.491%,1.010%
194,17516,1.256%,0.691%,17.337%,7.601%,7.915%,52.450%,10.364%,2.387%,21.673004%,7.967%
195,17517,0.983%,1.323%,4.064%,15.236%,7.902%,12.476%,38.733%,8.526%,7.732%,3.025%
196,17518,0.000%,0.754%,2.764%,2.261%,3.769%,12.312%,44.975%,14.573%,17.085%,1.508%
197,17519,0.000%,1.261%,5.480%,5.286%,15.664%,37.342%,5.917%,25.800%,3.249%,19.018405%
198,17520,1.994%,1.026%,7.521%,20.513%,5.071%,20.456%,38.234%,3.305%,1.880%,13.636364%
199,17522,0.668%,1.281%,6.060%,14.691%,5.485%,14.107%,38.775%,9.745%,7.842%,1.346%
200,17527,0.225%,0.449%,3.596%,6.573%,4.607%,13.371%,42.865%,10.337%,16.124%,1.854%
201,17529,2.355%,14.404%,3.186%,9.211%,30.194%,14.197%,25.831%,0.623%,7.824726%,6.345%
202,17532,0.545%,5.562%,7.852%,6.761%,16.903%,48.528%,6.216%,7.634%,14.981273%,3.704%
203,17535,1.565%,1.252%,9.390%,0.000%,7.199%,31.455%,25.352%,23.787%,6.772908%,4.559%
204,17536,0.492%,0.369%,1.599%,7.749%,3.321%,17.712%,34.194%,13.038%,21.525%,0.000%
205,17538,1.455%,2.057%,10.437%,33.618%,10.587%,10.587%,28.450%,2.007%,0.753%,0.050%
206,17540,1.373%,2.815%,6.831%,14.384%,5.184%,14.864%,35.221%,6.179%,12.427%,0.721%
207,17543,1.563%,3.361%,8.521%,23.744%,6.002%,13.974%,32.158%,6.380%,3.090%,1.206%
208,17545,0.803%,0.939%,4.654%,14.208%,5.934%,9.812%,49.864%,8.819%,4.614%,0.354%
209,17547,0.489%,0.178%,5.691%,16.052%,7.959%,14.451%,48.155%,5.914%,0.222%,0.889%
210,17550,5.246%,4.918%,85.574%,19.512195%,0.000%,5.556%,19.512%,6.161%,12.195%,5.660%
211,17551,2.293%,2.006%,11.000%,17.234%,6.163%,19.670%,34.611%,4.120%,0.681%,2.221%
212,17552,0.563%,1.823%,7.486%,16.469%,10.317%,14.186%,41.476%,5.574%,1.883%,0.222%
213,17554,0.408%,0.000%,6.944%,18.995%,9.804%,18.301%,35.539%,6.904%,2.083%,1.021%
214,17555,0.869%,0.460%,2.607%,10.532%,4.039%,9.611%,35.787%,15.900%,18.507%,1.687%
215,17557,0.380%,0.000%,2.959%,12.426%,3.191%,13.969%,33.284%,9.573%,21.851%,2.367%
216,17560,1.308%,7.789%,7.618%,10.517%,55.145%,14.156%,2.274%,1.194%,11.095101%,4.750%
217,17562,1.056%,2.356%,8.448%,2.518%,6.661%,34.362%,18.522%,23.721%,2.356%,8.089888%
218,17563,0.264%,0.704%,2.201%,6.426%,4.313%,7.042%,52.729%,15.317%,10.739%,0.264%
219,17565,1.801%,1.801%,11.090%,3.697%,15.166%,49.668%,13.175%,2.654%,0.948%,17.158177%
220,17566,1.188%,0.885%,3.287%,9.456%,6.448%,12.187%,43.540%,11.884%,9.785%,1.340%
221,17569,0.210%,1.417%,2.361%,18.258%,8.604%,15.425%,39.297%,9.077%,4.355%,0.997%
222,17570,40.678%,59.322%,0.000%,100.000000%,10.914%,16.865%,21.391%,40.678%,0.000000%,-13.829787%
223,17572,0.813%,1.445%,7.859%,3.252%,9.395%,44.896%,7.407%,24.932%,8.663366%,11.049%
224,17576,16.667%,16.667%,16.667%,50.000%,0.000%,0.000000%,10.914%,16.865%,25.668%,100.000000%
225,17578,1.082%,0.833%,3.830%,15.529%,5.870%,12.531%,41.799%,8.993%,6.370%,3.164%
226,17579,1.746%,2.003%,5.393%,12.686%,7.345%,17.771%,36.569%,6.574%,8.475%,1.438%
227,17581,7.857%,10.000%,10.357%,6.786%,46.786%,13.214%,5.000%,0.000%,19.658120%,0.000%
228,17582,1.152%,6.530%,16.901%,8.195%,12.036%,49.680%,5.506%,0.000%,16.410256%,15.449%
229,17584,1.300%,3.628%,6.741%,16.445%,7.195%,15.085%,38.755%,7.920%,2.116%,0.816%
230,17601,2.503%,3.726%,12.719%,25.717%,7.220%,15.368%,24.720%,4.526%,1.872%,1.628%
231,17602,0.911%,1.287%,6.171%,15.091%,5.192%,16.764%,34.673%,13.542%,4.736%,1.634%
232,17603,1.423%,2.206%,6.163%,15.897%,4.835%,16.008%,37.883%,11.543%,1.952%,2.090%
233,17606,0.000%,37.500%,6.579%,5.263%,47.368%,3.289%,0.000%,23.819%,17.612%,0.000000%
234,19310,0.460%,1.151%,3.797%,12.083%,4.028%,16.341%,40.391%,14.960%,6.214%,0.575%
235,19344,1.458%,0.391%,6.536%,15.026%,7.734%,16.693%,35.286%,9.844%,6.953%,0.078%
236,19362,0.265%,0.901%,3.075%,13.786%,5.779%,12.195%,45.864%,10.180%,7.370%,0.583%
237,19363,1.891%,0.643%,6.179%,19.006%,7.057%,14.834%,32.027%,9.123%,8.635%,0.604%
238,19501,0.750%,11.750%,10.250%,17.250%,45.500%,6.250%,8.250%,8.000000%,0.000%,12.603%
239,19540,0.932%,2.526%,6.376%,20.721%,7.160%,15.449%,39.676%,4.953%,1.986%,0.221%
240,19543,0.520%,1.608%,7.852%,25.828%,5.440%,16.887%,32.119%,5.345%,4.399%,0.000%
241,19551,0.764%,0.382%,4.855%,15.494%,6.874%,16.748%,43.917%,7.911%,2.400%,0.655%
242,15832,2.143%,11.429%,5.714%,12.857%,55.000%,10.000%,1.429%,1.429%,0.000000%,3.704%
243,15834,0.580%,0.580%,2.384%,13.789%,11.018%,16.366%,44.072%,7.668%,2.706%,0.838%
244,15861,2.857%,2.857%,5.714%,2.857%,5.714%,55.714%,20.000%,4.286%,0.000000%,3.030%
245,16720,2.575%,2.790%,5.150%,14.592%,64.378%,5.579%,1.931%,3.004%,7.936508%,4.225%
246,16666,0.285%,0.000%,1.614%,9.022%,6.268%,10.921%,58.025%,11.776%,0.285%,1.804%
247,16677,100.000%,0.000%,0.000000%,0.000%,0.000%,0.000%,0.000%,83.168%,100.000000%,0.000000%
248,16680,3.158%,10.526%,7.895%,16.842%,50.526%,7.368%,2.105%,1.579%,0.000000%,13.043%
249,16686,0.331%,0.486%,4.660%,11.617%,8.392%,14.664%,51.502%,5.367%,1.921%,1.060%
