,School Number,Cluster,County,School
2136,7722,0,PHILADELPHIA,WEST PHILA ACHIEVEMENT CS
991,2584,0,LANCASTER,LAFAYETTE EL SCH
1318,3170,0,MERCER,MUSSER EL SCH
558,6418,0,SUSQUEHANNA,ELK LAKE JSHS
990,4528,0,WYOMING,LACKAWANNA TRAIL JSH
2083,7164,0,LAWRENCE,WASHINGTON INTRMD EL
1323,5242,0,LUZERNE,NANTICOKE HS
300,3712,0,PHILADELPHIA,CHARLES W HENRY SCH
298,7943,0,DELAWARE,CHARLES KELLY ELEM SCHOOL
988,2399,0,JUNIATA,LACK-TUSCARORA EL SCH
992,7933,0,FAYETTE,LAFAYETTE ELEM SCHOOL
1327,3650,0,PHILADELPHIA,NEBINGER GEORGE W SCH
567,2022,0,ERIE,EMERSON-GRIDLEY EL SCH
569,3709,0,PHILADELPHIA,EMLEN ELEANOR COPE SCH
1338,694,0,BEAVER,NEW BRIGHTON AREA MS
1339,8284,0,LAWRENCE,NEW CASTLE JHS
1933,7884,0,ALLEGHENY,SUNNYSIDE EL SCH
277,1744,0,DAUPHIN,CENTRAL DAUPHIN EAST MS
966,8124,0,PHILADELPHIA,KIPP WEST PHILADELPHIA PREP CS
2156,7877,0,ALLEGHENY,WESTWOOD EL SCH
1827,7693,0,ALLEGHENY,SOUTH BROOK MIDDLE SCH
987,6825,0,PHILADELPHIA,LA BRUM GEN J HARRY
308,3805,0,PHILADELPHIA,CHESTER A ARTHUR
1313,827,0,BERKS,MUHLENBERG MS
310,8258,0,DELAWARE,CHESTER CS FOR THE ARTS
1020,2888,0,LUZERNE,LEE PARK EL SCH
339,921,0,BLAIR,CLAYSBURG-KIMMEL HS
1019,2754,0,LEBANON,LEBANON MS
1279,3770,0,PHILADELPHIA,MOORE J HAMPTON SCH
1016,3744,0,PHILADELPHIA,LAWTON HENRY W SCH
1846,2487,0,LACKAWANNA,SOUTH SCRANTON INTRM
1012,5146,0,FAYETTE,LAUREL HIGHLANDS MS
1285,8113,0,BUCKS,MORRISVILLE INTRMD SCH
1843,2793,0,LEHIGH,SOUTH MOUNTAIN MS
327,8094,0,ALLEGHENY,CLAIRTON MS/HS
1292,2779,0,LEHIGH,MOSSER EL SCH
