,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic,School Name,Assaults on Staff,Assaults on Students,Conduct OSS,county,enrollment
48,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,15.0,Lackawanna,1046.0
49,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,0.0,Lackawanna,1062.0
50,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,22.0,Lackawanna,1039.0
51,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,1.0,Lackawanna,1158.0
52,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,16.0,Lackawanna,1149.0
53,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,0.0,Lackawanna,1073.0
54,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,23.0,Lackawanna,1056.0
55,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,0.0,Lackawanna,1044.0
56,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,7.0,Lackawanna,1079.0
57,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,153.0,Montgomery,1731.0
58,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,4.0,Montgomery,1935.0
59,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,119.0,Montgomery,1717.0
60,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,143.0,Montgomery,1791.0
61,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,233.0,Montgomery,1733.0
62,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,70.0,Montgomery,1731.0
63,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,284.0,Montgomery,1854.0
64,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,214.0,Montgomery,1886.0
65,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,194.0,Montgomery,1773.0
66,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,191.0,Montgomery,1702.0
67,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,235.0,Montgomery,1700.0
68,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,178.0,Montgomery,1855.0
69,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln El Sch,0.0,0.0,0.0,Allegheny,329.0
70,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln EL School,0.0,0.0,0.0,Allegheny,354.0
