,School Number,Cluster,County,School
112,6019,2,ALLEGHENY,BEECHWOOD EL SCH
1571,8010,2,MONROE,POCONO MT EAST JHS
120,6977,2,ALLEGHENY,BELLEVUE EL SCH
118,1342,2,CENTRE,BELLEFONTE AREA MS
1564,4255,2,WASHINGTON,PLEASANT VALLEY EL SCH
117,8269,2,WESTMORELAND,BELLE VERNON AREA MS
1566,7660,2,MONROE,PLEASANT VALLEY INTRM
1763,8002,2,ALLEGHENY,SHALER AREA MS
2204,1932,2,DELAWARE,WOODLYN EL SCH
1576,1077,2,BUCKS,POQUESSING MS
1577,7055,2,MCKEAN,PORT ALLEGANY EL SCH
1585,3783,2,PHILADELPHIA,POWEL SAMUEL SCH
140,6808,2,COLUMBIA,BERWICK AREA MS
1583,6746,2,MONTGOMERY,POTTSGROVE MS
1533,7647,2,PHILADELPHIA,PHILADELPHIA PERF ARTS CS
1534,6785,2,NORTHAMPTON,PHILIP F LAUER MS
139,6921,2,ADAMS,BERMUDIAN SPRINGS MS
1758,4006,2,SOMERSET,SHADE JSHS
2195,1330,2,CENTRE,WINGATE EL SCH
1537,1779,2,DAUPHIN,PHILLIPS EL SCH
135,7988,2,WASHINGTON,BENTWORTH MS
1542,5262,2,SCHUYLKILL,PINE GROVE AREA MS
1543,3909,2,SCHUYLKILL,PINE GROVE EL SCH
133,1595,2,COLUMBIA,BENTON MIDDLE-SR HIGH SCHOOL
1770,7398,2,SOMERSET,SHANKSVILLE-STNYCRK MS
109,7021,2,BEDFORD,BEDFORD MS
1578,3111,2,MCKEAN,PORT ALLEGANY JSHS
1581,1270,2,CAMBRIA,PORTAGE AREA HS
88,6824,2,PHILADELPHIA,BALDI C C A MS
1610,2655,2,LANCASTER,QUARRYVILLE EL SCH
169,6891,2,SUSQUEHANNA,BLUE RIDGE EL SCH
1649,860,2,BERKS,RICHMOND EL SCH
1433,8004,2,CHESTER,OCTORARA INTERMEDIATE SCH
218,7477,2,WASHINGTON,BURGETTSTOWN AREA EL CN
215,2097,2,FAYETTE,BULLSKIN EL SCH
1437,2448,2,LACKAWANNA,OLD FORGE EL SCH
1438,2449,2,LACKAWANNA,OLD FORGE JSHS
1440,6319,2,BERKS,OLEY VALLEY MS
55,8342,2,ARMSTRONG,ARMSTRONG JSHS
1809,3116,2,MCKEAN,SMETHPORT AREA EL SCH
1807,6647,2,BUTLER,SLIPPERY ROCK AREA M
1443,1604,2,COLUMBIA,ORANGE STREET EL SCH
209,2192,2,FRANKLIN,BUCHANAN EL SCH
1741,3935,2,SCHUYLKILL,SCHUYLKILL HAVEN MS
2219,6390,2,LUZERNE,WYOMING AREA SEC CTR
1805,5034,2,CLARION,SLIGO EL SCH
1804,6727,2,LEHIGH,SLATINGTON EL SCH
62,8214,2,LEHIGH,ARTS ACADEMY CS
1450,7753,2,POTTER,OSWAYO VALLEY MS
1432,1414,2,CHESTER,OCTORARA AREA JSHS
219,4195,2,WASHINGTON,BURGETTSTOWN MIDDLE/HIGH SCHOOL
232,8051,2,WASHINGTON,CALIFORNIA AREA INTERMEDIATE M
2223,7611,2,CUMBERLAND,YELLOW BREECHES MID SCH
1417,7856,2,PHILADELPHIA,NORTHWOOD ACADEMY CS
1654,5033,2,CLARION,RIMERSBURG EL SCH
2166,2591,2,LANCASTER,WICKERSHAM EL SCH
229,6594,2,SOMERSET,CAIRNBROOK EL SCH
1420,1883,2,DELAWARE,NORWOOD SCH
1739,5264,2,SCHUYLKILL,SCHUYLKILL HAVEN  HS
1421,6623,2,CHESTER,NOTTINGHAM SCH
1814,6713,2,BRADFORD,SNYDER EL SCH
54,7123,2,MONROE,ARLINGTON HEIGHTS EL SCH
224,8343,2,BUTLER,BUTLER MS
222,6690,2,BUTLER,BUTLER AREA IHS
221,8054,2,NORTHAMPTON,BUSHKILL EL SCH
1811,2657,2,LANCASTER,SMITH MS
220,2598,2,LANCASTER,BURROWES SCH
1653,7218,2,DELAWARE,RIDLEY MS
2175,7357,2,SCHUYLKILL,WILLIAMS VALLEY EL SCH
202,6162,2,JEFFERSON,BROOKVILLE JSHS
201,7868,2,ALLEGHENY,BROOKLINE EL SCH
2182,8200,2,BUCKS,WILLOW DALE EL SCH
1480,1795,2,DAUPHIN,PAXTANG EL SCH
80,3221,2,MONROE,B F MOREY EL SCH
2214,1005,2,BRADFORD,WYALUSING VALLEY JSHS
1623,8168,2,CLARION,REDBANK VALLEY INTRMD SCH
1622,1495,2,CLARION,REDBANK VALLEY HS
2185,7352,2,LAWRENCE,WILMINGTON AREA MS
184,6309,2,BERKS,BRANDYWINE HEIGHTS MIDDLE SCHO
1620,4597,2,YORK,RED LION AREA JHS
2213,8175,2,BRADFORD,WYALUSING VALLEY EL SCH
1490,8160,2,ALLEGHENY,PENN HILLS CS FOR ENTREPRENEUR
1615,4457,2,WESTMORELAND,RAMSAY EL SCH
1789,8181,2,NORTHUMBERLAND,SHIKELLAMY MS
1614,1370,2,CHESTER,RAINBOW EL SCH
1750,6817,2,SNYDER,SELINSGROVE AREA MS
87,1335,2,CENTRE,BALD EAGLE AREA JSHS
1791,1729,2,CUMBERLAND,SHIPPENSBURG AREA MS
2180,8273,2,LYCOMING,WILLIAMSPORT AREA MS
2179,6373,2,TIOGA,WILLIAMSON SHS
1629,6242,2,CLINTON,RENOVO EL SCH
2176,3914,2,SCHUYLKILL,WILLIAMS VALLEY JSHS
199,2362,2,JEFFERSON,BROCKWAY JSHS
198,5148,2,JEFFERSON,BROCKWAY AREA ELEMENTARY SCHOOL
1461,7172,2,CARBON,PALMER EL SCH
70,6222,2,POTTER,AUSTIN AREA JSHS
71,30,2,ALLEGHENY,AVALON EL SCH
72,4165,2,WASHINGTON,AVELLA AREA JSHS
194,6468,2,MONTGOMERY,BRIDGEPORT EL SCH
2177,950,2,BLAIR,WILLIAMSBURG COMM EL
1465,1322,2,CARBON,PANTHER VALLEY EL SCH
1466,8349,2,CARBON,PANTHER VALLEY INTERMEDIATE SCH
191,7342,2,ALLEGHENY,BRENTWOOD MS
2178,951,2,BLAIR,WILLIAMSBURG COMM JSHS
1469,7056,2,LANCASTER,PARK EL SCH
1633,3165,2,MERCER,REYNOLDS JSHS
75,7721,2,CHESTER,AVON GROVE CS
1472,4606,2,YORK,PARK HILLS EL SCH
1656,8197,2,WASHINGTON,RINGGOLD EL SCH SOUTH
1499,1418,2,CHESTER,PENN'S GROVE SCH
2018,7289,2,ERIE,UNION CITY MS
323,7575,2,PHILADELPHIA,CHRISTOPHER COLUMBUS CS
606,7746,2,LACKAWANNA,FELL CS
922,8078,2,JEFFERSON,JENKS HILL EL SCH
925,3033,2,LYCOMING,JERSEY SHORE AREA MIDDLE SCHOOL
2071,7845,2,DELAWARE,WALTER M SENKOW ELEM SCH
598,3456,2,NORTHAMPTON,FARMERSVILLE EL SCH
596,7508,2,FRANKLIN,FANNETT-METAL MS
595,6826,2,FRANKLIN,FANNETT-METAL EL SCH
933,5326,2,ELK,JOHNSONBURG AREA EL
934,6218,2,ELK,JOHNSONBURG AREA HS
1948,8126,2,PHILADELPHIA,TACONY ACADEMY CHARTER SCHOOL
938,6157,2,CLEARFIELD,JUNIATA EL SCH
941,5230,2,HUNTINGDON,JUNIATA VALLEY EL SCH
942,2308,2,HUNTINGDON,JUNIATA VALLEY JSHS
943,5244,2,MCKEAN,KANE AREA EL SCH
944,3100,2,MCKEAN,KANE AREA MS
945,1154,2,BUTLER,KARNS CITY HS
1945,8281,2,MONROE,SWIFTWATER INTERM SCH
588,6270,2,ADAMS,FAIRFIELD AREA EL SCH
949,4084,2,UNION,KELLY EL SCH
1943,5054,2,LANCASTER,SWIFT MS
589,7322,2,ADAMS,FAIRFIELD AREA MS
585,787,2,BERKS,EXETER TWP JHS
917,2280,2,GREENE,JEFFERSON-MORGAN JSH
915,2808,2,LEHIGH,JEFFERSON EL SCH
626,6311,2,BERKS,FLEETWOOD MS
889,2052,2,ERIE,IROQUOIS ELEM SCHOOL
890,4817,2,ERIE,IROQUOIS JSHS
620,4583,2,YORK,FISHING CREEK EL SCH
2063,2396,2,JUNIATA,WALKER TWP EL SCH
617,1651,2,CRAWFORD,FIRST DISTRICT EL SCH
896,7366,2,MONROE,J T LAMBERT INTERMED
2064,6956,2,PIKE,WALLENPAUPACK AREA M
615,8005,2,DAUPHIN,FINK EL SCH
916,7029,2,GREENE,JEFFERSON-MORGAN EL
1952,7031,2,SCHUYLKILL,TAMAQUA EL SCH
903,3442,2,NORTHAMPTON,JAMES BUCHANAN EL SCH
904,6281,2,FRANKLIN,JAMES BUCHANAN MS
611,4947,2,JUNIATA,FERMANAGH-MIFFLINTOW
2066,4305,2,PIKE,WALLENPAUPACK SOUTH
909,6127,2,MERCER,JAMESTOWN AREA EL SCH
910,6126,2,MERCER,JAMESTOWN AREA JSHS
1951,7662,2,SCHUYLKILL,TAMAQUA AREA MS
913,8024,2,WESTMORELAND,JEANNETTE MCKEE ELEM
914,8025,2,WESTMORELAND,JEANNETTE MCKEE MS
614,1223,2,CAMBRIA,FERNDALE EL SCH
2076,7843,2,WARREN,WARREN AREA ELEM CTR
1940,7367,2,PERRY,SUSQUENITA MS
2077,4839,2,TIOGA,WARREN L MILLER EL SCH
994,2924,2,LUZERNE,LAKE-LEHMAN JSHS
995,7060,2,LUZERNE,LAKE-NOXEN EL SCH
996,6403,2,LACKAWANNA,LAKELAND EL SCH
997,6404,2,LACKAWANNA,LAKELAND JSHS
999,4705,2,DELAWARE,LAKEVIEW EL SCH
1000,7069,2,MERCER,LAKEVIEW MS
552,8137,2,LEBANON,ELCO INTERMEDIATE SCHOOL
322,5354,2,SUSQUEHANNA,CHOCONUT VALLEY EL SCH
551,4143,2,WARREN,EISENHOWER MS/HS
556,6862,2,LANCASTER,ELIZABETHTOWN AREA M
2085,7456,2,WASHINGTON,WASHINGTON PARK ES
1008,6421,2,SUSQUEHANNA,LATHROP STREET EL SCH
1928,8180,2,SULLIVAN,SULLIVAN CO EL SCH
2089,3574,2,NORTHUMBERLAND,WATSONTOWN EL SCH
1013,2680,2,LAWRENCE,LAUREL JSHS
1014,6940,2,WESTMORELAND,LAUREL VALLEY EL SCH
1015,7306,2,DAUPHIN,LAWNTON EL SCH
542,1926,2,DELAWARE,EDGEWOOD EL SCH
1926,7396,2,BUTLER,SUGARCREEK EL SCH
540,5043,2,DELAWARE,EDDYSTONE EL SCH
1929,4030,2,SULLIVAN,SULLIVAN CO JSHS
561,3257,2,MONTGOMERY,ELKINS PARK SCH
2081,4568,2,YORK,WASHINGTON EL SCH
985,6965,2,CARBON,L B MORRIS EL SCH
956,7979,2,PHILADELPHIA,KEYSTONE ACADEMY CHARTER SCHOOL
582,7866,2,MONROE,EVERGREEN COMMUNITY CS
958,6694,2,CLARION,KEYSTONE EL SCH
959,1486,2,CLARION,KEYSTONE JSHS
960,7462,2,ALLEGHENY,KEYSTONE OAKS MS
1938,1805,2,DAUPHIN,SUSQUEHANNA TWP MS
962,5056,2,LANCASTER,KING EL SCH
1937,4054,2,SUSQUEHANNA,SUSQUEHANNA COMM JS
964,1375,2,CHESTER,KINGS HIGHWAY EL SCH
580,7006,2,BEDFORD,EVERETT AREA EL SCH
967,3647,2,PHILADELPHIA,KIRKBRIDE ELIZA B SCH
969,7189,2,WESTMORELAND,KISKI AREA IHS
1936,6885,2,SUSQUEHANNA,SUSQUEHANNA COMM EL
575,7564,2,PHILADELPHIA,EUGENIO MARIA DE HOSTOS CS
975,7271,2,BUCKS,KLINGER MS
571,6712,2,LANCASTER,EPHRATA MS
568,1134,2,BUTLER,EMILY BRITTAIN EL SCH
566,1020,2,BUCKS,EMERSON EL SCH
565,69,2,ALLEGHENY,ELROY AVENUE EL SCH
983,6315,2,BERKS,KUTZTOWN AREA MS
984,6316,2,BERKS,KUTZTOWN EL SCH
885,6794,2,BERKS,INTERMEDIATE SCH
2091,6654,2,ERIE,WATTSBURG AREA MS
1958,2918,2,LUZERNE,THIRD AVENUE EL SCH
2060,1974,2,DELAWARE,W B EVANS EL SCH
775,3318,2,MONTGOMERY,HANCOCK EL SCH
776,5041,2,PHILADELPHIA,HANCOCK JOHN SCH
2004,7220,2,JUNIATA,TUSCARORA MS
2035,6339,2,DAUPHIN,UPPER DAUPHIN AREA M
782,4570,2,YORK,HANOVER MS
783,4566,2,YORK,HANOVER STREET EL SCH
785,2048,2,ERIE,HARBOR CREEK JUNIOR HS
2038,5249,2,MONTGOMERY,UPPER MORELAND MS
2001,6215,2,SOMERSET,TURKEYFOOT VALLEY AR EL
2006,8144,2,BEDFORD,TUSSEY MOUNTAIN JHS
788,8220,2,BRADFORD,HARLAN ROWE MS
790,8316,2,CLEARFIELD,HARMONY AREA JSHS
1999,4536,2,WYOMING,TUNKHANNOCK MS
692,1964,2,DELAWARE,GARRETTFORD EL SCH
793,6787,2,ALLEGHENY,HARRISON MS
1998,4670,2,BERKS,TULPEHOCKEN JSHS
2039,3406,2,MONTGOMERY,UPPER PERKIOMEN MS
797,6864,2,LEHIGH,HARRY S TRUMAN EL SCH
688,6223,2,POTTER,GALETON AREA SCH
1996,8192,2,BRADFORD,TROY INTRMD SCH
693,167,2,ALLEGHENY,GATEWAY MS
802,4115,2,VENANGO,HASSON HEIGHTS SCH
703,5062,2,NORTHAMPTON,GEORGE WOLF ELEM SCHOOL
705,8147,2,ADAMS,GETTYSBURG MONTESSORI CHARTER
732,191,2,ALLEGHENY,GRANDVIEW UPPER EL SCH
730,2208,2,FRANKLIN,GRANDVIEW EL SCH
2015,7083,2,LAWRENCE,UNION AREA MS
729,6357,2,NORTHUMBERLAND,GRACE S BECK SCH
727,3449,2,NORTHAMPTON,GOVERNOR WOLF EL SCH
726,801,2,BERKS,GOVERNOR MIFFLIN MS
746,6028,2,ALLEGHENY,GREENFIELD EL SCH
747,4372,2,WESTMORELAND,GREENSBURG-SALEM MS
748,3137,2,MERCER,GREENVILLE JSHS
771,6274,2,FRANKLIN,HAMILTON HEIGHTS EL
2024,2358,2,INDIANA,UNITED JSHS
717,3256,2,MONTGOMERY,GLENSIDE EL SCH
716,1881,2,DELAWARE,GLENOLDEN SCH
714,6952,2,CLEARFIELD,GLENDALE EL SCH
2012,7518,2,BLAIR,TYRONE AREA MS
759,4512,2,WESTMORELAND,H W GOOD EL SCH
2010,7328,2,BERKS,TWIN VALLEY MS
2032,7437,2,ADAMS,UPPER ADAMS MS
767,2626,2,LANCASTER,HAMBRIGHT EL SCH
768,7447,2,BERKS,HAMBURG AREA MS
752,8202,2,MERCER,GROVE CITY AREA MS
