,County,School,% Advanced,% Proficient,% Basic,% Below Basic
44,LEBANON,ANNVILLE EL SCH,27.13,37.87,24.42,10.63
45,BERKS,ANTIETAM MIDDLE/SENIOR HS,11.17,27.98,33.59,27.22
46,PHILADELPHIA,ANTONIA PANTOJA COMMUNITY CS,5.68,24.67,33.85,35.8
47,ARMSTRONG,APOLLO RIDGE EL,22.11,38.72,25.77,13.39
48,ARMSTRONG,APOLLO-RIDGE MS,15.79,33.4,35.26,15.6
49,COLUMBIA,APPLEMAN EL SCH,29.72,37.62,23.73,8.98
50,MONTGOMERY,ARCOLA INTRMD SCH,31.21,39.74,20.95,8.11
51,DELAWARE,ARDMORE AVENUE SCH,5.96,23.88,32.48,37.73
52,ADAMS,ARENDTSVILLE EL SCH,19.37,35.88,26.72,18.07
53,ALLEGHENY,ARLINGTON EL SCH,2.44,11.68,35.68,50.31
54,MONROE,ARLINGTON HEIGHTS EL SCH,18.92,35.43,28.33,17.32
55,ARMSTRONG,ARMSTRONG JSHS,9.89,34.6,36.45,19.1
56,BUCKS,ARMSTRONG MS,7.22,30.74,34.87,27.21
57,DELAWARE,ARONIMINK EL SCH,25.53,34.74,24.19,15.54
58,MONTGOMERY,ARROWHEAD EL SCH,48.11,36.71,11.38,3.77
59,ALLEGHENY,ARSENAL EL SCHOOL,3.9,20.59,36.84,38.61
60,ALLEGHENY,ARSENAL MS,4.71,21.74,39.51,34.05
61,MERCER,ARTMAN EL SCH,26.8,43.55,21.9,7.75
62,LEHIGH,ARTS ACADEMY CS,13.43,32.24,29.3,25.12
63,LEHIGH,ARTS ACADEMY ELEMENTARY CHARTE,3.72,25.0,35.07,36.21
64,NORTHAMPTON,ASA PACKER EL SCH,32.52,41.9,18.53,7.11
65,ERIE,ASBURY EL SCH,38.59,33.06,19.06,9.29
66,PHILADELPHIA,ASPIRA BILINGUAL CYBER CHARTER,0.94,4.68,19.61,74.78
67,DELAWARE,ASTON EL SCH,20.99,43.26,23.55,12.24
68,MONTGOMERY,AUDUBON EL SCH,36.82,39.84,15.94,7.42
69,POTTER,AUSTIN AREA EL SCH,19.45,48.68,23.89,7.94
70,POTTER,AUSTIN AREA JSHS,6.04,37.91,34.83,21.2
71,ALLEGHENY,AVALON EL SCH,12.8,39.98,30.41,16.81
72,WASHINGTON,AVELLA AREA JSHS,9.47,42.09,27.9,20.54
73,WASHINGTON,AVELLA EL CENTER,24.58,39.05,26.5,9.83
74,LYCOMING,AVIS EL SCH,31.58,50.58,15.39,2.39
75,CHESTER,AVON GROVE CS,21.16,35.56,27.17,16.1
76,CHESTER,AVON GROVE INTRMD SCH,30.74,38.18,20.03,11.05
77,NORTHAMPTON,AVONA EL,32.37,38.65,20.79,8.23
78,ALLEGHENY,AVONWORTH EL SCH,37.77,41.55,16.42,4.25
79,ALLEGHENY,AVONWORTH MS,26.51,41.71,22.81,8.96
80,MONROE,B F MOREY EL SCH,14.68,35.76,33.35,16.19
81,PHILADELPHIA,BACHE-MARTIN SCH,6.14,15.14,33.78,44.95
82,BEAVER,BADEN ACADEMY CS,24.71,37.84,24.5,12.95
83,WESTMORELAND,BAGGALEY EL SCH,34.52,43.41,16.03,6.03
84,LANCASTER,BAINBRIDGE EL SCH,28.75,45.0,18.75,7.5
85,BLAIR,BAKER EL SCH,40.33,37.31,14.95,7.42
86,MONTGOMERY,BALA-CYNWYD MS,45.02,35.81,13.76,5.37
87,CENTRE,BALD EAGLE AREA JSHS,21.64,35.63,30.83,11.9
88,PHILADELPHIA,BALDI C C A MS,21.89,35.19,25.9,17.01
89,CHESTER,BANCROFT EL SCH,29.9,36.57,20.61,12.92
90,NORTHAMPTON,BANGOR AREA MS,12.83,30.2,29.27,27.66
91,ALLEGHENY,BANKSVILLE ELEM SCHL,14.63,36.58,23.57,25.21
92,BUCKS,BARCLAY EL SCH,31.79,38.82,17.98,11.42
93,YORK,BARESVILLE EL SCH,23.48,42.26,22.1,12.16
94,CHESTER,BARKLEY EL SCH,20.62,38.11,25.18,16.06
95,ALLEGHENY,BARRETT EL SCH,3.93,18.99,38.7,38.38
96,PHILADELPHIA,BARRY COMM JOHN SCH,0.51,7.03,22.37,70.09
97,LANCASTER,BART-COLERAIN EL SCH,35.22,37.71,17.12,9.96
98,MONTGOMERY,BARTH EL SCH,13.6,35.96,31.57,18.85
99,BUCKS,BARTON EL SCH,8.95,28.21,31.76,31.08
100,LUZERNE,BEAR CREEK COMMUNITY CS,21.18,38.32,25.85,14.63
101,LANCASTER,BEAR CREEK SCHOOL,34.51,34.86,20.3,10.33
102,WARREN,BEATY-WARREN MS,19.4,36.06,30.53,14.06
103,CHESTER,BEAUMONT EL SCH,59.88,30.61,8.35,1.16
104,BEAVER,BEAVER AREA MS,16.01,39.62,30.92,13.45
105,CHESTER,BEAVER CREEK EL SCH,44.81,33.41,15.59,6.23
106,BEAVER,BEAVER FALLS MS,7.91,27.0,28.87,36.27
107,COLUMBIA,BEAVER-MAIN EL SCH,42.31,36.14,13.84,7.67
108,BEDFORD,BEDFORD ELEMENTARY,21.65,42.36,25.5,10.47
109,BEDFORD,BEDFORD MS,16.88,34.85,29.24,19.03
110,BUCKS,BEDMINSTER SCHOOL,42.98,39.41,12.71,4.86
111,PHILADELPHIA,BEEBER DIMNER MS,0.32,7.49,29.74,62.45
112,ALLEGHENY,BEECHWOOD EL SCH,19.54,39.03,28.22,13.21
113,DELAWARE,BELL AVENUE SCHOOL,0.94,22.13,34.18,42.79
114,JEFFERSON,BELL TWP EL SCH,55.55,41.65,2.8,0.0
115,CUMBERLAND,BELLAIRE EL SCH,22.8,39.15,25.12,12.98
116,ERIE,BELLE VALLEY EL SCH,28.57,35.25,20.82,15.31
117,WESTMORELAND,BELLE VERNON AREA MS,17.59,34.17,28.96,19.27
118,CENTRE,BELLEFONTE AREA MS,18.87,37.72,27.09,16.32
119,CENTRE,BELLEFONTE EL SCH,23.43,39.4,20.77,16.41
120,ALLEGHENY,BELLEVUE EL SCH,23.04,34.55,25.85,16.56
121,BLAIR,BELLWOOD ANTIS MS,20.02,38.02,24.46,17.45
122,PHILADELPHIA,BELMONT CS,2.08,18.83,34.11,44.93
123,BUCKS,BELMONT HILLS EL SCH,24.87,40.3,21.02,13.81
124,MONTGOMERY,BELMONT HILLS ELEM SCH,39.89,38.22,16.3,5.55
125,INDIANA,BEN FRANKLIN EL SCH,39.56,33.49,16.31,10.69
126,FAYETTE,BEN FRANKLIN SCH,10.03,30.76,31.53,27.73
127,ADAMS,BENDERSVILLE EL SCH,17.18,32.85,29.77,20.28
128,FRANKLIN,BENJAMIN CHAMBERS EL SCH,7.25,29.69,34.16,28.86
129,ALLEGHENY,BENJAMIN FRANKLIN EL,38.06,37.12,20.0,4.84
130,DAUPHIN,BENJAMIN FRANKLIN SCH,1.97,13.77,27.55,56.71
131,CENTRE,BENNER EL SCH,37.34,38.02,19.36,5.33
132,ELK,BENNETTS VALLEY EL SCH,19.88,45.17,21.06,13.87
133,COLUMBIA,BENTON MIDDLE-SR HIGH SCHOOL,16.24,35.3,28.61,19.77
134,WASHINGTON,BENTWORTH EL CTR,27.66,42.45,21.6,8.29
135,WASHINGTON,BENTWORTH MS,17.75,33.65,24.4,24.16
136,SOMERSET,BERLIN BROTHERSVALLE EL,25.53,38.69,24.68,11.12
137,SOMERSET,BERLIN BROTHERSVALLE MS,24.41,37.49,28.89,9.21
138,ADAMS,BERMUDIAN SPRINGS ELEM,26.76,38.25,22.5,12.49
139,ADAMS,BERMUDIAN SPRINGS MS,14.52,39.16,30.42,15.89
140,COLUMBIA,BERWICK AREA MS,13.41,33.5,31.86,21.17
141,BERKS,BETHEL EL,19.59,43.26,23.88,13.23
142,ALLEGHENY,BETHEL MEMORIAL EL SCH,27.36,45.23,20.63,6.76
143,DELAWARE,BETHEL SPRINGS EL,45.33,38.0,13.53,3.14
144,WASHINGTON,BETHLEHEM-CENTER EL,17.12,37.88,30.1,14.92
145,WASHINGTON,BETHLEHEM-CENTER MS,5.37,28.38,37.72,28.52
146,PHILADELPHIA,BETHUNE MARY MCLEOD,0.69,9.69,29.76,59.82
147,DELAWARE,BEVERLY HILLS MS,6.69,20.6,35.27,37.48
148,BEAVER,BIG BEAVER EL SCH,18.37,38.64,32.4,10.59
149,CUMBERLAND,BIG SPRING MS,16.31,30.95,32.5,20.15
150,ADAMS,BIGLERVILLE ELEM SCHOOL,13.45,38.3,25.5,22.75
151,BERKS,BIRDSBORO EL CTR,18.13,37.48,25.93,18.47
152,BEAVER,BLACKHAWK INTERMEDIATE,21.29,40.51,25.91,12.36
153,CAMBRIA,BLACKLICK VALLEY EL,7.59,30.04,32.99,29.38
154,CAMBRIA,BLACKLICK VALLEY JSH,2.55,19.81,37.07,40.64
155,PERRY,BLAIN EL SCH,13.54,38.19,28.54,19.74
156,PHILADELPHIA,BLAINE JAMES G SCHOOL,0.58,9.66,30.79,58.95
157,MONTGOMERY,BLAIR MILL EL SCH,34.62,40.17,20.09,5.13
158,INDIANA,BLAIRSVILLE EL SCH,27.68,39.86,18.11,14.39
159,INDIANA,BLAIRSVILLE MS,14.91,33.83,32.1,19.16
160,PHILADELPHIA,BLANKENBURG RUDOLPH,0.5,8.71,28.07,62.76
161,COLUMBIA,BLOOMSBURG AREA MS,17.21,38.66,31.59,12.61
162,TIOGA,BLOSSBURG EL SCH,10.77,32.73,35.41,21.08
163,LANCASTER,BLUE BALL EL SCH,27.73,36.21,22.12,13.96
164,MONTGOMERY,BLUE BELL EL SCH,44.0,34.69,14.95,6.28
165,SCHUYLKILL,BLUE MOUNTAIN EAST EL SCH,25.49,42.17,20.57,11.78
166,SCHUYLKILL,BLUE MOUNTAIN EL CRESSONA SCH,32.54,38.77,19.28,9.41
167,SCHUYLKILL,BLUE MOUNTAIN MS,17.75,35.65,30.24,16.41
168,SCHUYLKILL,BLUE MOUNTAIN WEST EL SCH,31.85,37.05,22.1,9.1
169,SUSQUEHANNA,BLUE RIDGE EL SCH,20.92,37.58,28.36,13.13
170,SUSQUEHANNA,BLUE RIDGE MS,14.74,27.85,31.18,26.2
171,GREENE,BOBTOWN EL SCH,28.58,35.22,24.0,12.21
172,WESTMORELAND,BON AIR EL.,28.5,42.2,19.1,10.15
173,DELAWARE,BOOTHWYN EL SCH,24.68,38.97,28.21,8.14
174,WASHINGTON,BORLAND MANOR EL SCH,36.25,45.17,13.77,4.83
175,WASHINGTON,BOWER HILL EL SCH,43.7,40.5,13.45,2.4
176,ALLEGHENY,BOYCE MS,40.2,38.29,16.01,5.55
177,BERKS,BOYERTOWN AREA JHS-E,29.28,40.63,22.21,7.88
178,BERKS,BOYERTOWN AREA JHS-W,23.78,40.3,27.22,8.67
179,BERKS,BOYERTOWN EL SCH,26.38,41.78,22.48,9.31
180,PHILADELPHIA,BOYS LATIN OF PHILADELPHIA CS,2.1,17.13,36.55,44.18
181,CHESTER,BRADFORD HGTS EL SCH,36.57,40.19,17.6,5.62
182,ALLEGHENY,BRADFORD WOODS EL SCH,53.68,29.98,10.9,5.44
183,BERKS,BRANDYWINE HEIGHTS ELEMENTARY,21.2,44.8,23.6,10.35
184,BERKS,BRANDYWINE HEIGHTS MIDDLE SCHO,16.23,36.77,30.82,16.23
185,BERKS,BRANDYWINE INTERMEDIATE SCHOOL,25.46,38.98,22.9,12.76
186,CHESTER,BRANDYWINE-WALLACE E,43.54,41.35,11.15,3.93
187,LANCASTER,BRECHT  EL SCH,43.15,38.92,14.04,3.85
188,LANCASTER,BRECKNOCK EL SCH,25.56,39.23,22.35,12.86
189,BEDFORD,BREEZEWOOD EL SCH,23.69,44.74,25.44,6.14
190,PHILADELPHIA,BREGY F. AMADEE ELEM SCH,1.61,12.06,28.92,57.42
191,ALLEGHENY,BRENTWOOD MS,17.0,35.26,28.42,19.33
192,PHILADELPHIA,BRIDESBURG SCH,9.96,29.91,31.97,28.16
193,BUCKS,BRIDGE VALLEY EL SCH,44.88,39.02,12.11,3.99
194,MONTGOMERY,BRIDGEPORT EL SCH,16.66,39.41,24.34,19.56
195,MONTGOMERY,BRIDLE PATH EL SCH,30.0,40.55,21.84,7.57
196,BUCKS,BRISTOL MS,12.59,23.22,35.83,28.37
197,CUMBERLAND,BROAD STREET EL SCH,25.71,39.5,23.52,11.21
198,JEFFERSON,BROCKWAY AREA ELEMENTARY SCHOOL,18.25,42.46,28.82,10.39
199,JEFFERSON,BROCKWAY JSHS,10.77,37.96,29.5,21.79
200,MONTGOMERY,BROOKE EL SCH,38.77,44.17,13.41,3.71
201,ALLEGHENY,BROOKLINE EL SCH,19.58,31.79,29.43,19.2
202,JEFFERSON,BROOKVILLE JSHS,8.87,34.16,34.81,22.15
203,NORTHAMPTON,BROUGHAL MS,1.86,15.48,32.1,50.55
204,PHILADELPHIA,BROWN HENRY A SCH,4.37,15.82,28.42,51.44
205,PHILADELPHIA,BROWN JOSEPH H SCH,9.07,27.48,33.15,30.33
206,LANCASTER,BROWNSTOWN EL SCH,31.8,39.72,20.27,8.21
207,FAYETTE,BROWNSVILLE AREA MS,5.59,23.44,31.3,39.67
208,PHILADELPHIA,BRYANT WILLIAM C SCH,0.79,12.01,31.89,55.36
209,FRANKLIN,BUCHANAN EL SCH,11.6,31.47,31.68,25.26
210,LANCASTER,BUCHER EL SCH,46.26,34.75,10.9,8.13
211,BUCKS,BUCKINGHAM EL SCH,47.64,37.59,11.08,3.68
212,BUCKS,BUCKS CO MONTESSORI CS,45.97,37.96,12.47,3.6
213,CLINTON,BUCKTAIL AREA MS,9.66,27.66,36.43,26.25
214,ARMSTRONG,BUFFALO TWP EL SCH,27.43,43.63,20.0,8.95
215,FAYETTE,BULLSKIN EL SCH,23.45,33.14,28.96,14.49
216,ALLEGHENY,BURCHFIELD PRIMARY SCH,41.9,39.8,14.0,4.3
217,LANCASTER,BURGARD ELEM SCHOOL,27.21,33.14,22.53,17.11
218,WASHINGTON,BURGETTSTOWN AREA EL CN,15.43,38.08,28.65,17.82
219,WASHINGTON,BURGETTSTOWN MIDDLE/HIGH SCHOOL,11.33,32.59,36.56,19.5
220,LANCASTER,BURROWES SCH,12.09,33.83,31.12,22.96
221,NORTHAMPTON,BUSHKILL EL SCH,17.55,44.24,22.52,15.71
222,BUTLER,BUTLER AREA IHS,15.68,35.48,28.88,19.93
223,BUCKS,BUTLER EL SCH,44.65,38.97,13.42,2.99
224,BUTLER,BUTLER MS,19.15,41.19,26.7,12.95
225,DELAWARE,BYWOOD EL SCH,3.27,24.88,30.42,41.47
226,BERKS,C E COLE INTERMEDIATE SCH,10.05,30.89,34.45,24.61
227,LYCOMING,C E MCCALL MS,21.28,40.38,29.12,9.19
228,CLEARFIELD,C G JOHNSON EL SCH,23.09,42.74,22.5,11.67
229,SOMERSET,CAIRNBROOK EL SCH,15.72,34.11,32.42,17.72
230,MONTGOMERY,CALEY EL SCH,47.8,33.89,14.38,3.97
231,WASHINGTON,CALIFORNIA AREA EL SCHOOL,27.58,39.34,19.48,13.6
232,WASHINGTON,CALIFORNIA AREA INTERMEDIATE M,15.91,37.72,27.0,19.42
233,WASHINGTON,CALIFORNIA AREA MS,20.44,36.48,26.09,16.98
234,CHESTER,CALN EL SCH,6.26,27.82,30.61,35.3
235,NORTHAMPTON,CALYPSO EL SCH,20.08,41.31,26.66,11.95
236,CAMBRIA,CAMBRIA EL SCH,18.88,37.2,26.85,17.15
237,CAMBRIA,CAMBRIA HEIGHTS EL SCH,21.3,39.4,24.91,14.34
238,CAMBRIA,CAMBRIA HEIGHTS MS,17.19,33.92,31.74,17.1
239,CRAWFORD,CAMBRIDGE SPRINGS EL,15.23,33.29,25.82,25.65
240,CRAWFORD,CAMBRIDGE SPRINGS HS,17.79,37.25,24.94,19.99
241,CAMERON,CAMERON COUNTY JSHS,4.96,37.35,31.89,25.8
242,DAUPHIN,CAMP CURTIN SCH,0.69,6.28,27.66,65.36
243,CUMBERLAND,CAMP HILL MS,24.83,40.82,21.74,12.61
244,YORK,CANADOCHLY EL SCH,24.75,38.01,25.14,12.1
245,MONTGOMERY,CANDLEBROOK EL SCH,42.92,35.87,17.03,4.16
246,WASHINGTON,CANONSBURG MS,26.48,39.28,22.68,11.56
247,BRADFORD,CANTON AREA EL SCH,22.18,37.1,26.61,14.13
248,BRADFORD,CANTON JSHS,13.78,34.51,27.95,23.74
249,LACKAWANNA,CARBONDALE AREA EL SCH,7.08,30.68,32.03,30.25
250,LACKAWANNA,CARBONDALE AREA JSHS,12.66,29.24,27.04,31.04
251,LYCOMING,CARL G RENN EL SCH,20.32,39.41,29.24,10.98
252,BUCKS,CARL SANDBURG MS,19.65,39.72,29.47,11.16
253,ALLEGHENY,CARLYNTON JSHS,10.12,29.01,35.73,25.16
254,ALLEGHENY,CARMALT ACADEMY OF SCI & TECH,13.95,32.74,30.43,22.88
255,ALLEGHENY,CARNEGIE EL SCH,22.64,37.54,29.04,10.78
256,PHILADELPHIA,CARNELL LAURA H SCH,2.59,13.68,28.35,55.32
257,PERRY,CARROLL EL SCH,11.65,40.95,27.6,19.8
258,ALLEGHENY,CARSON MS,33.35,37.81,19.5,9.3
259,LANCASTER,CARTER MACRAE EL SCH,4.48,22.76,32.84,39.88
260,PHILADELPHIA,CARVER HS ENGINEERING & SCIENCE,14.68,46.9,26.75,11.7
261,MERCER,CASE AVENUE EL SCH,12.08,32.97,32.94,22.02
262,PHILADELPHIA,CASSIDY LEWIS C SCH,0.75,10.01,32.11,57.07
263,LEHIGH,CATASAUQUA MS,15.38,32.23,30.63,21.67
264,PHILADELPHIA,CATHARINE JOSEPH SCH,5.39,21.59,31.74,41.23
265,PHILADELPHIA,CAYUGA SCHOOL,1.14,10.86,25.19,62.82
266,WASHINGTON,CECIL EL SCH,33.74,47.41,15.84,3.01
267,WASHINGTON,CECIL INTERMEDIATE SCHOOL,31.2,41.1,19.9,7.85
268,LEBANON,CEDAR CREST MS,22.69,34.69,27.37,15.3
269,MONTGOMERY,CEDARBROOK MS,22.1,32.69,27.52,17.76
270,ALLEGHENY,CENTER EL SCH,33.05,39.38,19.79,7.73
271,BUTLER,CENTER TWP SCH,25.25,37.81,24.12,12.82
272,LANCASTER,CENTERVILLE EL SCH,44.12,34.89,15.1,5.89
273,LANCASTER,CENTERVILLE MS,28.97,37.46,20.28,13.33
274,CAMBRIA,CENTRAL CAMBRIA MS,21.8,41.42,23.91,12.87
275,COLUMBIA,CENTRAL COLUMBIA EL,41.38,34.67,17.26,6.67
276,COLUMBIA,CENTRAL COLUMBIA MS,27.87,39.31,22.61,10.21
277,DAUPHIN,CENTRAL DAUPHIN EAST MS,6.83,25.89,33.89,33.34
278,DAUPHIN,CENTRAL DAUPHIN MS,19.26,39.44,28.9,12.4
279,VENANGO,CENTRAL EL SCH,19.86,33.16,25.04,21.95
280,LANCASTER,CENTRAL MANOR EL SCH,22.66,35.29,26.47,15.58
