,County,Higher Degree (Female),Higher Degree (Male),H.S. Diploma (Female),H.S. Diploma (Male),No H.S. Diploma (Female),No H.S. Diploma (Male)
89,17103,20.789%,23.323%,65.997%,55.751%,13.214%,20.927%
90,17104,18.404%,20.792%,57.427%,50.536%,24.169%,28.672%
91,17109,39.803%,34.410%,51.290%,56.574%,8.907%,9.015%
92,17110,41.791%,43.112%,46.339%,47.822%,11.871%,9.067%
93,17111,44.228%,39.914%,47.114%,50.657%,8.659%,9.429%
94,17112,46.579%,48.068%,48.074%,45.506%,5.347%,6.426%
95,17113,25.600%,21.243%,64.422%,63.979%,9.978%,14.779%
96,17120,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
97,17980,22.984%,18.621%,64.782%,69.114%,12.234%,12.265%
98,15613,29.079%,31.288%,61.560%,63.072%,9.362%,5.640%
99,15618,27.128%,15.595%,65.000%,70.476%,7.872%,13.929%
100,15656,35.792%,34.416%,56.260%,57.509%,7.948%,8.075%
101,15673,23.529%,22.005%,59.635%,69.682%,16.836%,8.313%
102,15686,24.101%,13.523%,62.590%,72.954%,13.309%,13.523%
103,15690,24.797%,21.839%,65.434%,66.565%,9.769%,11.596%
104,15732,21.254%,17.888%,67.073%,69.847%,11.672%,12.266%
105,15736,28.378%,33.475%,67.230%,60.593%,4.392%,5.932%
106,15774,35.089%,30.106%,59.554%,58.891%,5.357%,11.004%
107,16025,28.608%,22.652%,65.418%,70.485%,5.975%,6.863%
108,16028,22.346%,21.053%,65.084%,67.425%,12.570%,11.522%
109,16041,22.438%,12.248%,64.543%,72.544%,13.019%,15.209%
110,16049,19.108%,16.004%,71.065%,69.195%,9.827%,14.801%
111,16055,38.503%,33.908%,57.843%,62.069%,3.654%,4.023%
112,16201,30.131%,25.976%,59.140%,62.573%,10.729%,11.451%
113,16210,11.465%,14.080%,74.522%,58.908%,14.013%,27.011%
114,16212,21.739%,18.852%,66.087%,69.672%,12.174%,11.475%
115,16218,23.297%,10.978%,71.429%,70.259%,5.275%,18.762%
116,16222,21.402%,19.455%,63.469%,62.577%,15.129%,17.968%
117,16223,12.698%,5.660%,82.540%,94.340%,4.762%,0.000%
118,16224,23.226%,21.077%,59.785%,58.080%,16.989%,20.843%
119,16226,31.829%,24.477%,60.965%,68.584%,7.205%,6.939%
120,16228,18.405%,19.171%,77.301%,70.984%,4.294%,9.845%
121,16229,37.786%,33.071%,57.088%,60.855%,5.125%,6.074%
122,16236,7.519%,8.491%,49.624%,69.340%,42.857%,22.170%
123,16238,37.640%,34.884%,52.247%,62.016%,10.112%,3.101%
124,16240,13.843%,12.903%,71.694%,73.589%,14.463%,13.508%
125,16242,22.345%,23.950%,63.711%,60.000%,13.944%,16.050%
126,16244,19.588%,0.000%,80.412%,81.159%,0.000%,18.841%
127,16245,3.846%,7.059%,84.615%,71.765%,11.538%,21.176%
128,16249,32.639%,29.853%,58.472%,60.735%,8.889%,9.412%
129,16250,4.717%,5.172%,50.943%,65.517%,44.340%,29.310%
130,16253,0.000%,7.317%,87.179%,70.732%,12.821%,21.951%
131,16259,15.875%,12.156%,73.739%,72.938%,10.386%,14.906%
132,16262,30.443%,23.130%,62.069%,66.043%,7.488%,10.827%
133,16263,16.031%,32.292%,80.916%,46.875%,3.053%,20.833%
134,16038,28.417%,21.827%,63.166%,60.631%,8.417%,17.542%
135,16127,39.191%,41.377%,52.122%,49.625%,8.687%,8.998%
136,16153,29.180%,26.935%,63.716%,60.681%,7.104%,12.384%
137,16232,30.081%,25.089%,60.475%,62.902%,9.443%,12.009%
138,16301,26.643%,28.044%,63.981%,64.013%,9.376%,7.944%
139,16311,32.609%,25.888%,61.957%,63.452%,5.435%,10.660%
140,16314,27.597%,15.564%,62.222%,67.867%,10.181%,16.570%
141,16317,19.963%,14.808%,73.443%,70.962%,6.593%,14.231%
142,16319,24.893%,18.103%,65.880%,78.448%,9.227%,3.448%
143,16323,25.066%,24.221%,61.984%,64.508%,12.951%,11.271%
144,16341,29.096%,23.266%,64.689%,66.185%,6.215%,10.549%
145,16342,19.448%,17.117%,58.343%,66.554%,22.209%,16.329%
146,16343,48.538%,19.205%,51.462%,64.238%,0.000%,16.556%
147,16344,22.396%,10.734%,67.188%,79.661%,10.417%,9.605%
148,16346,32.836%,19.816%,55.390%,68.813%,11.774%,11.371%
149,16353,23.225%,21.927%,63.148%,58.604%,13.628%,19.469%
150,16354,23.117%,23.693%,65.571%,63.626%,11.312%,12.681%
151,16362,27.830%,15.333%,64.151%,65.333%,8.019%,19.333%
152,16364,23.810%,18.310%,65.714%,67.136%,10.476%,14.554%
153,16372,17.442%,25.000%,72.093%,65.278%,10.465%,9.722%
154,16373,26.325%,25.416%,64.553%,64.510%,9.123%,10.074%
155,16374,23.259%,23.236%,66.156%,64.720%,10.585%,12.044%
156,15521,18.906%,18.151%,75.781%,74.144%,5.313%,7.705%
157,15522,25.154%,25.687%,63.007%,62.758%,11.839%,11.554%
158,15533,25.510%,17.795%,65.102%,54.739%,9.388%,27.466%
159,15534,24.854%,10.411%,61.696%,74.521%,13.450%,15.068%
160,15535,21.806%,15.744%,65.694%,61.501%,12.500%,22.755%
161,15537,17.959%,18.015%,65.601%,71.000%,16.441%,10.986%
162,15539,52.155%,36.402%,23.276%,63.598%,24.569%,0.000%
163,15545,20.266%,16.633%,63.767%,70.487%,15.967%,12.880%
164,15550,19.508%,17.747%,67.838%,64.846%,12.654%,17.406%
165,15554,26.243%,22.889%,63.699%,69.667%,10.058%,7.444%
166,15559,20.131%,14.679%,70.719%,62.647%,9.150%,22.674%
167,15946,32.461%,24.459%,58.562%,67.055%,8.978%,8.486%
168,16625,14.515%,17.205%,73.552%,63.570%,11.933%,19.225%
169,16633,17.544%,21.739%,66.667%,78.261%,15.789%,0.000%
170,16650,25.692%,18.898%,65.231%,63.648%,9.077%,17.454%
171,16655,15.147%,15.429%,72.488%,72.000%,12.365%,12.571%
172,16657,21.237%,17.611%,69.691%,72.874%,9.072%,9.514%
173,16659,19.130%,14.433%,75.652%,67.010%,5.217%,18.557%
174,16662,24.638%,22.618%,65.657%,63.525%,9.706%,13.856%
175,16664,23.491%,21.387%,57.912%,59.682%,18.597%,18.931%
176,16667,18.658%,17.284%,67.715%,73.868%,13.627%,8.848%
177,16670,30.435%,11.111%,69.565%,88.889%,13.043%,0.000%
178,16672,16.092%,4.082%,52.874%,74.490%,31.034%,21.429%
179,16673,27.210%,23.063%,64.499%,68.007%,8.292%,8.930%
180,16678,23.712%,21.915%,61.516%,62.284%,14.772%,15.802%
181,16679,8.361%,7.187%,74.247%,79.063%,17.391%,13.750%
182,16694,20.988%,8.696%,55.556%,75.362%,23.457%,15.942%
183,16695,26.975%,25.513%,62.943%,61.290%,10.082%,13.196%
184,17211,9.649%,8.824%,72.807%,80.882%,17.544%,10.294%
185,17022,38.478%,36.690%,53.487%,53.463%,8.034%,9.847%
186,17073,18.521%,13.902%,65.503%,54.673%,15.976%,31.425%
187,17501,33.938%,32.698%,55.440%,52.889%,10.622%,14.413%
188,17502,23.770%,28.586%,68.443%,54.555%,7.787%,16.859%
189,17505,14.571%,22.022%,34.356%,36.282%,51.074%,41.697%
190,17507,100.000%,0.000%,0.000%,100.000%,100.000%,0.000%
191,17508,18.182%,27.895%,66.845%,57.368%,14.973%,14.737%
192,17509,23.743%,20.487%,42.825%,42.543%,33.432%,36.970%
193,17512,27.091%,25.158%,63.355%,58.395%,9.554%,16.447%
194,17516,36.839%,26.884%,57.348%,60.364%,5.813%,12.751%
195,17517,27.845%,29.509%,58.123%,51.210%,14.032%,19.282%
196,17518,18.873%,9.548%,55.637%,57.286%,25.490%,33.166%
197,17519,23.840%,12.027%,44.924%,53.007%,31.236%,34.966%
198,17520,42.961%,36.125%,54.187%,58.689%,2.852%,5.185%
199,17522,29.022%,28.186%,49.505%,52.882%,21.473%,18.933%
200,17527,21.492%,15.449%,51.760%,56.236%,26.747%,28.315%
201,17529,18.502%,19.945%,42.511%,39.404%,38.987%,40.651%
202,17532,18.686%,20.720%,63.182%,65.431%,18.131%,13.850%
203,17535,14.841%,12.207%,38.280%,38.654%,46.879%,49.139%
204,17536,25.514%,13.530%,39.661%,51.907%,34.825%,34.563%
205,17538,53.057%,58.154%,45.059%,39.037%,1.884%,2.810%
206,17540,29.146%,30.587%,44.703%,50.086%,26.150%,19.327%
207,17543,43.249%,43.192%,48.135%,46.132%,8.616%,10.677%
208,17545,32.351%,26.538%,54.893%,59.676%,12.756%,13.786%
209,17547,37.087%,30.369%,56.132%,62.606%,6.781%,7.025%
210,17550,7.277%,9.508%,92.723%,90.492%,7.277%,4.262%
211,17551,43.365%,38.696%,49.484%,54.282%,7.150%,7.023%
212,17552,35.728%,36.659%,59.262%,55.663%,5.010%,7.679%
213,17554,34.354%,36.152%,60.216%,53.840%,5.430%,10.008%
214,17555,20.915%,18.507%,49.156%,45.399%,29.929%,36.094%
215,17557,19.892%,18.956%,54.868%,47.253%,25.239%,33.791%
216,17560,13.231%,16.714%,73.092%,65.662%,13.677%,17.624%
217,17562,12.797%,14.379%,43.478%,41.024%,43.724%,44.598%
218,17563,13.032%,13.908%,66.290%,59.771%,20.678%,26.320%
219,17565,26.573%,18.389%,61.239%,64.834%,12.188%,16.777%
220,17566,20.496%,21.264%,60.145%,55.727%,19.359%,23.009%
221,17569,35.451%,30.850%,53.529%,54.722%,11.021%,14.428%
222,17570,44.681%,40.678%,41.489%,59.322%,13.830%,0.000%
223,17572,17.177%,13.369%,48.871%,54.291%,33.952%,32.340%
224,17576,0.000%,16.667%,18.421%,16.667%,81.579%,66.667%
225,17578,22.045%,27.144%,59.257%,54.330%,18.699%,18.526%
226,17579,35.511%,29.173%,51.063%,54.340%,13.427%,16.487%
227,17581,17.153%,28.214%,55.474%,53.571%,27.372%,18.214%
228,17582,26.657%,32.778%,63.401%,61.716%,9.942%,5.506%
229,17584,33.475%,35.308%,59.237%,53.839%,7.288%,10.852%
230,17601,47.849%,51.886%,44.662%,40.088%,7.489%,8.026%
231,17602,30.359%,28.650%,49.983%,51.437%,19.657%,19.912%
232,17603,35.953%,30.524%,48.670%,53.891%,15.377%,15.585%
233,17606,24.776%,44.079%,65.075%,52.632%,10.149%,3.289%
234,19310,30.372%,21.519%,50.413%,56.732%,19.215%,21.749%
235,19344,32.689%,31.146%,54.566%,51.979%,12.745%,16.875%
236,19362,27.070%,23.807%,60.691%,58.059%,12.240%,18.134%
237,19363,33.235%,34.776%,52.559%,46.862%,14.206%,18.363%
238,19501,26.146%,22.750%,67.655%,62.750%,6.199%,14.500%
239,19540,38.465%,37.715%,52.495%,55.125%,9.040%,7.160%
240,19543,44.580%,41.249%,47.503%,49.007%,7.917%,9.745%
241,19551,29.188%,28.369%,60.112%,60.666%,10.700%,10.966%
242,15832,18.103%,19.286%,60.345%,67.857%,21.552%,12.857%
243,15834,23.711%,28.351%,63.796%,60.438%,12.492%,11.211%
244,15861,20.833%,14.286%,66.667%,61.429%,12.500%,24.286%
245,16720,14.013%,10.515%,67.516%,78.970%,18.471%,10.515%
246,16666,18.034%,17.189%,66.997%,68.946%,14.968%,13.865%
247,16677,93.701%,100.000%,6.299%,0.000%,20.472%,0.000%
248,16680,15.244%,21.579%,79.878%,67.368%,4.878%,11.053%
249,16686,30.382%,25.486%,62.070%,66.166%,7.549%,8.348%
250,16801,67.761%,75.352%,27.713%,22.338%,4.527%,2.310%
251,16802,83.333%,67.857%,16.667%,32.143%,0.000%,28.571%
252,16803,67.388%,70.881%,29.184%,24.565%,3.428%,4.554%
253,16820,30.769%,20.000%,55.438%,64.390%,13.793%,15.610%
254,16822,24.601%,17.963%,59.973%,68.034%,15.426%,14.003%
255,16823,39.543%,31.273%,53.927%,58.901%,6.530%,9.826%
256,16826,19.912%,11.818%,63.274%,81.818%,16.814%,6.364%
257,16827,68.895%,76.592%,26.802%,21.536%,4.302%,1.873%
258,16828,37.163%,42.118%,55.595%,52.407%,7.241%,5.475%
259,16829,20.779%,12.658%,73.593%,78.059%,5.628%,9.283%
260,16832,14.557%,31.364%,63.924%,51.818%,21.519%,16.818%
261,16835,9.091%,38.806%,76.364%,58.209%,14.545%,2.985%
262,16841,27.554%,18.121%,60.756%,66.905%,11.690%,14.974%
263,16844,30.518%,32.691%,62.852%,61.065%,6.630%,6.244%
264,16845,17.881%,9.726%,73.179%,68.579%,8.940%,21.696%
265,16851,61.780%,86.420%,38.220%,13.580%,20.942%,55.144%
266,16852,16.981%,15.315%,67.925%,55.856%,15.094%,28.829%
267,16853,22.093%,14.865%,69.767%,71.622%,8.140%,13.514%
268,16854,33.108%,31.597%,57.432%,54.514%,9.459%,13.889%
269,16859,26.667%,8.763%,61.026%,81.443%,12.308%,9.794%
270,16860,55.652%,39.286%,44.348%,60.714%,0.000%,11.607%
271,16865,55.252%,54.276%,44.317%,36.342%,0.432%,9.382%
272,16866,20.371%,17.449%,69.732%,63.430%,9.896%,19.121%
273,16868,22.785%,42.857%,77.215%,57.143%,0.000%,24.370%
274,16870,54.402%,58.203%,41.966%,37.964%,3.632%,3.833%
275,16872,19.212%,16.710%,57.143%,57.963%,23.645%,25.326%
276,16874,16.279%,16.759%,76.357%,69.613%,7.364%,13.628%
277,16875,36.406%,32.010%,48.856%,53.851%,14.738%,14.140%
278,16877,43.871%,37.758%,55.000%,56.932%,1.129%,5.310%
279,16882,44.186%,25.472%,52.326%,47.170%,3.488%,27.358%
280,16037,44.473%,36.927%,49.457%,56.343%,6.070%,6.730%
281,16051,30.990%,30.076%,63.889%,62.429%,5.122%,7.495%
282,16057,39.387%,37.224%,49.285%,56.060%,11.328%,6.716%
283,16101,24.425%,22.973%,63.398%,64.905%,12.177%,12.122%
284,16102,33.110%,31.881%,57.987%,58.593%,8.904%,9.526%
285,16105,38.627%,40.004%,55.988%,53.941%,5.385%,6.055%
286,16112,31.083%,24.174%,61.634%,60.174%,7.282%,15.652%
287,16116,24.195%,35.616%,60.363%,53.333%,15.442%,11.050%
288,16117,34.312%,32.940%,57.145%,57.696%,8.543%,9.363%
289,16120,32.047%,23.913%,58.160%,59.918%,9.792%,16.168%
290,16123,45.490%,31.995%,48.235%,55.699%,6.275%,12.306%
291,16127,39.191%,41.377%,52.122%,49.625%,8.687%,8.998%
292,16132,81.818%,67.089%,18.182%,32.911%,0.000%,31.646%
293,16140,-100.000000%,0.000%,0.000000%,0.000000%,0.000000%,14.505257%
294,16141,34.317%,28.409%,56.211%,54.830%,9.472%,16.761%
295,16142,36.150%,37.486%,44.407%,39.227%,19.443%,23.286%
296,16143,22.550%,20.617%,71.713%,65.022%,5.737%,14.361%
297,16155,62.626%,22.581%,20.202%,45.161%,17.172%,32.258%
298,16156,32.460%,28.128%,55.343%,61.009%,12.198%,10.863%
299,16157,25.795%,20.440%,67.842%,68.286%,6.363%,11.274%
300,16159,29.968%,25.657%,63.104%,63.182%,6.928%,11.161%
301,16160,17.297%,25.994%,68.919%,56.269%,13.784%,17.737%
302,15004,29.630%,20.155%,59.259%,79.845%,11.111%,0.000%
303,15012,38.161%,34.272%,56.512%,59.381%,5.327%,6.347%
304,15017,45.534%,50.654%,48.576%,43.734%,5.890%,5.612%
305,15019,25.593%,24.911%,68.136%,68.683%,6.271%,6.406%
306,15021,25.563%,23.813%,61.214%,63.763%,13.222%,12.424%
307,15022,31.407%,32.526%,59.911%,59.977%,8.682%,7.497%
308,15025,41.782%,46.182%,52.986%,48.574%,5.233%,5.244%
309,15026,30.653%,30.692%,65.662%,60.923%,3.685%,8.385%
310,15033,30.986%,29.216%,60.780%,59.958%,8.234%,10.826%
311,15038,0.000%,13.445%,100.000%,73.109%,0.000%,13.445%
312,15053,14.000%,27.273%,86.000%,45.455%,0.000%,27.273%
313,15054,14.583%,15.854%,79.861%,50.610%,5.556%,33.537%
314,15055,39.304%,42.063%,56.348%,43.386%,4.348%,14.550%
315,15057,45.032%,45.268%,48.102%,47.361%,6.866%,7.372%
316,15060,17.712%,17.573%,72.325%,74.059%,9.963%,8.368%
317,15063,36.275%,33.179%,55.169%,59.205%,8.555%,7.615%
