,County,Higher Degree (Female),Higher Degree (Male),H.S. Diploma (Female),H.S. Diploma (Male),No H.S. Diploma (Female),No H.S. Diploma (Male)
390,19130,69.713%,68.781%,23.241%,24.632%,7.046%,6.587%
391,19131,31.348%,25.048%,55.648%,61.457%,13.004%,13.494%
392,19132,13.508%,9.630%,67.255%,67.543%,19.237%,22.826%
393,19133,8.639%,6.490%,50.971%,47.799%,40.391%,45.711%
394,19134,16.351%,11.573%,53.291%,54.620%,30.358%,33.807%
395,19135,20.822%,18.671%,63.269%,62.832%,15.909%,18.497%
396,19136,22.758%,18.893%,65.123%,63.947%,12.119%,17.160%
397,19137,22.114%,21.350%,61.285%,60.943%,16.601%,17.708%
398,19138,23.051%,15.209%,64.768%,66.727%,12.181%,18.064%
399,19139,22.159%,17.825%,64.255%,62.332%,13.586%,19.843%
400,19140,15.069%,8.256%,56.818%,56.607%,28.113%,35.137%
401,19141,24.148%,17.737%,57.336%,63.081%,18.516%,19.183%
402,19142,14.695%,19.711%,63.422%,59.659%,21.883%,20.630%
403,19143,26.770%,27.590%,56.426%,55.005%,16.804%,17.405%
404,19144,34.899%,26.989%,49.975%,51.765%,15.126%,21.246%
405,19145,26.240%,29.150%,55.599%,52.825%,18.161%,18.025%
406,19146,52.319%,53.871%,35.631%,34.374%,12.050%,11.754%
407,19147,62.168%,58.948%,27.385%,30.419%,10.446%,10.633%
408,19148,27.165%,24.290%,47.914%,49.601%,24.922%,26.108%
409,19149,22.471%,15.482%,53.407%,63.587%,24.122%,20.931%
410,19150,39.905%,24.259%,52.677%,64.163%,7.417%,11.579%
411,19151,32.802%,26.285%,58.307%,60.710%,8.891%,13.005%
412,19152,32.839%,31.827%,50.700%,50.833%,16.461%,17.340%
413,19153,26.886%,28.302%,55.336%,58.785%,17.778%,12.914%
414,19154,29.673%,25.565%,60.603%,61.070%,9.725%,13.365%
415,15310,12.500%,21.505%,65.000%,61.290%,22.500%,17.204%
416,15315,20.370%,19.245%,62.593%,68.679%,17.037%,12.075%
417,15316,21.277%,10.000%,72.340%,76.667%,6.383%,13.333%
418,15320,30.081%,39.731%,59.946%,46.897%,9.973%,13.372%
419,15322,30.870%,32.605%,56.615%,54.914%,12.515%,12.480%
420,15325,0.000%,32.911%,77.419%,10.127%,22.581%,56.962%
421,15327,11.577%,13.818%,59.060%,69.273%,29.362%,16.909%
422,15329,28.942%,20.229%,61.078%,69.275%,9.980%,10.496%
423,15334,17.308%,17.391%,82.692%,71.739%,0.000%,10.870%
424,15337,17.874%,15.789%,74.396%,75.789%,7.729%,8.421%
425,15338,23.139%,23.102%,63.754%,62.211%,13.107%,14.686%
426,15341,21.000%,25.085%,61.000%,62.373%,18.000%,12.542%
427,15344,34.429%,18.681%,56.480%,67.949%,9.091%,13.370%
428,15345,25.146%,20.758%,63.548%,66.606%,11.306%,12.635%
429,15346,20.152%,14.689%,65.399%,75.141%,14.449%,10.169%
430,15349,20.341%,14.669%,72.966%,71.609%,6.693%,13.722%
431,15351,13.772%,30.800%,76.048%,69.200%,10.180%,0.000%
432,15352,16.404%,8.244%,65.300%,71.685%,18.297%,20.072%
433,15353,80.000%,27.778%,20.000%,72.222%,25.000%,16.667%
434,15357,27.626%,22.628%,52.374%,62.226%,20.000%,15.146%
435,15359,31.707%,23.529%,47.561%,70.588%,20.732%,5.882%
436,15362,21.223%,17.407%,71.223%,72.593%,7.554%,10.000%
437,15364,37.868%,23.551%,51.471%,69.203%,10.662%,7.246%
438,15370,32.891%,18.690%,57.356%,65.911%,9.753%,15.399%
439,15377,17.100%,16.729%,71.004%,61.338%,11.896%,21.933%
440,15380,16.162%,7.113%,66.667%,77.406%,17.172%,15.481%
441,16401,28.783%,9.118%,60.206%,73.083%,11.011%,17.798%
442,16403,30.146%,29.808%,57.046%,59.059%,12.808%,11.134%
443,16407,26.799%,24.588%,64.243%,63.090%,8.958%,12.322%
444,16410,29.716%,15.575%,64.775%,77.522%,5.509%,6.903%
445,16411,32.079%,17.308%,55.735%,72.885%,12.186%,9.808%
446,16412,50.183%,45.260%,45.498%,47.622%,4.318%,7.118%
447,16415,52.632%,54.198%,43.811%,43.416%,3.557%,2.385%
448,16417,37.276%,29.039%,55.388%,63.410%,7.336%,7.552%
449,16421,37.306%,35.770%,58.915%,58.693%,3.779%,5.537%
450,16423,30.296%,21.480%,59.360%,67.529%,10.345%,10.991%
451,16426,36.338%,27.732%,57.488%,68.953%,6.175%,3.316%
452,16427,15.190%,19.444%,82.278%,70.833%,2.532%,9.722%
453,16428,36.407%,33.731%,57.156%,57.129%,6.437%,9.140%
454,16435,24.496%,14.159%,58.295%,71.534%,17.209%,14.307%
455,16438,28.057%,20.773%,61.530%,66.667%,10.412%,12.560%
456,16441,33.173%,28.680%,60.333%,64.048%,6.494%,7.272%
457,16442,39.173%,19.765%,51.083%,64.677%,9.744%,15.558%
458,16443,27.829%,23.227%,63.636%,58.191%,8.534%,18.582%
459,16444,100.000%,41.667%,0.000%,58.333%,0.000%,41.667%
460,16501,21.065%,16.016%,46.433%,48.991%,32.503%,34.993%
461,16502,27.775%,27.828%,59.175%,60.694%,13.051%,11.478%
462,16503,16.660%,10.163%,57.122%,61.368%,26.218%,28.469%
463,16504,33.031%,30.971%,58.716%,61.234%,8.253%,7.795%
464,16505,46.039%,47.002%,46.389%,44.895%,7.572%,8.104%
465,16506,47.284%,51.607%,48.227%,44.338%,4.489%,4.055%
466,16507,25.253%,21.748%,60.983%,61.012%,13.763%,17.240%
467,16508,39.720%,33.822%,53.513%,58.880%,6.767%,7.297%
468,16509,42.820%,44.950%,52.854%,50.575%,4.326%,4.476%
469,16510,34.218%,34.069%,57.735%,56.847%,8.047%,9.084%
470,16511,35.801%,36.792%,58.475%,55.832%,5.725%,7.376%
471,16546,100.000%,100.000%,27.273%,100.000%,72.727%,0.000%
472,16563,100.000%,77.778%,0.000%,22.222%,0.000%,77.778%
473,15946,32.461%,24.459%,58.562%,67.055%,8.978%,8.486%
474,16601,26.267%,25.396%,64.466%,65.090%,9.267%,9.513%
475,16602,28.787%,25.651%,61.481%,62.593%,9.733%,11.755%
476,16613,31.250%,18.127%,63.068%,74.502%,5.682%,7.371%
477,16617,20.339%,23.775%,75.000%,65.902%,4.661%,10.323%
478,16625,14.515%,17.205%,73.552%,63.570%,11.933%,19.225%
479,16631,22.222%,16.667%,44.444%,58.333%,33.333%,25.000%
480,16635,28.661%,31.283%,63.080%,60.452%,8.258%,8.264%
481,16636,38.866%,20.678%,57.085%,73.559%,4.049%,5.763%
482,16637,13.577%,12.294%,74.282%,78.814%,12.141%,8.891%
483,16641,31.050%,18.383%,62.900%,75.748%,6.050%,5.869%
484,16648,40.036%,41.883%,52.950%,52.231%,7.014%,5.886%
485,16655,15.147%,15.429%,72.488%,72.000%,12.365%,12.571%
486,16662,24.638%,22.618%,65.657%,63.525%,9.706%,13.856%
487,16665,30.769%,34.021%,50.000%,63.918%,19.231%,2.062%
488,16673,27.210%,23.063%,64.499%,68.007%,8.292%,8.930%
489,16682,100.000%,100.000%,44.000%,0.000%,56.000%,100.000%
490,16686,30.382%,25.486%,62.070%,66.166%,7.549%,8.348%
491,16693,24.116%,20.102%,64.726%,67.029%,11.157%,12.868%
492,17021,10.876%,7.386%,74.018%,72.443%,15.106%,20.170%
493,17035,14.148%,5.233%,72.347%,63.372%,13.505%,31.395%
494,17045,24.212%,24.540%,60.575%,56.342%,15.213%,19.118%
495,17049,15.070%,19.830%,65.269%,53.352%,19.661%,26.818%
496,17056,17.143%,41.667%,48.571%,58.333%,34.286%,0.000%
497,17058,24.292%,19.499%,56.632%,56.530%,19.076%,23.971%
498,17059,26.988%,21.714%,58.968%,63.798%,14.043%,14.487%
499,17062,27.316%,26.871%,61.359%,62.051%,11.325%,11.078%
500,17076,100.000%,100.000%,100.000%,0.000%,0.000%,100.000%
501,17082,23.997%,14.550%,64.366%,68.959%,11.637%,16.490%
502,17086,17.933%,13.868%,65.753%,69.084%,16.314%,17.048%
503,17094,22.041%,19.789%,57.112%,59.158%,20.847%,21.053%
504,17243,18.200%,10.761%,71.429%,73.284%,10.372%,15.955%
505,17853,13.014%,11.721%,56.077%,54.884%,30.909%,33.395%
506,17006,19.128%,12.460%,65.772%,68.371%,15.101%,19.169%
507,17020,28.852%,18.816%,63.104%,71.277%,8.044%,9.907%
508,17021,10.876%,7.386%,74.018%,72.443%,15.106%,20.170%
509,17024,26.911%,27.214%,56.575%,54.911%,16.514%,17.874%
510,17035,14.148%,5.233%,72.347%,63.372%,13.505%,31.395%
511,17037,25.733%,26.899%,60.912%,47.785%,13.355%,25.316%
512,17040,25.676%,24.049%,60.688%,61.840%,13.636%,14.110%
513,17045,24.212%,24.540%,60.575%,56.342%,15.213%,19.118%
514,17047,18.720%,15.385%,66.588%,64.744%,14.692%,19.872%
515,17053,29.098%,28.852%,62.360%,62.787%,8.542%,8.361%
516,17062,27.316%,26.871%,61.359%,62.051%,11.325%,11.078%
517,17068,30.931%,21.259%,61.402%,61.284%,7.667%,17.456%
518,17069,10.345%,12.821%,58.621%,35.897%,31.034%,51.282%
519,17071,20.000%,15.152%,42.500%,43.939%,37.500%,40.909%
520,17074,26.680%,23.068%,65.160%,66.184%,8.160%,10.749%
521,17090,19.231%,26.276%,64.865%,60.510%,15.904%,13.214%
522,17011,49.302%,43.611%,42.775%,46.424%,7.924%,9.965%
523,17019,36.507%,39.130%,55.382%,52.974%,8.111%,7.895%
524,17055,46.263%,49.034%,48.700%,44.591%,5.037%,6.375%
525,17070,41.269%,42.134%,51.777%,49.556%,6.954%,8.310%
526,17301,22.670%,17.969%,60.939%,62.993%,16.391%,19.038%
527,17302,28.602%,19.743%,59.677%,66.930%,11.720%,13.327%
528,17309,26.845%,17.212%,56.234%,68.706%,16.921%,14.083%
529,17311,38.947%,15.054%,44.211%,63.441%,16.842%,21.505%
530,17313,26.233%,29.302%,63.167%,57.869%,10.600%,12.829%
531,17314,19.942%,16.179%,63.464%,62.399%,16.594%,21.421%
532,17315,29.926%,28.217%,60.431%,57.863%,9.643%,13.920%
533,17316,31.061%,25.277%,60.965%,64.454%,7.974%,10.270%
534,17317,30.522%,35.294%,55.020%,50.735%,14.458%,13.971%
535,17318,18.248%,25.828%,65.693%,59.603%,16.058%,14.570%
536,17319,40.745%,37.742%,53.774%,58.080%,5.482%,4.178%
537,17321,29.987%,20.682%,61.626%,61.477%,8.386%,17.841%
538,17322,19.828%,15.109%,71.724%,72.803%,8.448%,12.087%
539,17327,28.477%,21.818%,59.663%,64.836%,11.859%,13.345%
540,17329,25.911%,21.420%,67.814%,72.071%,6.275%,6.509%
541,17331,28.172%,28.013%,60.895%,58.674%,10.933%,13.313%
542,17339,37.011%,42.077%,56.059%,50.476%,6.930%,7.447%
543,17345,23.296%,17.932%,63.561%,69.325%,13.143%,12.744%
544,17347,36.971%,33.477%,54.421%,54.484%,8.608%,12.038%
545,17349,43.951%,45.665%,49.002%,49.074%,7.047%,5.261%
546,17352,26.667%,13.896%,53.763%,68.665%,19.570%,17.439%
547,17355,21.978%,22.535%,64.835%,66.197%,13.187%,11.268%
548,17356,31.239%,19.743%,57.597%,67.120%,11.164%,13.137%
549,17360,46.029%,33.989%,41.422%,58.453%,12.549%,7.558%
550,17361,41.962%,35.794%,48.643%,57.261%,9.395%,6.945%
551,17362,29.688%,27.232%,61.672%,62.768%,8.640%,10.000%
552,17363,37.867%,34.708%,53.995%,54.970%,8.137%,10.323%
553,17364,28.130%,17.766%,55.230%,62.607%,16.640%,19.628%
554,17365,21.473%,8.976%,61.515%,76.295%,17.012%,14.730%
555,17366,25.026%,16.615%,63.351%,62.074%,11.623%,21.311%
556,17368,23.596%,22.210%,60.212%,63.831%,16.193%,13.959%
557,17370,28.119%,20.133%,64.418%,68.259%,7.463%,11.608%
558,17371,25.397%,30.579%,49.206%,61.983%,25.397%,7.438%
559,17372,28.747%,21.476%,59.128%,55.665%,12.125%,22.859%
560,17401,20.317%,18.427%,55.351%,59.032%,24.332%,22.540%
561,17402,38.392%,38.597%,51.575%,51.121%,10.033%,10.282%
562,17403,38.192%,33.570%,48.595%,53.237%,13.213%,13.193%
563,17404,36.712%,32.232%,53.730%,54.337%,9.558%,13.431%
564,17406,33.776%,30.803%,54.895%,56.912%,11.330%,12.285%
565,17407,39.394%,38.206%,56.313%,56.020%,4.293%,5.774%
566,17408,31.361%,34.793%,59.473%,56.623%,9.166%,8.584%
567,17021,10.876%,7.386%,74.018%,72.443%,15.106%,20.170%
568,17201,28.326%,27.972%,53.038%,58.169%,18.636%,13.858%
569,17202,33.370%,28.264%,58.584%,60.125%,8.046%,11.611%
570,17210,27.778%,27.586%,72.222%,63.793%,0.000%,8.621%
571,17214,31.193%,12.766%,66.361%,81.649%,2.446%,5.585%
572,17217,29.545%,0.000%,43.182%,100.000%,27.273%,0.000%
573,17219,15.672%,11.429%,50.000%,44.286%,34.328%,44.286%
574,17220,13.245%,19.048%,54.305%,54.286%,32.450%,26.667%
575,17221,15.534%,22.436%,76.699%,56.410%,7.767%,21.154%
576,17222,34.971%,39.226%,52.839%,48.736%,12.190%,12.039%
577,17224,14.800%,9.178%,72.667%,76.986%,12.533%,13.836%
578,17225,31.457%,23.485%,59.363%,65.104%,9.179%,11.411%
579,17235,49.664%,33.582%,40.268%,45.522%,10.067%,20.896%
580,17236,26.070%,19.393%,56.778%,57.944%,17.152%,22.664%
581,17237,21.201%,20.287%,68.198%,68.443%,10.601%,11.270%
582,17240,25.762%,14.645%,55.352%,60.399%,18.886%,24.957%
583,17244,23.870%,15.394%,63.963%,68.743%,12.167%,15.864%
584,17246,6.780%,10.417%,93.220%,89.583%,6.780%,10.417%
585,17247,34.457%,32.075%,41.199%,17.610%,24.345%,50.314%
586,17250,100.000%,100.000%,100.000%,100.000%,0.000000%,-100.000000%
587,17251,24.000%,26.154%,62.000%,70.769%,14.000%,3.077%
588,17252,23.688%,21.354%,65.367%,48.810%,10.945%,29.836%
589,17254,100.000%,0.000%,0.000%,100.000%,100.000%,0.000%
590,17256,47.059%,39.024%,52.941%,0.000%,0.000%,60.976%
591,17257,29.158%,24.618%,54.022%,57.827%,16.820%,17.554%
592,17261,4.545%,10.667%,65.909%,40.000%,29.545%,49.333%
593,17262,34.175%,23.368%,50.680%,51.158%,15.146%,25.474%
594,17263,37.168%,19.433%,62.832%,35.628%,0.000%,44.939%
595,17265,15.271%,5.941%,72.906%,71.287%,11.823%,22.772%
596,17268,30.046%,25.031%,58.460%,60.729%,11.495%,14.240%
597,17270,0.000%,100.000%,100.000%,0.000%,0.000%,100.000%
598,17271,15.625%,7.692%,55.208%,58.974%,29.167%,33.333%
599,17272,45.390%,40.132%,28.369%,28.289%,26.241%,31.579%
600,17527,21.492%,15.449%,51.760%,56.236%,26.747%,28.315%
601,19073,61.154%,68.484%,35.580%,28.926%,3.266%,2.589%
602,19087,77.697%,80.658%,20.191%,16.315%,2.113%,3.027%
603,19301,67.985%,71.190%,30.166%,25.012%,1.848%,3.798%
604,19310,30.372%,21.519%,50.413%,56.732%,19.215%,21.749%
605,19311,42.404%,40.653%,36.411%,34.094%,21.186%,25.253%
606,19312,83.646%,85.598%,14.737%,12.484%,1.616%,1.919%
607,19316,44.681%,17.460%,55.319%,28.571%,0.000%,53.968%
608,19317,71.404%,73.207%,27.177%,25.969%,1.418%,0.824%
609,19319,12.329%,15.584%,87.671%,84.416%,0.000%,15.584%
610,19320,37.786%,34.267%,53.612%,52.709%,8.602%,13.024%
611,19330,39.202%,32.383%,51.586%,58.956%,9.212%,8.661%
612,19333,71.239%,82.276%,26.710%,15.025%,2.051%,2.699%
613,19335,60.561%,63.411%,35.155%,32.638%,4.284%,3.952%
614,19341,66.788%,67.805%,31.924%,28.278%,1.287%,3.916%
615,19342,60.356%,64.423%,37.629%,33.015%,2.015%,2.562%
616,19343,66.856%,56.660%,31.586%,38.689%,1.558%,4.651%
617,19344,32.689%,31.146%,54.566%,51.979%,12.745%,16.875%
618,19345,59.167%,0.000%,29.583%,100.000%,11.250%,0.000%
619,19348,55.175%,53.892%,31.657%,27.855%,13.168%,18.254%
620,19350,65.073%,59.924%,31.591%,32.461%,3.336%,7.615%
621,19352,49.311%,48.379%,42.893%,42.000%,7.796%,9.621%
622,19355,67.195%,74.036%,28.497%,23.650%,4.308%,2.314%
623,19358,25.000%,10.059%,44.828%,54.438%,30.172%,35.503%
624,19362,27.070%,23.807%,60.691%,58.059%,12.240%,18.134%
625,19363,33.235%,34.776%,52.559%,46.862%,14.206%,18.363%
626,19365,27.686%,27.966%,60.000%,60.985%,12.314%,11.049%
627,19367,100.000%,100.000%,100.000%,18.519%,0.000%,81.481%
628,19372,57.659%,40.833%,38.898%,59.167%,3.442%,0.000%
629,19373,53.574%,33.941%,37.256%,46.453%,9.170%,19.606%
630,19374,6.415%,2.951%,50.566%,37.049%,43.019%,60.000%
631,19375,100.000%,0.000%,0.000%,100.000%,100.000%,0.000%
632,19380,61.679%,62.922%,33.732%,32.401%,4.589%,4.677%
633,19382,64.285%,65.138%,31.864%,30.715%,3.851%,4.147%
634,19383,289.590217%,100.000%,100.000000%,0.000000%,0.000000%,18.750000%
635,19390,47.362%,44.978%,40.278%,40.103%,12.360%,14.919%
636,19425,79.239%,80.744%,18.667%,17.815%,2.094%,1.441%
637,19442,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
638,19457,55.263%,51.163%,44.737%,48.837%,55.263%,51.163%
639,19460,61.326%,56.631%,35.215%,37.108%,3.458%,6.261%
640,19465,48.212%,46.499%,47.388%,48.763%,4.400%,4.738%
641,19475,45.240%,38.722%,45.441%,52.685%,9.319%,8.593%
642,19520,42.006%,40.972%,51.366%,48.115%,6.628%,10.913%
643,19543,44.580%,41.249%,47.503%,49.007%,7.917%,9.745%
644,15721,22.857%,1.064%,71.429%,82.979%,5.714%,15.957%
645,15724,17.690%,11.498%,68.712%,67.828%,13.598%,20.674%
646,15742,21.053%,10.000%,53.618%,76.216%,25.329%,13.784%
647,15753,23.429%,3.960%,63.429%,77.228%,13.143%,18.812%
648,15757,20.796%,13.644%,70.163%,70.383%,9.042%,15.973%
649,15767,27.068%,22.416%,60.382%,62.497%,12.550%,15.087%
650,15801,32.631%,28.756%,59.758%,64.628%,7.611%,6.616%
651,15824,29.315%,27.029%,62.854%,63.148%,7.831%,9.823%
652,15840,23.464%,23.930%,69.274%,71.524%,7.263%,4.545%
653,15848,27.245%,14.249%,55.418%,59.845%,17.337%,25.907%
654,15849,16.071%,13.750%,70.918%,76.000%,13.010%,10.250%
655,15856,31.909%,20.833%,63.818%,74.167%,4.274%,5.000%
656,15866,32.857%,27.778%,52.857%,59.722%,14.286%,12.500%
657,16616,18.182%,17.073%,72.727%,63.415%,9.091%,19.512%
658,16620,17.241%,27.350%,77.586%,54.701%,5.172%,17.949%
659,16627,22.524%,21.072%,69.458%,67.955%,8.019%,10.973%
660,16639,19.663%,14.365%,67.978%,79.190%,12.360%,6.446%
661,16645,22.388%,20.000%,64.179%,58.462%,13.433%,21.538%
662,16646,27.361%,27.178%,65.021%,64.344%,7.618%,8.479%
663,16651,26.181%,11.029%,60.108%,68.959%,13.710%,20.012%
664,16656,17.764%,12.646%,70.259%,70.726%,11.976%,16.628%
665,16661,15.484%,17.007%,71.290%,67.347%,13.226%,15.646%
666,16666,18.034%,17.189%,66.997%,68.946%,14.968%,13.865%
667,16671,30.653%,24.859%,55.276%,61.017%,14.070%,14.124%
668,16680,15.244%,21.579%,79.878%,67.368%,4.878%,11.053%
669,16692,14.229%,14.126%,71.542%,67.658%,14.229%,18.216%
670,16821,16.418%,0.000%,83.582%,100.000%,16.418%,0.000%
671,16825,0.000%,43.636%,100.000%,27.273%,0.000%,29.091%
672,16830,25.110%,29.361%,63.774%,55.560%,11.115%,15.079%
673,16833,27.040%,21.284%,62.619%,67.426%,10.342%,11.289%
674,16834,0.000%,26.563%,63.492%,64.063%,36.508%,9.375%
675,16836,15.826%,14.929%,79.128%,68.720%,5.046%,16.351%
676,16837,0.000%,16.279%,100.000%,83.721%,0.000%,16.279%
677,16838,30.817%,15.965%,60.247%,73.440%,8.937%,10.595%
678,16839,9.146%,11.638%,64.024%,62.931%,26.829%,25.431%
679,16840,22.222%,34.351%,49.537%,65.649%,28.241%,0.000%
680,16843,4.878%,0.000%,69.106%,48.131%,26.016%,51.869%
681,16845,17.881%,9.726%,73.179%,68.579%,8.940%,21.696%
682,16847,6.410%,0.000%,66.667%,77.011%,26.923%,22.989%
683,16849,43.750%,51.592%,52.344%,45.223%,3.906%,3.185%
684,16855,20.670%,0.000%,53.073%,92.958%,26.257%,7.042%
685,16858,20.888%,12.866%,63.012%,67.529%,16.100%,19.605%
686,16860,55.652%,39.286%,44.348%,60.714%,0.000%,11.607%
687,16861,27.368%,9.524%,54.737%,69.524%,17.895%,20.952%
688,16863,24.498%,12.605%,69.880%,79.832%,5.622%,7.563%
689,16866,20.371%,17.449%,69.732%,63.430%,9.896%,19.121%
690,16871,30.000%,0.000%,50.000%,62.500%,20.000%,37.500%
691,16876,15.741%,8.621%,71.296%,72.414%,12.963%,18.966%
692,16878,19.296%,19.393%,63.239%,63.069%,17.465%,17.538%
693,16879,16.346%,8.943%,66.346%,82.114%,17.308%,8.943%
694,16881,16.830%,22.928%,71.242%,66.416%,11.928%,10.657%
695,15714,27.820%,22.379%,61.768%,66.372%,10.412%,11.249%
696,15722,22.123%,27.934%,68.268%,64.541%,9.609%,7.526%
697,15724,17.690%,11.498%,68.712%,67.828%,13.598%,20.674%
698,15737,30.303%,6.122%,27.273%,89.796%,42.424%,4.082%
699,15738,8.333%,13.924%,91.667%,74.684%,0.000%,11.392%
700,15760,10.526%,12.500%,89.474%,57.500%,0.000%,30.000%
701,15762,43.769%,37.333%,51.672%,53.867%,4.559%,8.800%
702,15773,30.244%,15.436%,55.610%,73.826%,14.146%,10.738%
703,15775,24.915%,40.789%,73.038%,41.667%,2.048%,17.544%
704,15901,15.848%,19.051%,62.999%,57.746%,21.153%,23.202%
705,15902,22.724%,21.339%,64.795%,69.044%,12.480%,9.617%
706,15904,35.601%,41.324%,55.608%,53.946%,8.792%,4.731%
707,15905,42.360%,43.984%,53.999%,51.788%,3.641%,4.228%
708,15906,19.212%,18.504%,66.132%,67.180%,14.657%,14.317%
709,15909,30.000%,21.645%,60.415%,67.109%,9.585%,11.247%
710,15921,15.385%,0.000%,63.462%,73.913%,21.154%,26.087%
711,15922,20.290%,21.127%,79.710%,52.113%,0.000%,26.761%
712,15925,26.087%,24.138%,69.565%,63.793%,4.348%,12.069%
713,15927,27.500%,19.380%,45.833%,60.078%,26.667%,20.543%
714,15930,83.333%,100.000%,16.667%,0.000%,83.333%,100.000%
715,15931,40.825%,38.784%,50.515%,51.681%,8.660%,9.535%
716,15934,33.333%,45.872%,66.667%,54.128%,33.333%,11.927%
717,15938,26.461%,25.056%,69.460%,66.027%,4.079%,8.916%
718,15940,48.180%,22.896%,48.180%,65.917%,3.640%,11.187%
719,15942,30.147%,27.219%,61.397%,64.024%,8.456%,8.757%
720,15943,25.637%,19.543%,62.519%,67.533%,11.844%,12.924%
721,15945,35.417%,21.127%,58.333%,66.197%,6.250%,12.676%
722,15946,32.461%,24.459%,58.562%,67.055%,8.978%,8.486%
723,15948,31.627%,8.543%,47.289%,64.322%,21.084%,27.136%
724,15951,17.725%,34.416%,52.910%,56.494%,29.365%,9.091%
725,15952,30.601%,20.557%,62.477%,76.231%,6.922%,3.212%
726,15955,29.111%,25.723%,66.889%,58.628%,4.000%,15.648%
727,15956,28.800%,16.507%,58.857%,72.129%,12.343%,11.364%
728,15957,31.441%,26.070%,55.895%,56.809%,12.664%,17.121%
729,15958,29.986%,31.108%,64.275%,59.279%,5.739%,9.613%
730,15960,15.353%,26.943%,79.668%,62.694%,4.979%,10.363%
731,15961,20.205%,26.518%,69.178%,54.313%,10.616%,19.169%
732,15962,27.119%,13.559%,61.017%,86.441%,11.864%,0.000%
733,15963,31.942%,27.723%,54.795%,61.385%,13.263%,10.892%
734,16613,31.250%,18.127%,63.068%,74.502%,5.682%,7.371%
735,16619,12.121%,3.000%,83.838%,86.000%,4.040%,11.000%
736,16624,34.328%,14.286%,61.194%,78.571%,4.478%,7.143%
737,16627,22.524%,21.072%,69.458%,67.955%,8.019%,10.973%
738,16630,37.316%,27.313%,53.291%,64.693%,9.393%,7.994%
739,16636,38.866%,20.678%,57.085%,73.559%,4.049%,5.763%
740,16639,19.663%,14.365%,67.978%,79.190%,12.360%,6.446%
741,16640,31.741%,22.909%,59.386%,69.818%,8.874%,7.273%
742,16641,31.050%,18.383%,62.900%,75.748%,6.050%,5.869%
743,16646,27.361%,27.178%,65.021%,64.344%,7.618%,8.479%
744,16668,29.268%,24.018%,59.604%,66.314%,11.128%,9.668%
745,16699,22.868217%,0.000000%,-100.000000%,0.000%,35.591862%,22.868%
746,15821,26.667%,11.268%,56.667%,59.155%,16.667%,29.577%
747,15823,33.272%,25.092%,57.353%,69.557%,9.375%,5.351%
748,15827,0.000%,40.789%,100.000%,44.737%,0.000%,14.474%
749,15832,18.103%,19.286%,60.345%,67.857%,21.552%,12.857%
750,15841,34.091%,17.241%,65.909%,64.368%,0.000%,18.391%
751,15845,22.723%,22.409%,63.487%,67.139%,13.790%,10.452%
752,15846,39.016%,30.128%,54.921%,58.828%,6.063%,11.044%
753,15853,31.085%,27.191%,60.787%,67.268%,8.128%,5.541%
754,15857,30.631%,30.675%,62.839%,60.649%,6.530%,8.677%
755,15860,27.685%,19.114%,62.053%,70.163%,10.263%,10.723%
756,15868,30.037%,33.131%,60.806%,55.556%,9.158%,11.313%
757,15870,24.051%,24.731%,64.346%,71.183%,11.603%,4.086%
758,16728,50.000%,76.471%,50.000%,23.529%,33.333%,0.000%
759,16734,39.286%,23.301%,52.381%,63.107%,8.333%,13.592%
760,16735,29.105%,24.130%,62.394%,66.828%,8.500%,9.043%
761,18036,47.679%,47.405%,46.228%,44.821%,6.094%,7.774%
762,18041,38.633%,36.050%,55.494%,57.329%,5.873%,6.621%
763,18054,36.856%,32.163%,60.334%,60.179%,2.809%,7.658%
764,18055,40.251%,33.303%,53.653%,56.751%,6.096%,9.947%
765,18073,44.691%,35.101%,48.494%,56.604%,6.815%,8.295%
766,18077,54.102%,43.639%,42.687%,53.151%,3.210%,3.210%
767,18081,25.000%,0.000%,75.000%,49.485%,0.000%,50.515%
768,18901,60.902%,53.421%,35.808%,41.189%,3.290%,5.390%
769,18902,67.158%,69.025%,30.499%,28.435%,2.343%,2.540%
770,18912,100.000%,0.000%,0.000%,100.000%,90.385%,0.000%
771,18913,0.000%,37.705%,100.000%,62.295%,0.000%,37.705%
772,18914,58.096%,58.806%,38.271%,36.877%,3.633%,4.316%
773,18917,40.726%,33.658%,48.387%,50.070%,10.887%,16.273%
774,18920,58.519%,40.113%,41.481%,59.887%,39.259%,4.520%
775,18923,58.112%,55.159%,33.333%,36.905%,8.555%,7.937%
776,18925,68.691%,54.915%,28.898%,40.367%,2.412%,4.718%
777,18929,58.977%,60.107%,39.148%,37.082%,1.875%,2.811%
778,18930,39.864%,40.592%,49.708%,50.143%,10.429%,9.265%
779,18932,57.471%,41.837%,27.586%,44.388%,14.943%,13.776%
780,18935,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
781,18938,62.308%,65.677%,35.588%,31.590%,2.103%,2.732%
782,18940,67.887%,70.849%,30.142%,26.628%,1.972%,2.524%
783,18942,46.716%,30.622%,49.954%,62.394%,3.330%,6.984%
784,18944,47.059%,45.355%,46.581%,49.472%,6.360%,5.173%
785,18947,53.209%,52.465%,41.310%,44.651%,5.481%,2.884%
786,18950,53.409%,63.636%,46.591%,36.364%,0.000%,27.273%
