,County,Higher Degree,H.S. Diploma,No H.S. Diploma
137,16232,27.751835%,61.607738%,10.640427%
138,16301,27.306273%,63.995783%,8.697944%
139,16311,29.133858%,62.729659%,8.136483%
140,16314,21.652720%,65.010460%,13.336820%
141,16317,17.448405%,72.232645%,10.318949%
142,16319,21.505376%,72.150538%,6.344086%
143,16323,24.673160%,63.156971%,12.169869%
144,16341,26.214286%,65.428571%,8.357143%
145,16342,18.269778%,62.492886%,19.237336%
146,16343,34.782609%,57.453416%,7.763975%
147,16344,16.802168%,73.170732%,10.027100%
148,16346,26.353039%,62.073272%,11.573689%
149,16353,22.583779%,60.903351%,16.512870%
150,16354,23.394557%,64.633329%,11.972114%
151,16362,21.395881%,64.759725%,13.844394%
152,16364,21.040189%,66.430260%,12.529551%
153,16372,20.886076%,68.987342%,10.126582%
154,16373,25.884460%,64.532020%,9.583520%
155,16374,23.246753%,65.389610%,11.363636%
156,15521,18.545752%,75.000000%,6.454248%
157,15522,25.407656%,62.888863%,11.703481%
158,15533,21.549156%,59.781529%,18.669315%
159,15534,17.397454%,68.316832%,14.285714%
160,15535,18.590998%,63.470320%,17.938682%
161,15537,17.985490%,68.179517%,13.834992%
162,15539,44.161359%,43.736730%,12.101911%
163,15545,18.441161%,67.142129%,14.416709%
164,15550,18.614719%,66.320346%,15.064935%
165,15554,24.532578%,66.742210%,8.725212%
166,15559,17.408377%,66.688482%,15.903141%
167,15946,28.461538%,62.806653%,8.731809%
168,16625,15.761887%,68.925496%,15.312617%
169,16633,19.841270%,73.015873%,7.142857%
170,16650,22.025496%,64.376771%,13.597734%
171,16655,15.273038%,72.269625%,12.457338%
172,16657,19.407559%,71.297242%,9.295199%
173,16659,16.981132%,71.698113%,11.320755%
174,16662,23.702830%,64.669811%,11.627358%
175,16664,22.375479%,58.850575%,18.773946%
176,16667,17.964694%,70.820353%,11.214953%
177,16670,21.951220%,78.048780%,0.000000%
178,16672,9.729730%,64.324324%,25.945946%
179,16673,25.317139%,66.099865%,8.582996%
180,16678,22.890295%,61.867089%,15.242616%
181,16679,7.754443%,76.736672%,15.508885%
182,16694,15.333333%,64.666667%,20.000000%
183,16695,26.271186%,62.146893%,11.581921%
184,17211,9.200000%,77.200000%,13.600000%
185,17022,37.632156%,53.475962%,8.891881%
186,17073,16.196355%,60.052910%,23.750735%
187,17501,33.311959%,54.151972%,12.536069%
188,17502,26.152253%,61.574314%,12.273433%
189,17505,17.993367%,35.240464%,46.766169%
190,17507,0.000000%,55.555556%,44.444444%
191,17508,23.076923%,62.068966%,14.854111%
192,17509,22.162986%,42.688500%,35.148515%
193,17512,26.180880%,61.018862%,12.800258%
194,17516,31.764329%,58.885687%,9.349984%
195,17517,28.660061%,54.736550%,16.603389%
196,17518,14.267990%,56.451613%,29.280397%
197,17519,18.093890%,48.855862%,33.050248%
198,17520,39.435792%,56.508963%,4.055245%
199,17522,28.623285%,51.115538%,20.261178%
200,17527,18.571816%,53.923432%,27.504752%
201,17529,19.244476%,40.912331%,39.843193%
202,17532,19.619620%,64.214214%,16.166166%
203,17535,13.709677%,38.440860%,47.849462%
204,17536,19.573171%,45.731707%,34.695122%
205,17538,55.375485%,42.319105%,2.305410%
206,17540,29.821457%,47.225350%,22.953193%
207,17543,43.222043%,47.194288%,9.583669%
208,17545,29.570313%,57.180990%,13.248698%
209,17547,33.829237%,59.271238%,6.899526%
210,17550,8.207934%,91.792066%,0.000000%
211,17551,41.038915%,51.874331%,7.086755%
212,17552,36.176135%,57.529261%,6.294605%
213,17554,35.181357%,57.282466%,7.536177%
214,17555,19.795627%,47.409696%,32.794677%
215,17557,19.437603%,51.169951%,29.392447%
216,17560,14.853058%,69.631983%,15.514959%
217,17562,13.591837%,42.244898%,44.163265%
218,17563,13.467425%,63.052033%,23.480542%
219,17565,22.373541%,63.083658%,14.542802%
220,17566,20.884458%,57.911554%,21.203988%
221,17569,33.110993%,54.135539%,12.753469%
222,17570,43.137255%,48.366013%,8.496732%
223,17572,15.381338%,51.427354%,33.191308%
224,17576,9.036145%,17.469880%,73.493976%
225,17578,24.450118%,56.932443%,18.617439%
226,17579,32.327141%,52.708978%,14.963880%
227,17581,22.743682%,54.512635%,22.743682%
228,17582,29.898305%,62.508475%,7.593220%
229,17584,34.360397%,56.629673%,9.009930%
230,17601,49.779687%,42.474712%,7.745601%
231,17602,29.517481%,50.699526%,19.782993%
232,17603,33.445723%,51.081141%,15.473136%
233,17606,30.800821%,61.190965%,8.008214%
234,19310,26.183996%,53.402286%,20.413718%
235,19344,31.932021%,53.296703%,14.771275%
236,19362,25.473411%,59.403372%,15.123217%
237,19363,33.961744%,49.871253%,16.167004%
238,19501,24.383917%,65.110246%,10.505837%
239,19540,38.097526%,53.783329%,8.119145%
240,19543,42.817818%,48.298298%,8.883884%
241,19551,28.772803%,60.392482%,10.834715%
242,15832,18.750000%,64.453125%,16.796875%
243,15834,25.960637%,62.168072%,11.871290%
244,15861,16.949153%,63.559322%,19.491525%
245,16720,12.273212%,73.212380%,14.514408%
246,16666,17.622572%,67.946346%,14.431082%
247,16677,0.000000%,96.039604%,3.960396%
248,16680,18.644068%,73.163842%,8.192090%
249,16686,28.010695%,64.053476%,7.935829%
