,County,Higher Degree,H.S. Diploma,No H.S. Diploma
601,19073,64.523810%,32.521008%,2.955182%
602,19087,79.087180%,18.370851%,2.541969%
603,19301,69.407895%,27.878289%,2.713816%
604,19310,26.183996%,53.402286%,20.413718%
605,19311,41.518501%,35.239468%,23.242031%
606,19312,84.573140%,13.667000%,1.759860%
607,19316,29.090909%,40.000000%,30.909091%
608,19317,72.272861%,26.595119%,1.132020%
609,19319,14.000000%,86.000000%,0.000000%
610,19320,36.050715%,53.166880%,10.782406%
611,19330,35.877262%,55.179649%,8.943089%
612,19333,76.449352%,21.193459%,2.357188%
613,19335,61.957640%,33.921331%,4.121029%
614,19341,67.276036%,30.176193%,2.547771%
615,19342,62.245049%,35.486255%,2.268696%
616,19343,61.744966%,35.146591%,3.108442%
617,19344,31.932021%,53.296703%,14.771275%
618,19345,56.126482%,33.201581%,10.671937%
619,19348,54.557547%,29.828340%,15.614113%
620,19350,62.440686%,32.035527%,5.523786%
621,19352,48.833510%,42.435490%,8.731000%
622,19355,70.470418%,26.176046%,3.353535%
623,19358,18.703242%,48.877805%,32.418953%
624,19362,25.473411%,59.403372%,15.123217%
625,19363,33.961744%,49.871253%,16.167004%
626,19365,27.823344%,60.483701%,11.692955%
627,19367,100.000000%,0.000000%,0.000000%
628,19372,49.110923%,49.195597%,1.693480%
629,19373,41.903367%,42.723280%,15.373353%
630,19374,4.561404%,43.333333%,52.105263%
631,19375,56.862745%,43.137255%,0.000000%
632,19380,62.281439%,33.086752%,4.631809%
633,19382,64.699272%,31.306009%,3.994719%
634,19383,100.000000%,0.000000%,0.000000%
635,19390,46.267986%,40.197842%,13.534173%
636,19425,79.977445%,18.248924%,1.773631%
637,19442,Not applicable,Not applicable,Not applicable
638,19457,53.086420%,46.913580%,0.000000%
639,19460,59.049010%,36.133431%,4.817559%
640,19465,47.407468%,48.033963%,4.558569%
641,19475,42.054040%,48.981944%,8.964016%
642,19520,41.515651%,49.823488%,8.660861%
643,19543,42.817818%,48.298298%,8.883884%
644,15721,10.365854%,78.048780%,11.585366%
645,15724,14.539007%,68.262411%,17.198582%
646,15742,14.985163%,66.023739%,18.991098%
647,15753,12.997347%,70.822281%,16.180371%
648,15757,17.071057%,70.277296%,12.651646%
649,15767,24.822134%,61.403162%,13.774704%
650,15801,30.788106%,62.074192%,7.137702%
651,15824,28.268156%,62.988827%,8.743017%
652,15840,23.702186%,70.423497%,5.874317%
653,15848,20.169252%,57.827927%,22.002821%
654,15849,14.898990%,73.484848%,11.616162%
655,15856,26.300985%,69.057665%,4.641350%
656,15866,30.281690%,56.338028%,13.380282%
657,16616,17.567568%,67.567568%,14.864865%
658,16620,22.317597%,66.094421%,11.587983%
659,16627,21.818182%,68.727273%,9.454545%
660,16639,16.991643%,73.630455%,9.377902%
661,16645,21.212121%,61.363636%,17.424242%
662,16646,27.272727%,64.696040%,8.031233%
663,16651,15.357380%,66.430626%,18.211994%
664,16656,15.409483%,70.474138%,14.116379%
665,16661,16.225166%,69.370861%,14.403974%
666,16666,17.622572%,67.946346%,14.431082%
667,16671,27.925532%,57.978723%,14.095745%
668,16680,18.644068%,73.163842%,8.192090%
669,16692,14.176245%,69.540230%,16.283525%
670,16821,9.322034%,90.677966%,0.000000%
671,16825,24.000000%,60.000000%,16.000000%
672,16830,27.143429%,59.845753%,13.010817%
673,16833,24.288190%,64.917059%,10.794751%
674,16834,13.385827%,63.779528%,22.834646%
675,16836,15.384615%,74.009324%,10.606061%
676,16837,5.982906%,94.017094%,0.000000%
677,16838,23.168909%,67.040359%,9.790732%
678,16839,10.606061%,63.383838%,26.010101%
679,16840,26.801153%,55.619597%,17.579251%
680,16843,1.780415%,55.786350%,42.433234%
681,16845,13.229018%,70.554765%,16.216216%
682,16847,4.115226%,70.370370%,25.514403%
683,16849,48.070175%,48.421053%,3.508772%
684,16855,14.800000%,64.400000%,20.800000%
685,16858,16.838488%,65.292096%,17.869416%
686,16860,47.577093%,52.422907%,0.000000%
687,16861,18.000000%,62.500000%,19.500000%
688,16863,18.685832%,74.743326%,6.570842%
689,16866,18.656435%,66.033463%,15.310102%
690,16871,11.538462%,57.692308%,30.769231%
691,16876,12.053571%,71.875000%,16.071429%
692,16878,19.339985%,63.161934%,17.498081%
693,16879,12.334802%,74.889868%,12.775330%
694,16881,20.506165%,68.332252%,11.161583%
695,15714,25.211745%,63.975155%,10.813100%
696,15722,24.836212%,66.527695%,8.636093%
697,15724,14.539007%,68.262411%,17.198582%
698,15737,15.853659%,64.634146%,19.512195%
699,15738,11.258278%,82.781457%,5.960265%
700,15760,11.538462%,73.076923%,15.384615%
701,15762,40.340909%,52.840909%,6.818182%
702,15773,24.011299%,63.276836%,12.711864%
703,15775,31.861804%,59.309021%,8.829175%
704,15901,17.350487%,60.535466%,22.114047%
705,15902,22.100603%,66.707662%,11.191735%
706,15904,38.122838%,54.875199%,7.001963%
707,15905,43.124837%,52.957691%,3.917472%
708,15906,18.881471%,66.620481%,14.498048%
709,15909,25.871560%,63.722149%,10.406291%
710,15921,8.163265%,68.367347%,23.469388%
711,15922,20.714286%,65.714286%,13.571429%
712,15925,25.000000%,66.346154%,8.653846%
713,15927,24.110032%,51.779935%,24.110032%
714,15930,0.000000%,89.922481%,10.077519%
715,15931,39.823009%,51.087446%,9.089546%
716,15934,40.414508%,59.585492%,0.000000%
717,15938,25.766871%,67.763525%,6.469604%
718,15940,28.755020%,61.807229%,9.437751%
719,15942,28.657435%,62.733293%,8.609272%
720,15943,22.666154%,64.963504%,12.370342%
721,15945,26.890756%,63.025210%,10.084034%
722,15946,28.461538%,62.806653%,8.731809%
723,15948,22.975518%,53.672316%,23.352166%
724,15951,22.556391%,53.947368%,23.496241%
725,15952,25.984252%,68.799213%,5.216535%
726,15955,27.386798%,62.684124%,9.929078%
727,15956,22.793688%,65.341905%,11.864407%
728,15957,28.600823%,56.378601%,15.020576%
729,15958,30.567082%,61.687414%,7.745505%
730,15960,20.506912%,72.119816%,7.373272%
731,15961,23.471074%,61.487603%,15.041322%
732,15962,20.338983%,73.728814%,5.932203%
733,15963,29.920477%,57.952286%,12.127237%
734,16613,24.854369%,68.640777%,6.504854%
735,16619,7.537688%,84.924623%,7.537688%
736,16624,24.087591%,70.072993%,5.839416%
737,16627,21.818182%,68.727273%,9.454545%
738,16630,32.681756%,58.573388%,8.744856%
739,16636,28.966790%,66.051661%,4.981550%
740,16639,16.991643%,73.630455%,9.377902%
741,16640,27.464789%,64.436620%,8.098592%
742,16641,24.620573%,69.421023%,5.958404%
743,16646,27.272727%,64.696040%,8.031233%
744,16668,26.631259%,62.974203%,10.394537%
745,16699,14.062500%,58.664773%,27.272727%
746,15821,18.320611%,58.015267%,23.664122%
747,15823,29.189687%,63.443831%,7.366483%
748,15827,22.463768%,69.565217%,7.971014%
749,15832,18.750000%,64.453125%,16.796875%
750,15841,25.714286%,65.142857%,9.142857%
751,15845,22.567923%,65.293602%,12.138475%
752,15846,34.224382%,57.027136%,8.748481%
753,15853,29.131653%,64.037923%,6.830424%
754,15857,30.651901%,61.794818%,7.553280%
755,15860,23.349057%,66.155660%,10.495283%
756,15868,31.508165%,58.309318%,10.182517%
757,15870,24.387646%,67.731629%,7.880724%
758,16728,0.000000%,65.517241%,34.482759%
759,16734,30.481283%,58.288770%,11.229947%
760,16735,26.720742%,64.519119%,8.760139%
761,18036,47.539901%,45.514584%,6.945515%
762,18041,37.413148%,56.360235%,6.226617%
763,18054,34.454605%,60.254735%,5.290660%
764,18055,36.827743%,55.179079%,7.993178%
765,18073,40.150932%,52.333282%,7.515786%
766,18077,48.870392%,47.919144%,3.210464%
767,18081,11.602210%,61.325967%,27.071823%
768,18901,57.320732%,38.383838%,4.295430%
769,18902,68.070301%,29.490674%,2.439024%
770,18912,54.736842%,45.263158%,0.000000%
771,18913,27.710843%,72.289157%,0.000000%
772,18914,58.438745%,37.598714%,3.962541%
773,18917,37.252221%,49.213944%,13.533835%
774,18920,48.076923%,51.923077%,0.000000%
775,18923,56.852792%,34.856176%,8.291032%
776,18925,61.852093%,34.591195%,3.556712%
777,18929,59.509820%,38.173577%,2.316602%
778,18930,40.231548%,49.927641%,9.840810%
779,18932,49.189189%,36.486486%,14.324324%
780,18935,Not applicable,Not applicable,Not applicable
781,18938,63.961791%,33.626013%,2.412196%
782,18940,69.302738%,28.461690%,2.235572%
783,18942,37.919463%,56.753356%,5.327181%
784,18944,46.224496%,47.997442%,5.778062%
785,18947,52.844788%,42.944925%,4.210287%
786,18950,57.792208%,42.207792%,0.000000%
787,18951,35.550374%,53.843007%,10.606618%
788,18954,57.785055%,38.597797%,3.617148%
789,18955,41.606368%,53.183792%,5.209841%
790,18960,37.289228%,56.137901%,6.572871%
791,18962,38.578680%,59.390863%,2.030457%
792,18964,39.821540%,50.498029%,9.680432%
793,18966,52.092050%,43.611775%,4.296175%
794,18969,36.944856%,53.728719%,9.326425%
795,18970,32.685512%,59.893993%,7.420495%
796,18972,39.589136%,51.636490%,8.774373%
797,18974,40.975176%,50.403851%,8.620974%
798,18976,50.587561%,43.114073%,6.298366%
799,18977,74.176373%,25.823627%,0.000000%
800,18980,58.250000%,40.250000%,1.500000%
801,19006,58.242463%,35.914047%,5.843489%
802,19007,18.912861%,67.441860%,13.645279%
803,19020,37.456362%,54.391866%,8.151772%
804,19021,16.739895%,69.376098%,13.884007%
805,19030,28.981299%,63.863399%,7.155303%
806,19040,42.017156%,52.172108%,5.810736%
807,19047,50.666132%,43.631621%,5.702247%
808,19053,40.917892%,51.127741%,7.954367%
809,19054,26.483899%,66.475196%,7.040905%
810,19055,22.627110%,68.279050%,9.093841%
811,19056,37.211493%,56.043335%,6.745172%
812,19057,23.423777%,67.707026%,8.869197%
813,19067,62.851037%,33.206389%,3.942574%
814,19440,47.085610%,44.064967%,8.849423%
815,17701,30.581113%,58.124979%,11.293908%
816,17731,62.121212%,37.878788%,0.000000%
817,17737,29.763561%,60.083449%,10.152990%
818,17758,18.672840%,70.524691%,10.802469%
819,17768,17.916667%,64.166667%,17.916667%
820,17774,19.721116%,65.737052%,14.541833%
821,17814,24.644412%,65.428157%,9.927431%
822,18614,20.835482%,69.881382%,9.283136%
823,18616,23.149905%,65.654649%,11.195446%
824,18619,22.330097%,66.504854%,11.165049%
825,18626,28.389831%,59.957627%,11.652542%
826,18628,27.835052%,62.371134%,9.793814%
827,18632,17.464789%,70.985915%,11.549296%
828,18833,16.561404%,73.614035%,9.824561%
829,15618,21.685393%,67.584270%,10.730337%
830,15681,27.089255%,64.667425%,8.243320%
831,15701,43.944673%,48.094223%,7.961104%
832,15710,13.684211%,75.789474%,10.526316%
833,15712,3.703704%,73.148148%,23.148148%
834,15713,11.965812%,88.034188%,0.000000%
835,15714,25.211745%,63.975155%,10.813100%
836,15716,5.851979%,81.067126%,13.080895%
837,15717,26.391097%,64.745628%,8.863275%
838,15723,50.000000%,50.000000%,0.000000%
839,15724,14.539007%,68.262411%,17.198582%
840,15725,23.257840%,67.247387%,9.494774%
841,15727,42.477876%,39.823009%,17.699115%
842,15728,21.787026%,68.421053%,9.791922%
843,15729,17.635066%,64.831804%,17.533129%
844,15731,43.571429%,38.333333%,18.095238%
845,15732,19.552110%,68.475452%,11.972438%
846,15734,17.622951%,76.639344%,5.737705%
847,15739,23.484848%,70.454545%,6.060606%
848,15741,21.052632%,71.052632%,7.894737%
849,15742,14.985163%,66.023739%,18.991098%
850,15745,40.000000%,60.000000%,0.000000%
851,15746,17.000000%,22.000000%,61.000000%
852,15747,20.978030%,68.887314%,10.134656%
853,15748,28.121807%,60.433272%,11.444921%
854,15750,10.434783%,83.478261%,6.086957%
855,15752,70.000000%,30.000000%,0.000000%
856,15754,6.935123%,82.774049%,10.290828%
857,15756,11.290323%,77.419355%,11.290323%
858,15757,17.071057%,70.277296%,12.651646%
859,15759,23.816221%,63.994374%,12.189405%
860,15761,0.000000%,83.333333%,16.666667%
861,15765,27.979651%,59.883721%,12.136628%
862,15767,24.822134%,61.403162%,13.774704%
863,15771,26.382306%,63.033175%,10.584518%
864,15772,14.058355%,67.020336%,18.921309%
865,15774,32.579787%,59.219858%,8.200355%
866,15777,16.455696%,83.544304%,0.000000%
867,15783,38.181818%,54.545455%,7.272727%
868,15920,34.668990%,56.097561%,9.233449%
869,15929,11.475410%,22.950820%,65.573770%
870,15944,24.221022%,64.312422%,11.466556%
871,15949,8.638743%,80.104712%,11.256545%
872,15954,22.517846%,64.373783%,13.108371%
873,15957,28.600823%,56.378601%,15.020576%
874,15961,23.471074%,61.487603%,15.041322%
875,16211,16.513761%,75.229358%,8.256881%
876,16222,20.432099%,63.024691%,16.543210%
877,16246,18.128655%,64.912281%,16.959064%
878,16256,12.242687%,33.152763%,54.604550%
879,16901,35.242291%,56.641303%,8.116406%
880,16911,21.828909%,53.982301%,24.188791%
881,16912,28.394040%,60.430464%,11.175497%
882,16914,27.327528%,63.228399%,9.444072%
883,16917,28.679654%,61.363636%,9.956710%
884,16920,19.053964%,68.554297%,12.391739%
885,16921,17.156863%,71.568627%,11.274510%
886,16928,21.443299%,67.422680%,11.134021%
887,16929,29.284904%,60.215664%,10.499432%
888,16930,32.700893%,60.267857%,7.031250%
889,16932,27.178423%,64.730290%,8.091286%
890,16933,37.724950%,55.832037%,6.443013%
891,16935,28.077754%,58.639309%,13.282937%
892,16936,19.709544%,67.081604%,13.208852%
893,16938,23.308271%,62.218045%,14.473684%
894,16939,17.647059%,67.379679%,14.973262%
895,16940,26.344086%,52.688172%,20.967742%
896,16942,19.861831%,68.048359%,12.089810%
897,16943,11.666667%,65.555556%,22.777778%
898,16946,21.849234%,60.895171%,17.255595%
899,16947,25.975414%,61.170497%,12.854089%
900,16950,17.916186%,63.091119%,18.992695%
901,17724,20.416922%,66.217045%,13.366033%
902,17727,36.619718%,52.112676%,11.267606%
903,17765,21.733506%,63.777490%,14.489004%
904,15828,30.508475%,59.745763%,9.745763%
905,16217,34.246575%,60.273973%,5.479452%
906,16239,7.843137%,69.520697%,22.636166%
907,16321,10.000000%,82.000000%,8.000000%
908,16322,4.878049%,95.121951%,0.000000%
909,16341,26.214286%,65.428571%,8.357143%
910,16347,23.715651%,68.817204%,7.467145%
911,16351,19.408181%,72.410792%,8.181027%
912,16353,22.583779%,60.903351%,16.512870%
913,16370,15.217391%,75.362319%,9.420290%
914,17810,14.828897%,69.781869%,15.389234%
915,17829,14.012739%,68.152866%,17.834395%
916,17835,14.077670%,73.300971%,12.621359%
917,17837,41.763590%,42.868927%,15.367483%
918,17844,25.680272%,57.681406%,16.638322%
919,17845,15.373864%,65.688330%,18.937806%
920,17855,30.362117%,63.231198%,6.406685%
921,17856,17.007940%,74.091099%,8.900961%
922,17870,33.219796%,53.346023%,13.434182%
923,17880,15.000000%,41.250000%,43.750000%
924,17885,13.333333%,86.666667%,0.000000%
925,17886,28.478544%,60.208062%,11.313394%
926,17887,0.000000%,75.206612%,24.793388%
927,17889,35.360000%,51.093333%,13.546667%
928,17003,30.038023%,58.948941%,11.013036%
929,17010,0.000000%,48.529412%,51.470588%
930,17016,19.434194%,76.506765%,4.059041%
931,17026,21.986651%,63.643502%,14.369847%
932,17028,28.866366%,59.234234%,11.899399%
933,17033,56.524957%,36.962421%,6.512622%
934,17038,23.011557%,67.590075%,9.398368%
935,17039,12.000000%,34.666667%,53.333333%
936,17041,41.111111%,58.888889%,0.000000%
937,17042,31.094604%,57.178046%,11.727350%
938,17046,17.543266%,61.882433%,20.574301%
939,17064,63.826367%,31.350482%,4.823151%
940,17067,19.512446%,60.985394%,19.502160%
941,17073,16.196355%,60.052910%,23.750735%
942,17077,0.000000%,100.000000%,0.000000%
943,17078,40.896267%,52.253789%,6.849944%
944,17083,0.000000%,100.000000%,0.000000%
945,17087,20.202532%,63.037975%,16.759494%
946,17088,19.099379%,60.093168%,20.807453%
947,17545,29.570313%,57.180990%,13.248698%
948,17963,22.879684%,63.859809%,13.260507%
949,19551,28.772803%,60.392482%,10.834715%
950,15012,36.193242%,57.963745%,5.843013%
951,15401,27.221986%,61.648914%,11.129101%
952,15410,15.866084%,71.033479%,13.100437%
953,15413,28.503563%,60.332542%,11.163895%
954,15417,28.617886%,62.552846%,8.829268%
955,15420,18.571429%,65.714286%,15.714286%
956,15421,100.000000%,0.000000%,0.000000%
957,15422,0.000000%,57.471264%,42.528736%
958,15424,21.320755%,63.962264%,14.716981%
959,15425,24.850587%,63.137313%,12.012101%
960,15428,19.428200%,71.474984%,9.096816%
961,15430,13.725490%,82.843137%,3.431373%
962,15431,19.965577%,64.647160%,15.387263%
963,15433,22.005208%,70.312500%,7.682292%
964,15435,7.223476%,79.006772%,13.769752%
965,15436,19.381107%,68.295331%,12.323561%
966,15437,30.892212%,60.495101%,8.612687%
967,15438,29.735525%,61.115082%,9.149392%
968,15440,18.709677%,81.290323%,0.000000%
969,15442,24.810765%,59.714045%,15.475189%
970,15443,15.231788%,63.576159%,21.192053%
971,15444,0.000000%,66.546763%,33.453237%
972,15445,24.090909%,65.656566%,10.252525%
973,15446,38.818565%,61.181435%,0.000000%
974,15447,9.090909%,63.636364%,27.272727%
975,15449,34.770115%,51.724138%,13.505747%
976,15450,1.604870%,64.084117%,34.311013%
977,15451,15.754339%,69.692924%,14.552737%
978,15454,0.000000%,70.270270%,29.729730%
979,15455,11.671088%,70.557029%,17.771883%
980,15456,16.362786%,67.274427%,16.362786%
981,15458,22.263948%,58.261803%,19.474249%
982,15459,12.391681%,69.670711%,17.937608%
983,15460,13.793103%,62.068966%,24.137931%
984,15461,17.117117%,69.035702%,13.847181%
985,15462,22.591362%,55.481728%,21.926910%
986,15463,Not applicable,Not applicable,Not applicable
987,15464,23.211169%,62.303665%,14.485166%
988,15466,14.420063%,73.981191%,11.598746%
989,15467,7.964602%,69.911504%,22.123894%
990,15468,23.883067%,61.831219%,14.285714%
991,15469,15.435835%,65.254237%,19.309927%
992,15470,16.237942%,78.135048%,5.627010%
993,15472,20.353982%,33.185841%,46.460177%
994,15473,34.590554%,57.186544%,8.222902%
995,15474,24.626866%,61.567164%,13.805970%
996,15475,19.662244%,67.913148%,12.424608%
997,15476,0.000000%,50.724638%,49.275362%
998,15478,18.408941%,68.967784%,12.623274%
999,15480,22.944694%,65.994021%,11.061286%
1000,15482,22.834646%,68.503937%,8.661417%
1001,15484,38.043478%,42.391304%,19.565217%
1002,15486,21.487603%,68.949233%,9.563164%
1003,15489,3.240741%,78.703704%,18.055556%
1004,15490,23.867596%,76.132404%,0.000000%
1005,15492,9.433962%,59.433962%,31.132075%
1006,15557,24.802528%,65.284360%,9.913112%
1007,15610,31.401475%,56.410256%,12.188268%
1008,15622,32.126697%,51.131222%,16.742081%
1009,15631,26.301370%,65.479452%,8.219178%
1010,15666,30.138765%,60.309989%,9.551246%
1011,15683,32.445726%,61.363636%,6.190638%
1012,17026,21.986651%,63.643502%,14.369847%
1013,17067,19.512446%,60.985394%,19.502160%
1014,17087,20.202532%,63.037975%,16.759494%
1015,17555,19.795627%,47.409696%,32.794677%
1016,17569,33.110993%,54.135539%,12.753469%
1017,18011,39.298515%,49.948797%,10.752688%
1018,18031,56.456311%,40.970874%,2.572816%
1019,18041,37.413148%,56.360235%,6.226617%
1020,18056,9.440000%,76.000000%,14.560000%
1021,18062,53.109780%,39.506242%,7.383978%
1022,18070,12.838802%,81.597718%,5.563481%
1023,18092,45.251397%,44.950580%,9.798023%
1024,19464,33.684710%,54.922444%,11.392846%
1025,19503,23.542601%,65.470852%,10.986547%
1026,19504,35.890629%,58.667375%,5.441996%
1027,19505,28.053517%,62.926198%,9.020285%
1028,19506,31.115757%,55.179624%,13.704619%
1029,19507,15.950920%,61.585654%,22.463426%
1030,19508,32.868313%,57.224098%,9.907588%
1031,19510,39.678097%,54.198740%,6.123163%
1032,19511,0.000000%,55.294118%,44.705882%
1033,19512,28.243852%,59.697952%,12.058196%
1034,19518,41.526673%,50.761371%,7.711956%
1035,19519,Not applicable,Not applicable,Not applicable
1036,19520,41.515651%,49.823488%,8.660861%
1037,19522,28.536152%,60.865271%,10.598578%
1038,19523,6.896552%,93.103448%,0.000000%
1039,19526,26.505007%,57.184220%,16.310773%
1040,19529,36.635945%,53.494624%,9.869432%
1041,19530,36.742003%,51.809312%,11.448685%
1042,19533,25.112332%,58.062906%,16.824763%
1043,19534,29.547038%,58.257840%,12.195122%
1044,19535,32.432432%,67.567568%,0.000000%
1045,19536,11.568123%,66.066838%,22.365039%
1046,19538,0.000000%,0.000000%,100.000000%
1047,19539,25.850547%,61.391252%,12.758202%
1048,19540,38.097526%,53.783329%,8.119145%
1049,19541,38.909334%,50.685848%,10.404818%
1050,19542,Not applicable,Not applicable,Not applicable
1051,19543,42.817818%,48.298298%,8.883884%
1052,19544,22.580645%,70.967742%,6.451613%
1053,19545,16.187990%,74.673629%,9.138381%
1054,19547,37.479215%,56.069172%,6.451613%
1055,19550,17.299578%,61.603376%,21.097046%
1056,19551,28.772803%,60.392482%,10.834715%
1057,19554,34.538153%,54.216867%,11.244980%
1058,19555,25.719921%,61.538462%,12.741617%
1059,19559,18.884120%,60.085837%,21.030043%
1060,19560,22.240231%,63.155051%,14.604718%
1061,19562,28.703704%,62.183236%,9.113060%
1062,19564,7.619048%,80.952381%,11.428571%
1063,19565,32.923684%,59.004703%,8.071613%
1064,19567,29.079682%,54.219347%,16.700970%
1065,19601,14.500254%,49.137494%,36.362253%
1066,19602,13.420925%,51.221411%,35.357664%
1067,19604,13.610759%,51.654697%,34.734544%
1068,19605,28.934513%,60.863717%,10.201770%
1069,19606,38.731483%,51.182975%,10.085541%
1070,19607,39.535174%,50.613745%,9.851081%
1071,19608,49.294691%,44.896127%,5.809182%
1072,19609,40.988201%,51.622419%,7.389381%
1073,19610,56.861683%,37.892741%,5.245576%
1074,19611,25.549451%,58.272283%,16.178266%
1075,17901,26.056996%,63.413922%,10.529082%
1076,17921,21.655218%,65.996075%,12.348708%
1077,17922,31.575964%,56.377551%,12.046485%
1078,17923,18.928571%,73.214286%,7.857143%
1079,17925,24.550898%,60.479042%,14.970060%
1080,17929,26.672172%,62.014864%,11.312964%
1081,17930,24.277457%,68.786127%,6.936416%
1082,17931,16.931672%,69.015900%,14.052428%
1083,17933,100.000000%,0.000000%,0.000000%
1084,17934,15.204678%,70.175439%,14.619883%
1085,17935,18.190661%,67.898833%,13.910506%
1086,17936,29.690346%,63.387978%,6.921676%
1087,17938,29.002320%,60.498840%,10.498840%
1088,17941,20.289855%,68.659420%,11.050725%
1089,17943,29.670330%,54.945055%,15.384615%
1090,17944,31.632653%,48.979592%,19.387755%
1091,17945,5.042017%,81.512605%,13.445378%
1092,17946,37.931034%,62.068966%,0.000000%
1093,17948,20.048900%,61.613692%,18.337408%
1094,17949,15.736041%,77.157360%,7.106599%
1095,17951,9.467456%,72.189349%,18.343195%
1096,17952,18.848168%,64.921466%,16.230366%
1097,17953,18.537859%,69.973890%,11.488251%
1098,17954,20.208605%,62.320730%,17.470665%
1099,17957,13.168724%,72.427984%,14.403292%
1100,17959,16.010979%,71.820677%,12.168344%
1101,17960,30.744567%,62.023513%,7.231920%
1102,17961,40.724609%,51.118590%,8.156801%
1103,17963,22.879684%,63.859809%,13.260507%
1104,17964,28.595318%,62.541806%,8.862876%
1105,17965,23.630137%,64.931507%,11.438356%
1106,17967,24.857291%,65.386611%,9.756098%
1107,17968,23.857868%,55.329949%,20.812183%
1108,17970,18.702118%,71.248310%,10.049572%
1109,17972,32.411560%,57.698057%,9.890384%
1110,17974,13.821138%,75.203252%,10.975610%
1111,17976,15.808975%,66.055990%,18.135035%
1112,17978,15.384615%,55.769231%,28.846154%
1113,17979,44.936709%,46.202532%,8.860759%
1114,17980,20.765027%,66.985428%,12.249545%
1115,17981,11.613876%,67.320261%,21.065862%
1116,17982,21.823204%,65.469613%,12.707182%
1117,17983,23.888889%,63.703704%,12.407407%
1118,17985,25.161987%,65.658747%,9.179266%
1119,18201,18.482783%,57.788306%,23.728911%
1120,18202,22.071792%,59.930443%,17.997764%
1121,18211,26.528777%,69.694245%,3.776978%
1122,18214,37.559322%,52.271186%,10.169492%
1123,18218,18.696711%,68.453106%,12.850183%
1124,18220,18.439716%,70.212766%,11.347518%
1125,18231,18.000000%,70.285714%,11.714286%
1126,18237,18.922470%,71.747700%,9.329829%
1127,18240,24.783862%,66.246398%,8.969741%
1128,18241,12.385321%,72.247706%,15.366972%
1129,18242,23.741007%,69.784173%,6.474820%
1130,18245,39.669421%,60.330579%,0.000000%
1131,18248,12.765957%,78.959811%,8.274232%
1132,18252,28.537798%,57.271776%,14.190426%
1133,19549,10.937500%,69.270833%,19.791667%
1134,15411,27.476636%,63.925234%,8.598131%
1135,15424,21.320755%,63.962264%,14.716981%
1136,15501,26.457935%,61.185468%,12.356597%
1137,15502,72.500000%,15.000000%,12.500000%
1138,15510,7.897196%,67.850467%,24.252336%
1139,15520,11.320755%,62.735849%,25.943396%
1140,15530,21.759873%,65.041081%,13.199046%
1141,15531,25.025193%,62.176688%,12.798119%
1142,15532,5.343511%,71.755725%,22.900763%
1143,15534,17.397454%,68.316832%,14.285714%
1144,15538,19.965870%,68.600683%,11.433447%
1145,15540,24.840764%,59.872611%,15.286624%
1146,15541,22.100313%,66.065831%,11.833856%
1147,15542,12.274368%,75.571600%,12.154031%
1148,15544,27.272727%,72.727273%,0.000000%
1149,15545,18.441161%,67.142129%,14.416709%
1150,15546,8.333333%,91.666667%,0.000000%
1151,15547,16.071429%,76.785714%,7.142857%
1152,15551,23.950233%,66.251944%,9.797823%
1153,15552,20.108567%,62.945480%,16.945952%
1154,15555,39.189189%,52.702703%,8.108108%
1155,15557,24.802528%,65.284360%,9.913112%
1156,15558,19.392372%,60.698125%,19.909502%
1157,15559,17.408377%,66.688482%,15.903141%
1158,15560,37.931034%,56.034483%,6.034483%
1159,15561,40.875912%,48.905109%,10.218978%
1160,15562,21.000000%,56.000000%,23.000000%
1161,15563,21.833689%,64.818763%,13.347548%
1162,15564,29.411765%,58.823529%,11.764706%
1163,15622,32.126697%,51.131222%,16.742081%
1164,15905,43.124837%,52.957691%,3.917472%
1165,15924,17.496635%,65.814266%,16.689098%
1166,15926,25.650558%,60.382369%,13.967074%
1167,15928,29.225137%,68.395363%,2.379500%
1168,15935,23.707572%,67.728460%,8.563969%
1169,15936,20.221328%,69.818913%,9.959759%
1170,15937,13.611111%,71.388889%,15.000000%
1171,15953,14.285714%,76.190476%,9.523810%
1172,15963,29.920477%,57.952286%,12.127237%
1173,17017,24.361158%,66.269165%,9.369676%
1174,17730,43.589744%,43.589744%,12.820513%
1175,17749,28.063241%,67.984190%,3.952569%
1176,17756,29.785389%,55.560373%,14.654238%
1177,17772,23.781213%,61.058264%,15.160523%
1178,17777,23.180751%,64.730047%,12.089202%
1179,17801,22.062553%,62.299239%,15.638208%
1180,17821,36.629381%,53.736018%,9.634601%
1181,17823,21.871345%,65.497076%,12.631579%
1182,17824,36.512456%,56.192171%,7.295374%
1183,17830,19.343575%,66.410615%,14.245810%
1184,17832,20.156556%,66.144814%,13.698630%
1185,17834,22.892416%,63.104056%,14.003527%
1186,17836,20.245399%,69.325153%,10.429448%
1187,17840,19.512195%,70.731707%,9.756098%
1188,17847,23.865507%,61.509523%,14.624971%
1189,17850,17.943548%,66.733871%,15.322581%
1190,17851,22.620932%,63.482850%,13.896218%
1191,17857,28.295475%,61.008764%,10.695761%
1192,17860,29.778786%,57.855927%,12.365286%
1193,17865,11.764706%,70.588235%,17.647059%
1194,17866,13.591738%,64.554380%,21.853882%
1195,17867,23.622047%,69.291339%,7.086614%
1196,17868,37.787356%,56.321839%,5.890805%
1197,17872,17.645301%,69.415808%,12.938891%
1198,17881,16.260954%,70.496592%,13.242454%
