,County,Higher Degree,H.S. Diploma,No H.S. Diploma
137,17934,15.204678%,70.175439%,14.619883%
138,17935,18.190661%,67.898833%,13.910506%
139,17936,29.690346%,63.387978%,6.921676%
140,17938,29.002320%,60.498840%,10.498840%
141,17941,20.289855%,68.659420%,11.050725%
142,17943,29.670330%,54.945055%,15.384615%
143,17944,31.632653%,48.979592%,19.387755%
144,17945,5.042017%,81.512605%,13.445378%
145,17946,37.931034%,62.068966%,0.000000%
146,17948,20.048900%,61.613692%,18.337408%
147,17949,15.736041%,77.157360%,7.106599%
148,17951,9.467456%,72.189349%,18.343195%
149,17952,18.848168%,64.921466%,16.230366%
150,17953,18.537859%,69.973890%,11.488251%
151,17954,20.208605%,62.320730%,17.470665%
152,17957,13.168724%,72.427984%,14.403292%
153,17959,16.010979%,71.820677%,12.168344%
154,17960,30.744567%,62.023513%,7.231920%
155,17961,40.724609%,51.118590%,8.156801%
156,17963,22.879684%,63.859809%,13.260507%
157,17964,28.595318%,62.541806%,8.862876%
158,17965,23.630137%,64.931507%,11.438356%
159,17967,24.857291%,65.386611%,9.756098%
160,17968,23.857868%,55.329949%,20.812183%
161,17970,18.702118%,71.248310%,10.049572%
162,17972,32.411560%,57.698057%,9.890384%
163,17974,13.821138%,75.203252%,10.975610%
164,17976,15.808975%,66.055990%,18.135035%
165,17978,15.384615%,55.769231%,28.846154%
166,17979,44.936709%,46.202532%,8.860759%
167,17980,20.765027%,66.985428%,12.249545%
168,17981,11.613876%,67.320261%,21.065862%
169,17982,21.823204%,65.469613%,12.707182%
170,17983,23.888889%,63.703704%,12.407407%
171,17985,25.161987%,65.658747%,9.179266%
172,18201,18.482783%,57.788306%,23.728911%
173,18202,22.071792%,59.930443%,17.997764%
174,18211,26.528777%,69.694245%,3.776978%
175,18214,37.559322%,52.271186%,10.169492%
176,18218,18.696711%,68.453106%,12.850183%
177,18220,18.439716%,70.212766%,11.347518%
178,18231,18.000000%,70.285714%,11.714286%
179,18237,18.922470%,71.747700%,9.329829%
180,18240,24.783862%,66.246398%,8.969741%
181,18241,12.385321%,72.247706%,15.366972%
182,18242,23.741007%,69.784173%,6.474820%
183,18245,39.669421%,60.330579%,0.000000%
184,18248,12.765957%,78.959811%,8.274232%
185,18252,28.537798%,57.271776%,14.190426%
186,19549,10.937500%,69.270833%,19.791667%
187,15521,18.545752%,75.000000%,6.454248%
188,15522,25.407656%,62.888863%,11.703481%
189,15533,21.549156%,59.781529%,18.669315%
190,15534,17.397454%,68.316832%,14.285714%
191,15535,18.590998%,63.470320%,17.938682%
