,% Advanced,% Proficient,% Basic,% Below Basic,Conduct OSS
Cluster1,25.033579335793352,39.52123001230013,23.67218942189422,11.776236162361613,1.4459240507683147
Cluster2,3.706591639871391,18.262025723472675,31.922733118971063,46.11032154340838,14.005963084264131
Cluster3,41.5019493670886,38.29506329113924,14.750759493670873,5.453569620253164,0.4683796034771781
Cluster4,2.4408823529411805,13.672941176470584,31.604999999999997,52.28470588235293,56.811336807233275
Cluster5,13.235944700460816,33.512027649769585,30.889585253456215,22.363609831029184,4.3392770089397725
