,County,Doctorate,Professional,Masters,Bachelor,Associate,Some College,High School,Some HS,Less than HS,None
257,16827,8.458760%,1.384708%,14.990969%,36.754967%,11.017459%,11.770018%,12.492474%,3.040337%,0.090307%,0.000000%
258,16828,4.020402%,2.550255%,8.760876%,18.571857%,5.730573%,15.241524%,38.763876%,4.740474%,1.200120%,0.420042%
259,16829,0.000000%,0.000000%,0.854701%,7.905983%,7.905983%,10.897436%,64.957265%,2.991453%,3.205128%,1.282051%
260,16832,0.793651%,2.645503%,2.910053%,11.375661%,6.613757%,12.962963%,43.915344%,9.259259%,9.523810%,0.000000%
261,16835,0.000000%,0.000000%,9.016393%,15.573770%,0.819672%,9.016393%,57.377049%,8.196721%,0.000000%,0.000000%
262,16841,0.532301%,0.193564%,4.137430%,9.315267%,8.589402%,11.686426%,52.189693%,7.911928%,4.330994%,1.112993%
263,16844,2.100457%,0.730594%,5.525114%,14.657534%,8.584475%,14.063927%,47.899543%,5.707763%,0.456621%,0.273973%
264,16845,0.000000%,0.000000%,0.426743%,5.120910%,7.681366%,13.940256%,56.614509%,12.233286%,3.982930%,0.000000%
265,16851,40.092166%,0.000000%,15.898618%,16.589862%,2.995392%,21.889401%,2.534562%,0.000000%,0.000000%,0.000000%
266,16852,0.000000%,4.147465%,0.000000%,9.216590%,2.764977%,5.529954%,56.221198%,7.834101%,12.442396%,1.843318%
267,16853,0.000000%,0.000000%,5.625000%,13.125000%,0.000000%,6.875000%,63.750000%,10.625000%,0.000000%,0.000000%
268,16854,2.226027%,0.684932%,2.910959%,14.554795%,11.986301%,5.993151%,50.000000%,7.020548%,4.623288%,0.000000%
269,16859,0.000000%,0.000000%,2.827763%,6.426735%,8.483290%,11.568123%,59.640103%,8.740360%,1.542416%,0.771208%
270,16860,0.000000%,0.000000%,5.726872%,22.026432%,19.823789%,3.524229%,48.898678%,0.000000%,0.000000%,0.000000%
271,16865,7.677293%,4.294079%,14.378660%,24.137931%,4.229018%,10.735198%,29.212752%,5.335068%,0.000000%,0.000000%
272,16866,0.641590%,0.377406%,3.245691%,8.567115%,5.824632%,15.347842%,50.685621%,8.051327%,2.893446%,4.365329%
273,16868,0.000000%,10.469314%,0.000000%,12.635379%,8.303249%,36.101083%,32.490975%,0.000000%,0.000000%,0.000000%
274,16870,4.574066%,3.105329%,18.904742%,23.583718%,6.168695%,9.966429%,29.962232%,2.895510%,0.293747%,0.545531%
275,16872,0.633714%,0.000000%,3.802281%,6.210393%,7.351077%,11.026616%,46.514575%,7.477820%,14.828897%,2.154626%
276,16874,0.000000%,0.377715%,1.888574%,9.726157%,4.532578%,14.353163%,58.545798%,5.476865%,3.966006%,1.133144%
277,16875,1.238882%,0.667090%,8.894536%,16.200762%,7.083863%,7.687421%,43.805591%,7.560356%,5.336722%,1.524778%
278,16877,2.773498%,1.155624%,6.086287%,16.101695%,14.560863%,12.480740%,43.528505%,2.003082%,0.000000%,1.309707%
279,16882,0.000000%,1.562500%,0.000000%,23.958333%,8.333333%,13.020833%,36.458333%,3.645833%,11.458333%,1.562500%
280,16037,1.140567%,0.585697%,8.292232%,20.591862%,9.956843%,15.721332%,37.299630%,5.487053%,0.739827%,0.184957%
281,16051,0.634633%,0.498640%,4.986401%,14.233908%,10.199456%,17.815050%,45.376247%,5.711695%,0.407978%,0.135993%
282,16057,3.512915%,1.579336%,8.221402%,16.546125%,8.457565%,17.535055%,35.099631%,6.701107%,1.313653%,1.033210%
283,16101,0.248767%,0.586077%,2.900873%,10.751781%,9.267614%,15.727116%,48.366151%,8.668887%,2.268415%,1.214319%
284,16102,0.439408%,1.179463%,6.753006%,14.315449%,9.828862%,13.112858%,45.166512%,6.452359%,2.197040%,0.555042%
285,16105,1.252951%,2.987107%,9.097512%,19.584166%,6.355547%,20.056292%,34.964591%,4.303614%,1.053205%,0.345015%
286,16112,3.075571%,0.000000%,4.481547%,9.402460%,10.632689%,15.817223%,45.079086%,9.578207%,1.933216%,0.000000%
