,County,Doctorate,Professional,Masters,Bachelor,Associate,Some College,High School,Some HS,Less than HS,None
555,17366,0.987526%,0.077963%,2.079002%,7.536383%,10.109148%,15.722453%,46.985447%,13.149688%,2.702703%,0.649688%
556,17368,0.164926%,2.327286%,3.903244%,9.657321%,6.853583%,15.063222%,46.948873%,12.112883%,1.960784%,1.007880%
557,17370,0.600781%,0.600781%,5.497146%,11.024332%,6.428357%,22.078702%,44.247522%,8.621208%,0.690898%,0.210273%
558,17371,0.000000%,0.000000%,8.502024%,6.882591%,12.550607%,12.550607%,42.914980%,13.765182%,0.000000%,2.834008%
559,17372,1.306095%,1.373074%,3.951775%,8.941728%,9.477562%,13.261889%,44.105827%,9.008707%,7.970529%,0.602813%
560,17401,0.469296%,0.069895%,1.977034%,8.766850%,8.097853%,13.719421%,43.454818%,15.626560%,6.450325%,1.367948%
561,17402,0.867095%,1.584691%,8.540141%,19.393781%,8.106593%,17.487666%,33.865301%,6.996562%,2.051876%,1.106294%
562,17403,1.058983%,3.101023%,7.532769%,16.392263%,7.924393%,15.513107%,35.274137%,9.155211%,3.025096%,1.023018%
563,17404,0.681431%,2.137990%,6.145656%,14.714651%,10.890119%,15.021295%,38.999148%,7.210392%,2.908859%,1.290460%
564,17406,0.720228%,0.453247%,6.339252%,15.944369%,8.903514%,14.479076%,41.375885%,8.667577%,2.564262%,0.552589%
565,17407,0.311333%,1.307597%,9.464508%,16.998755%,10.709838%,20.734745%,35.429639%,3.922790%,0.871731%,0.249066%
566,17408,0.574713%,1.107519%,6.441571%,16.079981%,8.818247%,16.684626%,41.409243%,5.172414%,2.244971%,1.466715%
567,17021,0.000000%,0.000000%,2.049780%,4.978038%,2.049780%,14.641288%,58.565154%,13.762811%,2.928258%,1.024890%
568,17201,0.616076%,1.070935%,6.609857%,13.231230%,6.638646%,15.350069%,39.998848%,8.630815%,6.500461%,1.353063%
569,17202,0.912537%,1.183958%,6.514109%,14.619308%,7.609153%,16.552015%,42.795639%,7.024194%,2.363236%,0.425851%
570,17210,0.000000%,0.000000%,4.464286%,13.392857%,9.821429%,5.357143%,62.500000%,4.464286%,0.000000%,0.000000%
571,17214,0.000000%,3.413940%,2.844950%,6.685633%,8.392603%,33.712660%,40.825036%,4.125178%,0.000000%,0.000000%
572,17217,0.000000%,0.000000%,6.097561%,0.000000%,9.756098%,13.414634%,56.097561%,14.634146%,0.000000%,0.000000%
573,17219,0.000000%,0.000000%,2.554745%,3.284672%,7.664234%,3.284672%,43.795620%,23.722628%,15.693431%,0.000000%
574,17220,0.000000%,0.000000%,1.562500%,10.156250%,3.906250%,8.593750%,45.703125%,16.796875%,13.281250%,0.000000%
575,17221,0.000000%,0.000000%,1.933702%,9.392265%,7.182320%,11.878453%,56.077348%,7.182320%,6.353591%,0.000000%
576,17222,1.752629%,1.740110%,7.974462%,16.537306%,8.988483%,14.734602%,36.154231%,9.927391%,1.539810%,0.650976%
577,17224,0.202703%,0.135135%,1.689189%,2.094595%,7.905405%,11.554054%,63.243243%,9.324324%,3.243243%,0.608108%
578,17225,0.471629%,1.997052%,4.893147%,11.304348%,8.806190%,18.445099%,43.787767%,7.722918%,2.225497%,0.346352%
579,17235,0.000000%,0.000000%,4.946996%,32.508834%,4.593640%,4.593640%,38.162544%,15.194346%,0.000000%,0.000000%
580,17236,0.380820%,0.415441%,5.452657%,8.204951%,8.153021%,11.736195%,45.646529%,15.838671%,3.046564%,1.125151%
581,17237,1.707780%,0.189753%,2.561670%,4.459203%,11.859583%,17.647059%,50.664137%,7.020873%,3.795066%,0.094877%
582,17240,0.694746%,0.217108%,4.689535%,8.640903%,5.948762%,9.856709%,48.024316%,14.980460%,6.686930%,0.260530%
583,17244,1.108518%,0.000000%,2.858810%,9.393232%,6.301050%,19.603267%,46.732789%,7.876313%,5.367561%,0.758460%
584,17246,0.000000%,0.000000%,0.000000%,0.000000%,8.411215%,8.411215%,83.177570%,0.000000%,0.000000%,0.000000%
585,17247,6.572770%,0.000000%,20.187793%,6.807512%,0.000000%,13.615023%,18.779343%,11.971831%,22.065728%,0.000000%
586,17250,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,100.000000%,0.000000%,0.000000%,0.000000%,0.000000%
587,17251,1.739130%,0.000000%,8.695652%,13.043478%,1.739130%,11.304348%,55.652174%,4.347826%,3.478261%,0.000000%
588,17252,0.485437%,0.522778%,3.398058%,12.696042%,5.414488%,10.343540%,46.713966%,15.795370%,2.240478%,2.389843%
589,17254,0.000000%,0.000000%,33.333333%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,66.666667%
590,17256,0.000000%,21.333333%,21.333333%,0.000000%,0.000000%,0.000000%,24.000000%,33.333333%,0.000000%,0.000000%
591,17257,1.628019%,0.576715%,5.250511%,13.132284%,6.373904%,11.396131%,44.467139%,11.558332%,4.541632%,1.075333%
592,17261,0.000000%,0.000000%,0.000000%,0.000000%,7.361963%,9.815951%,44.171779%,23.312883%,15.337423%,0.000000%
593,17262,0.404040%,0.000000%,5.050505%,12.020202%,11.515152%,12.525253%,38.383838%,7.171717%,12.323232%,0.606061%
594,17263,0.000000%,0.000000%,3.888889%,3.611111%,17.500000%,9.166667%,35.000000%,15.000000%,15.833333%,0.000000%
595,17265,0.000000%,0.987654%,2.222222%,6.419753%,0.987654%,12.592593%,59.506173%,14.320988%,2.962963%,0.000000%
596,17268,0.514893%,0.336846%,6.501131%,11.707810%,8.661758%,15.379433%,44.131659%,10.192002%,1.929647%,0.644820%
597,17270,0.000000%,0.000000%,0.000000%,0.000000%,51.020408%,0.000000%,48.979592%,0.000000%,0.000000%,0.000000%
598,17271,0.000000%,0.000000%,0.000000%,10.344828%,1.724138%,11.494253%,45.402299%,10.919540%,14.942529%,5.172414%
599,17272,0.000000%,0.000000%,15.017065%,0.000000%,27.645051%,8.191126%,20.136519%,29.010239%,0.000000%,0.000000%
600,17527,0.108607%,0.325821%,4.154222%,8.824328%,5.158838%,12.055390%,41.868042%,11.648113%,14.417594%,1.439044%
601,19073,3.662465%,5.476190%,17.261905%,31.225490%,6.897759%,13.613445%,18.907563%,2.177871%,0.294118%,0.483193%
602,19087,4.826402%,8.222053%,24.160626%,37.643075%,4.235025%,8.985120%,9.385731%,1.707364%,0.615223%,0.219382%
603,19301,4.276316%,5.407072%,17.537007%,36.451480%,5.736020%,12.685033%,15.193257%,1.706414%,0.267270%,0.740132%
604,19310,0.925422%,0.653239%,6.423517%,11.703865%,6.477953%,13.336962%,40.065324%,13.391399%,6.532390%,0.489929%
605,19311,2.867211%,2.226494%,12.061509%,20.438892%,3.924395%,9.754926%,25.484543%,8.024988%,13.166747%,2.050296%
606,19312,6.090864%,7.551173%,25.074888%,42.673490%,3.182726%,6.340489%,7.326510%,0.998502%,0.312032%,0.449326%
607,19316,0.000000%,0.000000%,9.090909%,10.000000%,10.000000%,8.181818%,31.818182%,0.000000%,30.909091%,0.000000%
608,19317,6.806822%,9.188474%,22.140547%,28.947368%,5.189650%,12.349309%,14.245810%,0.338136%,0.764481%,0.029403%
609,19319,0.000000%,0.000000%,8.000000%,6.000000%,0.000000%,32.000000%,54.000000%,0.000000%,0.000000%,0.000000%
610,19320,1.373519%,1.053773%,8.002002%,19.151421%,6.469999%,18.094867%,35.072012%,7.053884%,2.994495%,0.734027%
611,19330,1.521112%,1.757147%,6.268030%,20.377655%,5.953318%,16.207710%,38.971938%,4.956727%,3.645424%,0.340939%
612,19333,5.946061%,6.901678%,25.716713%,33.828838%,4.056063%,11.934593%,9.258866%,0.934381%,1.380336%,0.042472%
613,19335,2.314675%,2.293495%,14.714070%,34.874433%,7.760968%,13.645991%,20.275340%,2.919818%,0.925870%,0.275340%
614,19341,3.019274%,3.995368%,17.503516%,35.784598%,6.973281%,13.971379%,16.204814%,1.298701%,0.628671%,0.620399%
615,19342,3.665386%,4.101389%,16.560745%,33.276678%,4.640851%,13.072717%,22.413538%,1.278451%,0.554242%,0.436004%
616,19343,2.296008%,2.578594%,15.471565%,33.768986%,7.629813%,15.153656%,19.992935%,2.031084%,0.688803%,0.388555%
617,19344,0.945566%,0.741119%,7.538973%,15.959622%,6.746742%,17.505750%,35.790953%,8.688985%,5.737286%,0.345004%
618,19345,0.000000%,0.000000%,32.015810%,21.739130%,2.371542%,8.300395%,24.901186%,5.533597%,5.138340%,0.000000%
619,19348,4.307341%,4.060303%,14.302907%,27.389624%,4.497371%,11.921201%,17.907139%,5.200481%,8.253626%,2.160005%
620,19350,4.720769%,3.881251%,14.697652%,32.522205%,6.618810%,14.965324%,17.070203%,3.491909%,1.727704%,0.304173%
621,19352,2.244609%,1.272534%,11.823966%,26.405090%,7.087310%,18.115942%,24.319548%,2.969247%,4.542241%,1.219512%
622,19355,3.682540%,5.587302%,19.630592%,36.588745%,4.981241%,12.808081%,13.367965%,2.354978%,0.802309%,0.196248%
623,19358,0.000000%,0.000000%,4.738155%,10.224439%,3.740648%,13.715711%,35.162095%,22.194514%,9.725686%,0.498753%
624,19362,0.233463%,0.881971%,3.709468%,13.852140%,6.796368%,15.771725%,43.631647%,9.208820%,5.265888%,0.648508%
625,19363,1.590951%,0.735700%,6.814420%,18.925878%,5.894795%,16.010668%,33.860585%,7.632886%,7.402980%,1.131138%
626,19365,0.336488%,1.051525%,4.311251%,13.817035%,8.307045%,15.226078%,45.257624%,8.180862%,2.250263%,1.261830%
627,19367,0.000000%,0.000000%,31.250000%,0.000000%,68.750000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
628,19372,6.096528%,1.016088%,13.039797%,27.773074%,1.185436%,8.890771%,40.304826%,1.693480%,0.000000%,0.000000%
629,19373,2.254758%,3.689605%,9.399707%,23.103953%,3.455344%,12.591508%,30.131772%,12.942899%,2.225476%,0.204978%
630,19374,0.000000%,0.000000%,0.000000%,2.982456%,1.578947%,14.736842%,28.596491%,0.877193%,49.649123%,1.578947%
631,19375,0.000000%,0.000000%,0.000000%,56.862745%,0.000000%,0.000000%,43.137255%,0.000000%,0.000000%,0.000000%
632,19380,2.266868%,2.336920%,16.218337%,35.740305%,5.719009%,14.520287%,18.566465%,2.874916%,1.260928%,0.495965%
633,19382,3.972245%,4.382392%,16.186757%,33.603955%,6.553923%,13.916903%,17.389106%,2.488974%,1.081552%,0.424193%
634,19383,0.000000%,0.000000%,0.000000%,100.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
635,19390,1.753597%,2.394335%,11.353417%,24.842626%,5.924011%,16.805306%,23.392536%,6.789568%,5.834083%,0.910522%
636,19425,4.090629%,5.648965%,21.160550%,42.464630%,6.612672%,10.047160%,8.201763%,1.281526%,0.379332%,0.112774%
637,19442,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
638,19457,0.000000%,0.000000%,0.000000%,0.000000%,53.086420%,0.000000%,46.913580%,0.000000%,0.000000%,0.000000%
639,19460,1.756583%,3.040106%,15.593586%,32.362865%,6.295871%,11.944763%,24.188667%,2.873143%,1.287001%,0.657414%
640,19465,1.170555%,2.497733%,10.419586%,26.700190%,6.619405%,17.393455%,30.640508%,3.552881%,0.667711%,0.337977%
641,19475,1.536688%,1.318991%,8.976822%,23.703419%,6.518120%,14.483289%,34.498655%,6.210782%,2.305033%,0.448201%
642,19520,1.576842%,0.894328%,10.072958%,19.957637%,9.013886%,17.415863%,32.407625%,6.754530%,1.529772%,0.376559%
643,19543,0.700701%,1.676677%,8.483483%,24.699700%,7.257257%,16.966967%,31.331331%,4.329329%,4.354354%,0.200200%
644,15721,0.000000%,0.000000%,1.219512%,1.829268%,7.317073%,12.195122%,65.853659%,9.756098%,1.829268%,0.000000%
645,15724,0.000000%,0.000000%,4.550827%,5.851064%,4.137116%,10.106383%,58.156028%,11.820331%,5.023641%,0.354610%
646,15742,0.148368%,0.000000%,3.412463%,5.044510%,6.379822%,8.902077%,57.121662%,11.127596%,6.824926%,1.038576%
647,15753,0.000000%,0.000000%,0.530504%,6.100796%,6.366048%,11.671088%,59.151194%,10.610080%,4.774536%,0.795756%
648,15757,0.000000%,0.693241%,1.993068%,5.979203%,8.405546%,9.012132%,61.265165%,9.358752%,2.166378%,1.126516%
649,15767,0.128458%,1.106719%,3.517787%,10.770751%,9.298419%,12.480237%,48.922925%,7.490119%,5.177866%,1.106719%
650,15801,0.837182%,0.368072%,5.290127%,11.973152%,12.319573%,15.300231%,46.773961%,5.268476%,1.493938%,0.375289%
651,15824,0.754190%,0.949721%,4.245810%,9.581006%,12.737430%,13.575419%,49.413408%,6.256983%,2.318436%,0.167598%
652,15840,0.204918%,0.000000%,3.483607%,8.333333%,11.680328%,16.256831%,54.166667%,4.713115%,0.956284%,0.204918%
653,15848,0.000000%,0.423131%,1.551481%,8.462623%,9.732017%,8.885755%,48.942172%,10.578279%,9.167842%,2.256700%
654,15849,0.000000%,0.000000%,3.156566%,2.146465%,9.595960%,14.772727%,58.712121%,10.227273%,1.010101%,0.378788%
655,15856,0.000000%,0.281294%,4.360056%,9.845288%,11.814346%,14.205345%,54.852321%,4.078762%,0.562588%,0.000000%
656,15866,0.000000%,0.000000%,9.154930%,7.746479%,13.380282%,10.563380%,45.774648%,4.929577%,7.042254%,1.408451%
657,16616,0.000000%,0.000000%,2.702703%,9.459459%,5.405405%,6.756757%,60.810811%,9.459459%,0.000000%,5.405405%
658,16620,0.000000%,0.000000%,0.858369%,11.587983%,9.871245%,17.167382%,48.927039%,9.871245%,0.858369%,0.858369%
659,16627,0.181818%,0.303030%,2.848485%,8.242424%,10.242424%,14.606061%,54.121212%,6.060606%,2.121212%,1.272727%
660,16639,0.000000%,0.000000%,1.949861%,6.778087%,8.263695%,10.213556%,63.416899%,7.056639%,2.321263%,0.000000%
661,16645,0.000000%,0.000000%,1.515152%,12.121212%,7.575758%,15.151515%,46.212121%,14.393939%,0.757576%,2.272727%
662,16646,0.167317%,1.171221%,4.517568%,10.150586%,11.266035%,14.333519%,50.362521%,6.134969%,1.394311%,0.501952%
663,16651,0.243417%,0.398318%,0.885152%,7.213985%,6.616508%,12.790440%,53.640186%,12.989599%,2.257137%,2.965258%
664,16656,0.000000%,0.538793%,1.185345%,5.387931%,8.297414%,13.038793%,57.435345%,10.021552%,3.771552%,0.323276%
665,16661,1.324503%,0.000000%,0.662252%,2.649007%,11.589404%,12.086093%,57.284768%,11.423841%,2.980132%,0.000000%
666,16666,0.138760%,0.138760%,1.248844%,7.030527%,9.065680%,14.801110%,53.145236%,12.627197%,0.231267%,1.572618%
667,16671,1.063830%,1.329787%,2.393617%,10.372340%,12.765957%,17.553191%,40.425532%,7.446809%,3.723404%,2.925532%
668,16680,0.000000%,0.000000%,1.694915%,10.169492%,6.779661%,21.468927%,51.694915%,5.084746%,1.129944%,1.977401%
669,16692,0.000000%,1.532567%,0.766284%,5.555556%,6.321839%,14.176245%,55.363985%,11.494253%,4.406130%,0.383142%
670,16821,0.000000%,0.000000%,9.322034%,0.000000%,0.000000%,0.000000%,90.677966%,0.000000%,0.000000%,0.000000%
671,16825,0.000000%,0.000000%,0.000000%,5.000000%,19.000000%,0.000000%,60.000000%,16.000000%,0.000000%,0.000000%
672,16830,1.201923%,1.191907%,3.435497%,11.628606%,9.685497%,15.705128%,44.140625%,10.376603%,1.562500%,1.071715%
673,16833,0.445655%,0.470413%,3.391929%,10.497648%,9.482545%,14.582818%,50.334241%,8.269374%,2.005447%,0.519931%
674,16834,0.000000%,0.000000%,0.000000%,3.149606%,10.236220%,3.937008%,59.842520%,12.598425%,5.511811%,4.724409%
675,16836,0.233100%,1.048951%,2.913753%,4.778555%,6.410256%,11.305361%,62.703963%,7.808858%,1.748252%,1.048951%
676,16837,0.000000%,0.000000%,0.000000%,5.982906%,0.000000%,19.658120%,74.358974%,0.000000%,0.000000%,0.000000%
677,16838,0.000000%,0.822123%,3.213752%,7.772795%,11.360239%,12.481315%,54.559043%,7.399103%,2.167414%,0.224215%
678,16839,0.000000%,0.000000%,0.000000%,6.313131%,4.292929%,11.616162%,51.767677%,21.464646%,4.545455%,0.000000%
679,16840,0.000000%,0.000000%,6.628242%,6.340058%,13.832853%,9.221902%,46.397695%,17.579251%,0.000000%,0.000000%
680,16843,0.000000%,0.000000%,0.000000%,0.000000%,1.780415%,15.727003%,40.059347%,32.640950%,9.792285%,0.000000%
681,16845,0.000000%,0.000000%,0.426743%,5.120910%,7.681366%,13.940256%,56.614509%,12.233286%,3.982930%,0.000000%
682,16847,0.000000%,0.000000%,0.000000%,4.115226%,0.000000%,4.526749%,65.843621%,9.053498%,16.460905%,0.000000%
683,16849,0.000000%,1.754386%,3.508772%,30.877193%,11.929825%,15.087719%,33.333333%,3.508772%,0.000000%,0.000000%
684,16855,0.000000%,0.000000%,0.000000%,6.800000%,8.000000%,8.000000%,56.400000%,20.800000%,0.000000%,0.000000%
685,16858,0.000000%,0.000000%,2.233677%,5.945017%,8.659794%,8.384880%,56.907216%,13.333333%,4.329897%,0.206186%
686,16860,0.000000%,0.000000%,5.726872%,22.026432%,19.823789%,3.524229%,48.898678%,0.000000%,0.000000%,0.000000%
687,16861,0.000000%,1.000000%,0.000000%,10.500000%,6.500000%,11.000000%,51.500000%,13.000000%,6.000000%,0.500000%
688,16863,0.205339%,0.000000%,0.616016%,3.696099%,14.168378%,19.096509%,55.646817%,5.133470%,1.437372%,0.000000%
689,16866,0.641590%,0.377406%,3.245691%,8.567115%,5.824632%,15.347842%,50.685621%,8.051327%,2.893446%,4.365329%
690,16871,0.000000%,0.000000%,0.000000%,11.538462%,0.000000%,0.000000%,57.692308%,23.076923%,7.692308%,0.000000%
691,16876,0.000000%,0.000000%,0.446429%,4.464286%,7.142857%,7.142857%,64.732143%,11.160714%,3.571429%,1.339286%
692,16878,0.230238%,0.767460%,1.611665%,9.516500%,7.214121%,9.439754%,53.722180%,11.895625%,4.144282%,1.458173%
693,16879,2.643172%,0.000000%,0.000000%,7.488987%,2.202643%,6.167401%,68.722467%,12.775330%,0.000000%,0.000000%
694,16881,0.000000%,0.000000%,2.660610%,5.710578%,12.134977%,13.951979%,54.380273%,8.436080%,2.011681%,0.713822%
695,15714,0.000000%,0.875212%,4.234896%,10.107284%,9.994353%,13.241107%,50.734049%,7.001694%,2.992660%,0.818746%
696,15722,0.536033%,0.774270%,4.347826%,10.661108%,8.516974%,12.269208%,54.258487%,5.419893%,2.858845%,0.357356%
697,15724,0.000000%,0.000000%,4.550827%,5.851064%,4.137116%,10.106383%,58.156028%,11.820331%,5.023641%,0.354610%
698,15737,0.000000%,0.000000%,0.000000%,12.195122%,3.658537%,3.658537%,60.975610%,19.512195%,0.000000%,0.000000%
699,15738,0.000000%,0.000000%,0.000000%,3.973510%,7.284768%,7.284768%,75.496689%,3.973510%,1.986755%,0.000000%
700,15760,0.000000%,0.000000%,3.846154%,0.000000%,7.692308%,3.846154%,69.230769%,3.846154%,11.538462%,0.000000%
701,15762,1.988636%,1.562500%,7.102273%,14.630682%,15.056818%,11.221591%,41.619318%,3.835227%,2.130682%,0.852273%
702,15773,0.000000%,0.000000%,3.954802%,9.604520%,10.451977%,15.254237%,48.022599%,7.627119%,0.847458%,4.237288%
703,15775,0.000000%,0.000000%,1.151631%,14.203455%,16.506718%,21.497121%,37.811900%,7.869482%,0.383877%,0.575816%
704,15901,1.043115%,1.043115%,2.121001%,3.824757%,9.318498%,11.543811%,48.991655%,14.951321%,5.389430%,1.773296%
705,15902,0.344361%,0.405854%,2.951666%,9.014881%,9.383840%,16.898290%,49.809372%,8.030992%,2.041569%,1.119174%
706,15904,1.551837%,1.028326%,9.208189%,17.088903%,9.245583%,18.313546%,36.561653%,4.702253%,1.869683%,0.430027%
707,15905,1.083834%,3.917472%,7.645599%,22.022721%,8.455210%,16.205276%,36.752416%,2.428833%,1.031601%,0.457038%
708,15906,0.050384%,0.440862%,2.355460%,6.927825%,9.106940%,15.077466%,51.543015%,9.812319%,3.337952%,1.347777%
709,15909,0.131062%,0.366972%,2.961992%,11.297510%,11.114024%,15.098296%,48.623853%,8.283093%,1.520315%,0.602883%
710,15921,0.000000%,0.000000%,0.000000%,5.102041%,3.061224%,24.489796%,43.877551%,11.224490%,12.244898%,0.000000%
711,15922,0.000000%,0.000000%,0.000000%,13.571429%,7.142857%,8.571429%,57.142857%,10.000000%,1.428571%,2.142857%
712,15925,0.000000%,0.000000%,1.923077%,10.576923%,12.500000%,11.538462%,54.807692%,6.730769%,1.923077%,0.000000%
713,15927,2.588997%,2.750809%,0.000000%,8.090615%,10.679612%,22.815534%,28.964401%,13.915858%,7.119741%,3.074434%
714,15930,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,89.922481%,10.077519%,0.000000%,0.000000%
715,15931,1.694915%,4.514774%,8.114594%,16.799160%,8.699565%,15.074246%,36.013199%,5.144743%,2.249888%,1.694915%
716,15934,0.000000%,0.000000%,21.243523%,19.170984%,0.000000%,24.870466%,34.715026%,0.000000%,0.000000%,0.000000%
717,15938,0.000000%,0.334635%,4.461796%,10.485220%,10.485220%,10.708310%,57.055215%,3.569437%,2.007808%,0.892359%
718,15940,1.164659%,2.208835%,5.702811%,10.722892%,8.955823%,19.558233%,42.248996%,5.863454%,2.128514%,1.445783%
719,15942,0.541842%,0.240819%,9.993980%,9.452137%,8.428657%,14.990969%,47.742324%,3.612282%,3.431668%,1.565322%
720,15943,0.653093%,0.000000%,3.918556%,7.837111%,10.257395%,12.639262%,52.324241%,9.335382%,2.420284%,0.614675%
721,15945,5.042017%,0.000000%,4.201681%,10.084034%,7.563025%,5.882353%,57.142857%,7.563025%,0.000000%,2.521008%
722,15946,0.374220%,0.498960%,5.093555%,11.517672%,10.977131%,14.968815%,47.837838%,6.091476%,1.663202%,0.977131%
723,15948,0.000000%,0.000000%,0.000000%,13.935970%,9.039548%,12.241055%,41.431262%,14.312618%,6.214689%,2.824859%
724,15951,2.443609%,2.255639%,12.969925%,4.887218%,0.000000%,7.142857%,46.804511%,15.601504%,0.000000%,7.894737%
725,15952,4.133858%,0.000000%,5.216535%,8.956693%,7.677165%,30.118110%,38.681102%,2.559055%,0.000000%,2.657480%
726,15955,0.000000%,1.582106%,3.000546%,11.238407%,11.565739%,11.674850%,51.009274%,6.164757%,3.546099%,0.218221%
727,15956,0.350672%,0.409117%,1.285798%,6.604325%,14.143776%,13.968440%,51.373466%,9.468147%,2.104033%,0.292227%
728,15957,0.000000%,0.000000%,10.288066%,8.230453%,10.082305%,6.995885%,49.382716%,9.876543%,3.086420%,2.057613%
729,15958,0.138313%,0.207469%,4.564315%,13.623790%,12.033195%,12.240664%,49.446750%,4.218534%,2.489627%,1.037344%
730,15960,0.000000%,0.000000%,1.152074%,3.225806%,16.129032%,16.589862%,55.529954%,4.147465%,3.225806%,0.000000%
731,15961,0.165289%,0.991736%,2.975207%,10.082645%,9.256198%,12.231405%,49.256198%,10.909091%,2.975207%,1.157025%
732,15962,1.694915%,0.000000%,4.237288%,7.627119%,6.779661%,9.322034%,64.406780%,5.932203%,0.000000%,0.000000%
733,15963,0.733101%,0.521869%,4.808648%,13.568588%,10.288270%,13.245527%,44.706759%,7.828032%,3.466700%,0.832505%
734,16613,0.485437%,0.776699%,2.621359%,8.737864%,12.233010%,15.922330%,52.718447%,3.689320%,2.815534%,0.000000%
735,16619,0.000000%,0.000000%,0.000000%,4.020101%,3.517588%,10.050251%,74.874372%,5.527638%,2.010050%,0.000000%
736,16624,2.189781%,0.729927%,0.729927%,9.489051%,10.948905%,16.788321%,53.284672%,3.649635%,2.189781%,0.000000%
737,16627,0.181818%,0.303030%,2.848485%,8.242424%,10.242424%,14.606061%,54.121212%,6.060606%,2.121212%,1.272727%
738,16630,0.514403%,1.200274%,6.310014%,12.860082%,11.796982%,14.231824%,44.341564%,5.658436%,1.406036%,1.680384%
739,16636,0.369004%,0.000000%,6.088561%,13.653137%,8.856089%,8.487085%,57.564576%,3.690037%,0.922509%,0.369004%
740,16639,0.000000%,0.000000%,1.949861%,6.778087%,8.263695%,10.213556%,63.416899%,7.056639%,2.321263%,0.000000%
741,16640,0.000000%,0.000000%,6.690141%,8.978873%,11.795775%,12.852113%,51.584507%,6.514085%,1.584507%,0.000000%
742,16641,0.786959%,0.337268%,2.136031%,10.511523%,10.848791%,11.916807%,57.504216%,4.834177%,0.955593%,0.168634%
743,16646,0.167317%,1.171221%,4.517568%,10.150586%,11.266035%,14.333519%,50.362521%,6.134969%,1.394311%,0.501952%
744,16668,0.682853%,1.100152%,4.172989%,9.218513%,11.456753%,11.115326%,51.858877%,5.007587%,4.097117%,1.289833%
745,16699,0.994318%,3.693182%,0.000000%,8.380682%,0.994318%,14.772727%,43.892045%,21.875000%,3.409091%,1.988636%
746,15821,0.000000%,0.000000%,0.000000%,11.450382%,6.870229%,17.557252%,40.458015%,16.030534%,7.633588%,0.000000%
747,15823,0.000000%,0.000000%,3.130755%,11.694291%,14.364641%,11.418048%,52.025783%,6.813996%,0.276243%,0.276243%
748,15827,0.000000%,0.000000%,0.000000%,11.594203%,10.869565%,17.391304%,52.173913%,3.623188%,4.347826%,0.000000%
749,15832,0.000000%,0.000000%,1.171875%,8.593750%,8.984375%,12.500000%,51.953125%,14.453125%,1.562500%,0.781250%
750,15841,0.000000%,0.000000%,0.000000%,12.000000%,13.714286%,5.142857%,60.000000%,6.857143%,2.285714%,0.000000%
751,15845,0.131464%,0.482033%,2.278703%,7.493427%,12.182296%,12.576687%,52.716915%,7.230500%,3.812445%,1.095530%
752,15846,0.000000%,0.000000%,5.953827%,15.998380%,12.272175%,8.950992%,48.076144%,6.034832%,2.146618%,0.567031%
753,15853,0.280112%,0.732601%,5.192846%,11.764706%,11.161388%,19.306184%,44.731739%,5.666882%,0.387847%,0.775695%
754,15857,0.459674%,1.243209%,4.283326%,13.215629%,11.450063%,12.776849%,49.017969%,5.129545%,1.180527%,1.243209%
755,15860,0.000000%,0.353774%,5.896226%,9.787736%,7.311321%,12.028302%,54.127358%,7.665094%,2.240566%,0.589623%
756,15868,0.192123%,0.672430%,5.763689%,12.007685%,12.872238%,14.313160%,43.996158%,6.916427%,2.689721%,0.576369%
757,15870,0.532481%,0.425985%,6.283280%,10.756124%,6.389776%,11.395101%,56.336528%,7.454739%,0.425985%,0.000000%
758,16728,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,13.793103%,51.724138%,34.482759%,0.000000%,0.000000%
759,16734,6.417112%,0.000000%,0.000000%,9.090909%,14.973262%,4.812834%,53.475936%,10.160428%,0.000000%,1.069519%
760,16735,0.463499%,0.533024%,5.863268%,11.031286%,8.829664%,16.013905%,48.505214%,6.535342%,1.205098%,1.019699%
761,18036,2.366538%,2.696753%,10.908090%,22.157402%,9.411117%,15.255916%,30.258668%,4.810127%,1.607045%,0.528343%
762,18041,0.641368%,0.561197%,7.883485%,16.809193%,11.517905%,18.172100%,38.188135%,4.329236%,1.336184%,0.561197%
763,18054,1.338994%,1.045069%,6.564337%,16.786414%,8.719791%,19.399086%,40.855650%,4.147616%,1.045069%,0.097975%
764,18055,1.159750%,1.262081%,8.106879%,16.759522%,9.539511%,18.942581%,36.236498%,5.639568%,1.307561%,1.046049%
765,18073,0.616048%,1.601725%,10.688434%,19.035885%,8.208840%,17.665178%,34.668104%,5.036193%,1.832743%,0.646850%
766,18077,2.556480%,0.475624%,13.912010%,24.078478%,7.847800%,17.717004%,30.202140%,3.032105%,0.178359%,0.000000%
767,18081,0.000000%,0.000000%,0.000000%,0.000000%,11.602210%,17.679558%,43.646409%,9.392265%,17.679558%,0.000000%
768,18901,2.295230%,3.330333%,14.431443%,29.762976%,7.500750%,14.986499%,23.397340%,3.280328%,0.630063%,0.385039%
