,County,Doctorate F,Professional F,Masters F,Bachelor F,Associate F,Some College F,High School F,Some HS F,Less than HS F,None F
55,18455,10.714%,42.857%,46.429%,0.000%,0.000%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
56,18456,2.367%,1.183%,4.142%,8.284%,4.142%,31.953%,36.095%,7.692%,0.000%,4.142%
57,18459,0.000%,14.815%,0.000%,44.444%,40.741%,0.000000%,0.000%,0.000%,0.000%,33.333333%
58,18460,0.000%,18.644%,5.085%,3.390%,13.559%,11.864%,47.458%,0.000%,0.000%,0.000000%
59,18461,0.000%,1.439%,7.914%,10.072%,5.036%,20.144%,49.640%,1.439%,4.317%,0.000000%
60,18462,0.000%,4.698%,24.161%,5.369%,8.725%,47.651%,6.711%,1.342%,1.342%,11.029412%
61,18463,6.742%,22.472%,8.989%,15.730%,46.067%,0.000%,8.571429%,-6.021329%,-49.177675%,-100.000000%
62,18465,0.000%,0.402%,7.028%,12.450%,10.643%,20.884%,37.550%,6.426%,4.016%,0.602%
63,18469,37.037%,37.778%,19.259%,5.926%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%,47.331%
64,18470,0.293%,1.171%,10.395%,17.862%,10.102%,13.616%,41.435%,5.124%,0.000%,12.270804%
65,18472,1.753%,0.779%,6.039%,11.299%,11.753%,14.545%,42.597%,7.468%,3.182%,0.584%
66,18473,0.000%,0.000%,26.374%,23.626%,16.484%,27.473%,6.044%,11.309524%,145.435369%,-32.942765%
67,18847,0.487%,0.828%,6.767%,9.104%,8.617%,20.351%,43.427%,8.471%,1.217%,0.730%
68,17005,1.754%,19.298%,13.158%,0.000%,48.246%,13.158%,4.386%,9.756098%,-100.000000%,-42.153451%
69,17017,0.489%,0.489%,4.405%,10.440%,11.419%,14.356%,48.124%,7.830%,1.305%,1.142%
70,17018,0.000%,0.261%,9.726%,13.903%,12.794%,26.305%,33.943%,1.110%,0.979%,0.979%
71,17020,0.085%,0.483%,4.719%,13.047%,10.517%,20.409%,42.695%,7.135%,0.739%,0.171%
72,17022,0.634%,1.703%,6.710%,19.750%,9.681%,15.302%,38.185%,5.990%,0.984%,1.060%
73,17023,0.329%,0.741%,3.868%,8.807%,11.440%,15.802%,47.654%,7.490%,2.881%,0.988%
74,17028,2.397%,4.298%,6.198%,9.008%,9.174%,13.388%,43.636%,11.901%,0.000%,0.000%
75,17030,0.000%,5.538%,14.462%,16.923%,42.462%,8.615%,10.154%,1.846%,2.145923%,-45.745866%
76,17032,0.161%,0.129%,6.950%,9.106%,9.395%,12.806%,50.579%,8.912%,1.609%,0.354%
77,17033,2.459%,4.631%,14.229%,29.176%,7.841%,11.466%,25.535%,2.954%,1.501%,0.208%
78,17034,0.000%,0.216%,15.043%,8.225%,14.719%,48.593%,10.823%,1.299%,1.082%,8.988764%
79,17036,2.954%,5.218%,11.472%,25.745%,6.898%,16.345%,26.424%,4.205%,0.512%,0.226%
80,17048,0.000%,0.682%,2.273%,7.121%,7.879%,14.848%,46.364%,11.667%,7.576%,1.591%
81,17057,0.113%,0.792%,4.124%,14.483%,8.838%,16.897%,41.099%,8.901%,3.885%,0.867%
82,17061,0.364%,1.927%,13.959%,7.597%,11.705%,45.911%,12.723%,4.907%,0.909%,12.958552%
83,17078,0.515%,2.415%,10.602%,19.255%,9.462%,15.370%,35.176%,5.160%,1.740%,0.306%
84,17080,0.000%,2.353%,16.471%,2.353%,20.000%,44.706%,11.765%,1.176%,1.176%,10.112360%
85,17097,1.375%,4.811%,5.155%,5.155%,13.058%,51.890%,17.526%,1.031%,0.000000%,-81.674159%
86,17098,0.000%,0.462%,5.774%,10.162%,15.127%,57.852%,9.238%,0.462%,0.924%,4.200542%
87,17101,3.297%,8.059%,4.640%,12.454%,1.954%,15.140%,31.013%,14.530%,5.128%,3.785%
88,17102,2.458%,2.185%,8.808%,17.583%,4.029%,18.778%,34.858%,8.228%,1.707%,1.366%
89,17103,0.000%,0.000%,4.217%,8.286%,8.286%,27.776%,38.220%,8.360%,2.697%,2.157%
90,17104,0.167%,0.000%,3.353%,9.194%,5.690%,17.311%,40.115%,16.401%,5.978%,1.790%
91,17109,0.213%,0.550%,8.492%,18.219%,12.329%,18.746%,32.544%,6.742%,1.077%,1.088%
92,17110,0.936%,2.698%,11.651%,18.908%,7.598%,17.190%,29.149%,7.841%,2.279%,1.751%
93,17111,0.505%,1.818%,8.642%,22.593%,10.670%,15.769%,31.345%,5.772%,1.456%,1.430%
94,17112,0.573%,1.751%,10.329%,22.999%,10.926%,17.877%,30.198%,3.696%,1.310%,0.341%
95,17113,0.000%,0.573%,3.599%,8.206%,13.222%,20.992%,43.430%,7.088%,2.181%,0.709%
96,17120,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
97,17980,1.297%,2.132%,7.692%,11.863%,15.755%,49.027%,8.897%,2.410%,0.927%,7.407407%
98,15613,0.276%,0.294%,5.279%,11.606%,11.624%,20.784%,40.776%,6.860%,1.637%,0.864%
99,15618,0.000%,3.723%,7.979%,15.426%,13.936%,51.064%,5.638%,1.383%,0.851%,7.401316%
100,15656,0.571%,0.364%,5.766%,16.416%,12.675%,10.779%,45.481%,6.494%,0.961%,0.494%
101,15673,1.217%,2.434%,9.939%,9.939%,9.736%,49.899%,16.227%,0.609%,7.832898%,-88.870947%
102,15686,10.432%,9.712%,3.957%,11.511%,51.079%,8.993%,4.317%,0.000000%,13.189017%,-100.000000%
103,15690,0.601%,0.180%,5.170%,7.364%,11.482%,20.860%,44.575%,8.656%,0.691%,0.421%
104,15732,0.871%,0.523%,3.833%,8.711%,7.317%,14.111%,52.962%,8.885%,2.265%,0.523%
105,15736,0.000%,10.811%,13.176%,4.392%,14.189%,53.041%,1.351%,3.041%,0.000%,15.277778%
106,15774,8.750%,0.000%,2.054%,16.607%,7.679%,14.196%,45.357%,4.286%,0.000%,1.071%
107,16025,0.405%,0.354%,5.367%,10.633%,11.848%,18.076%,47.342%,3.747%,1.570%,0.658%
108,16028,0.419%,0.838%,5.587%,8.101%,7.402%,10.754%,54.330%,10.475%,1.676%,0.419%
109,16041,0.277%,0.693%,2.770%,9.141%,9.557%,13.712%,50.831%,10.803%,1.801%,0.416%
110,16049,2.457%,7.461%,9.190%,17.561%,53.503%,7.279%,1.729%,0.819%,7.411273%,-62.853025%
111,16055,0.149%,1.277%,10.339%,16.102%,10.636%,17.053%,40.790%,2.258%,0.089%,1.307%
112,16201,0.468%,0.568%,5.095%,14.192%,9.807%,14.845%,44.295%,7.196%,2.569%,0.965%
113,16210,0.955%,5.414%,5.096%,15.605%,58.917%,12.102%,1.274%,0.637%,4.700855%,-90.455291%
114,16212,6.087%,15.652%,25.217%,40.870%,10.435%,1.739%,0.000%,8.910891%,-100.000000%,-47.164909%
115,16218,1.319%,2.418%,11.209%,8.352%,19.780%,51.648%,1.319%,3.077%,0.879%,3.225806%
116,16222,0.246%,1.968%,10.947%,8.241%,12.054%,51.415%,4.059%,10.701%,0.369%,8.641975%
117,16223,4.762%,7.937%,12.698%,69.841%,4.762%,6.250000%,7.500%,6.250%,0.000%,0.000%
118,16224,0.860%,0.000%,7.097%,10.968%,4.301%,16.559%,43.226%,13.548%,2.796%,0.645%
119,16226,0.245%,0.070%,4.617%,11.612%,15.285%,14.690%,46.275%,3.428%,2.973%,0.804%
120,16228,1.840%,5.521%,11.043%,24.540%,52.761%,1.227%,0.613%,2.454%,7.692308%,-78.183523%
121,16229,0.382%,1.091%,5.562%,17.121%,13.631%,21.865%,35.224%,4.035%,0.709%,0.382%
122,16236,7.519%,0.000%,49.624%,11.278%,31.579%,13.138686%,-100.000000%,-22.097166%,66.959832%,-100.000000%
123,16238,0.562%,1.124%,10.112%,16.292%,9.551%,25.281%,26.966%,5.618%,4.494%,20.408163%
124,16240,0.620%,0.207%,3.512%,6.198%,3.306%,14.876%,56.818%,11.777%,2.686%,0.000%
125,16242,0.175%,0.000%,5.484%,10.502%,6.184%,15.228%,48.483%,10.793%,3.151%,0.000%
126,16244,13.402%,6.186%,15.464%,64.948%,0.000%,0.000%,0.000%,0.000000%,-100.000000%,-100.000000%
