,County,Doctorate F,Professional F,Masters F,Bachelor F,Associate F,Some College F,High School F,Some HS F,Less than HS F,None F
512,17040,0.491%,0.983%,5.037%,13.636%,5.528%,15.602%,45.086%,8.845%,4.300%,0.491%
513,17045,0.557%,0.557%,4.360%,10.297%,8.442%,11.781%,48.794%,9.184%,3.340%,2.690%
514,17047,0.355%,0.000%,3.199%,5.924%,9.242%,16.943%,49.645%,6.872%,7.464%,0.355%
515,17053,0.427%,1.548%,5.019%,12.760%,9.343%,14.362%,47.998%,7.154%,1.388%,0.000%
516,17062,0.206%,0.412%,4.667%,12.560%,9.472%,14.688%,46.671%,7.138%,3.089%,1.098%
517,17068,0.590%,0.393%,8.453%,8.257%,13.237%,16.972%,44.430%,6.553%,0.721%,0.393%
518,17069,6.897%,3.448%,13.793%,44.828%,31.034%,9.523810%,-12.734091%,-43.530750%,55.829177%,-100.000000%
519,17071,0.000%,15.000%,5.000%,12.500%,30.000%,12.500%,25.000%,2.325581%,99.193923%,-86.210997%
520,17074,0.320%,0.240%,6.440%,11.400%,8.280%,17.360%,47.800%,6.280%,1.240%,0.640%
521,17090,0.260%,4.678%,6.185%,8.108%,27.027%,37.838%,12.266%,0.728%,2.911%,12.278761%
522,17011,0.401%,1.750%,10.662%,26.638%,9.851%,15.487%,27.288%,4.391%,1.895%,1.638%
523,17019,0.585%,1.964%,6.552%,19.040%,8.366%,17.391%,37.991%,5.877%,1.874%,0.360%
524,17055,0.869%,1.844%,11.394%,22.068%,10.088%,16.813%,31.888%,3.744%,0.756%,0.537%
525,17070,0.575%,3.232%,7.716%,17.783%,11.963%,17.039%,34.738%,5.110%,0.964%,0.880%
526,17301,0.132%,0.000%,6.477%,7.733%,8.328%,13.880%,47.059%,8.394%,6.675%,1.322%
527,17302,0.645%,4.839%,6.774%,16.344%,19.892%,39.785%,9.032%,2.688%,8.172531%,-72.233574%
528,17309,2.290%,2.036%,13.104%,9.415%,14.377%,41.858%,4.326%,10.433%,2.163%,3.669725%
529,17311,12.632%,14.737%,11.579%,4.211%,40.000%,9.474%,7.368%,14.285714%,-100.000000%,-15.296125%
530,17313,0.000%,0.356%,6.660%,12.074%,7.143%,16.624%,46.543%,7.448%,2.745%,0.407%
531,17314,1.213%,0.243%,0.679%,9.607%,8.200%,17.176%,46.288%,12.615%,3.590%,0.388%
532,17315,0.357%,0.210%,6.481%,14.307%,8.571%,14.842%,45.588%,6.071%,2.532%,1.040%
533,17316,0.707%,0.225%,8.071%,14.662%,7.395%,15.949%,45.016%,6.109%,1.768%,0.096%
534,17317,2.811%,3.213%,12.048%,12.450%,12.851%,42.169%,12.048%,2.410%,8.791209%,-100.000000%
535,17318,0.000%,18.248%,5.109%,60.584%,0.000%,16.058%,19.166667%,-100.000000%,13.644366%,-100.000000%
536,17319,0.510%,0.204%,6.553%,21.316%,12.162%,15.018%,38.756%,4.691%,0.484%,0.306%
537,17321,0.254%,0.635%,6.861%,11.309%,10.928%,19.568%,42.058%,7.497%,0.889%,8.695652%
538,17322,0.000%,0.862%,5.905%,8.017%,5.043%,20.129%,51.595%,6.336%,2.026%,0.086%
539,17327,0.512%,0.952%,5.161%,14.458%,7.394%,18.338%,41.325%,8.163%,3.075%,0.622%
540,17329,1.518%,5.061%,13.866%,5.466%,21.761%,46.053%,3.340%,2.935%,6.367432%,-42.731747%
541,17331,0.434%,0.621%,5.279%,12.582%,9.257%,16.934%,43.961%,8.068%,2.441%,0.423%
542,17339,0.000%,1.316%,5.420%,22.532%,7.743%,15.641%,40.418%,5.652%,1.278%,22.900467%
543,17345,3.025%,14.534%,5.737%,12.517%,51.043%,11.509%,1.565%,0.070%,10.147173%,-42.681992%
544,17347,0.188%,0.423%,8.608%,15.240%,12.512%,13.358%,41.063%,6.397%,1.693%,0.517%
545,17349,0.611%,0.815%,8.676%,24.236%,9.613%,14.990%,34.012%,3.544%,3.422%,0.081%
546,17352,0.000%,1.290%,3.226%,16.559%,5.591%,13.118%,40.645%,16.344%,3.226%,9.259259%
547,17355,4.396%,10.989%,6.593%,19.780%,45.055%,6.593%,5.495%,1.099%,7.042254%,4.719091%
548,17356,1.326%,0.412%,6.941%,14.370%,8.190%,21.105%,36.492%,6.863%,3.605%,0.695%
549,17360,0.921%,1.711%,10.136%,20.491%,12.769%,10.443%,30.978%,8.556%,3.993%,0.000%
550,17361,1.294%,0.626%,6.889%,22.505%,10.647%,17.996%,30.647%,7.390%,1.921%,0.084%
551,17362,0.262%,0.624%,7.331%,12.991%,8.479%,15.025%,46.647%,6.687%,1.853%,0.101%
552,17363,0.147%,0.764%,6.551%,22.327%,8.079%,18.537%,35.458%,4.906%,2.556%,0.676%
553,17364,1.189%,5.705%,11.173%,10.063%,9.113%,46.117%,13.708%,0.792%,2.139%,11.011080%
554,17365,0.000%,1.660%,4.149%,8.506%,7.158%,12.863%,48.651%,15.768%,1.245%,0.000%
555,17366,0.471%,0.157%,3.560%,8.639%,12.199%,21.204%,42.147%,10.785%,0.209%,0.628%
556,17368,0.328%,0.693%,2.079%,12.764%,7.732%,16.156%,44.055%,13.020%,2.553%,0.620%
557,17370,0.179%,1.194%,6.985%,13.254%,6.507%,19.940%,44.478%,6.507%,0.776%,0.179%
558,17371,5.556%,4.762%,15.079%,4.762%,44.444%,23.016%,2.381%,1.960784%,-45.022477%,-88.373978%
559,17372,0.341%,0.477%,4.155%,12.262%,11.512%,17.098%,42.030%,5.722%,6.403%,0.000%
560,17401,0.000%,0.119%,1.978%,8.427%,9.792%,14.243%,41.108%,17.072%,6.330%,0.930%
561,17402,0.687%,0.840%,9.434%,18.867%,8.564%,16.726%,34.848%,6.182%,2.645%,1.206%
562,17403,0.946%,1.613%,8.124%,17.264%,10.245%,15.583%,33.013%,9.495%,2.900%,0.818%
563,17404,0.710%,2.204%,7.729%,12.618%,13.451%,15.222%,38.508%,6.170%,2.130%,1.257%
564,17406,0.557%,0.521%,7.668%,16.283%,8.746%,14.577%,40.318%,8.983%,2.015%,0.332%
565,17407,0.253%,1.136%,10.606%,15.278%,12.121%,25.505%,30.808%,3.409%,0.884%,0.000%
566,17408,0.603%,1.149%,6.010%,14.758%,8.841%,15.651%,43.822%,5.708%,2.344%,1.114%
567,17021,1.813%,6.344%,2.719%,19.940%,54.079%,12.689%,2.115%,0.302%,5.723906%,-65.204100%
568,17201,0.440%,0.450%,6.830%,14.184%,6.422%,14.844%,38.194%,9.899%,7.846%,0.890%
569,17202,0.594%,0.817%,7.535%,15.553%,8.872%,16.026%,42.558%,5.160%,2.589%,0.297%
570,17210,0.000%,27.778%,0.000%,0.000%,72.222%,0.000%,0.000000%,-100.000000%,-100.000000%,-33.216067%
571,17214,5.199%,3.364%,4.587%,18.043%,25.076%,41.284%,2.446%,10.408922%,-44.619712%,-38.282678%
572,17217,11.364%,18.182%,0.000%,43.182%,27.273%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
573,17219,5.224%,3.731%,6.716%,2.985%,47.015%,23.134%,11.194%,1.000000%,-100.000000%,-94.070729%
574,17220,2.649%,7.285%,3.311%,11.258%,43.046%,23.179%,9.272%,7.407407%,-25.418089%,-56.079472%
575,17221,3.398%,3.883%,8.252%,15.534%,61.165%,3.398%,4.369%,9.659091%,-49.094886%,-42.728630%
576,17222,1.503%,1.789%,8.755%,12.452%,10.472%,14.623%,38.216%,9.924%,1.503%,0.763%
577,17224,0.000%,0.000%,2.400%,1.467%,10.933%,16.800%,55.867%,10.400%,1.467%,0.667%
578,17225,0.236%,1.414%,5.172%,12.892%,11.743%,19.095%,40.268%,5.761%,2.755%,0.663%
579,17235,9.396%,31.544%,8.725%,0.000%,40.268%,10.067%,38.333333%,-100.000000%,127.288732%,-100.000000%
580,17236,0.647%,0.000%,6.508%,8.666%,10.248%,12.729%,44.049%,14.096%,1.510%,1.546%
581,17237,2.120%,0.353%,2.827%,4.594%,11.307%,18.375%,49.823%,6.360%,4.240%,0.000%
582,17240,0.870%,0.174%,6.092%,11.575%,7.050%,9.138%,46.214%,12.968%,5.744%,0.174%
583,17244,0.000%,3.940%,11.587%,8.343%,22.016%,41.947%,6.141%,4.751%,1.275%,9.523810%
584,17246,15.254%,77.966%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%,16.822%,0.000000%,0.000000%
585,17247,5.618%,23.970%,4.869%,13.858%,27.341%,16.854%,7.491%,13.333333%,10.914%,16.865%
586,17250,10.914%,16.865%,0.000000%,0.000000%,13.454824%,13.020590%,10.459911%,4.918033%,33.644618%,23.268274%
587,17251,0.000%,20.000%,0.000%,4.000%,8.000%,54.000%,6.000%,8.000%,18.292683%,0.000%
588,17252,0.000%,1.049%,3.823%,11.919%,6.897%,13.343%,52.024%,8.846%,1.424%,0.675%
589,17254,0.000%,0.000000%,16.865%,25.668%,0.000000%,0.000000%,0.000000%,14.510475%,13.020590%,11.614335%
590,17256,0.000%,47.059%,52.941%,0.000%,0.000000%,16.865%,21.391%,100.000000%,60.975610%,33.333333%
591,17257,1.699%,0.501%,5.494%,13.479%,7.985%,11.524%,42.498%,11.594%,4.225%,1.001%
592,17261,4.545%,13.636%,52.273%,21.591%,7.955%,0.000000%,0.000%,0.000%,0.000%,0.000000%
593,17262,0.777%,5.437%,15.340%,12.621%,14.757%,35.922%,4.660%,10.291%,0.194%,9.116022%
594,17263,0.000%,11.504%,25.664%,0.000%,62.832%,0.000%,0.000%,0.000000%,-33.079794%,-100.000000%
595,17265,1.970%,2.463%,10.837%,0.000%,16.256%,56.650%,11.823%,0.000%,10.958904%,45.443182%
596,17268,0.466%,0.386%,7.765%,12.077%,9.352%,16.139%,42.320%,9.181%,1.722%,0.592%
597,17270,100.000%,-100.000000%,0.000000%,0.000000%,0.000000%,13.895721%,13.454824%,11.614335%,34.780899%,29.333279%
598,17271,15.625%,0.000%,6.250%,48.958%,16.667%,12.500%,0.000%,16.000000%,-53.408879%,-5.131660%
599,17272,0.000%,45.390%,17.021%,11.348%,26.241%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
600,17527,0.000%,0.210%,4.677%,10.930%,5.675%,10.825%,40.935%,12.874%,12.822%,1.051%
601,19073,2.437%,3.474%,17.317%,30.901%,7.025%,14.504%,21.076%,2.203%,0.454%,0.609%
602,19087,3.928%,5.825%,23.562%,39.257%,5.124%,9.736%,10.455%,1.115%,0.710%,0.288%
603,19301,3.253%,4.621%,16.044%,38.152%,5.915%,11.793%,18.373%,1.479%,0.074%,0.296%
604,19310,1.343%,0.207%,8.781%,11.364%,8.678%,10.640%,39.773%,11.983%,6.818%,0.413%
605,19311,1.458%,1.555%,13.897%,19.728%,5.766%,10.010%,26.401%,7.872%,10.722%,2.592%
606,19312,4.207%,4.516%,23.960%,47.231%,3.732%,7.369%,7.369%,1.284%,0.000%,0.333%
607,19316,21.277%,0.000%,23.404%,0.000%,55.319%,0.000%,19.642857%,-100.000000%,16.467828%,-100.000000%
608,19317,3.433%,6.809%,24.539%,30.298%,6.326%,11.943%,15.234%,0.511%,0.908%,0.000%
609,19319,12.329%,27.397%,60.274%,0.000000%,0.000%,0.000%,22.500%,37.500%,83.333333%,0.000000%
610,19320,0.779%,0.658%,9.430%,20.380%,6.539%,16.967%,36.645%,5.255%,2.655%,0.691%
611,19330,1.126%,2.610%,7.062%,22.467%,5.937%,17.247%,34.340%,5.015%,3.889%,0.307%
612,19333,4.787%,4.545%,21.521%,33.669%,6.718%,14.079%,12.631%,0.684%,1.368%,0.000%
613,19335,1.922%,2.474%,14.697%,33.238%,8.230%,13.486%,21.668%,2.878%,1.193%,0.214%
614,19341,2.956%,3.067%,17.734%,32.481%,10.551%,15.398%,16.526%,0.985%,0.159%,0.143%
615,19342,2.594%,2.760%,16.503%,32.510%,5.989%,12.778%,24.852%,1.352%,0.649%,0.014%
616,19343,2.337%,2.373%,17.989%,36.225%,7.932%,12.040%,19.547%,0.992%,0.142%,0.425%
617,19344,0.452%,1.079%,8.505%,16.859%,5.795%,18.289%,36.277%,7.577%,4.566%,0.602%
618,19345,33.750%,22.917%,2.500%,3.333%,26.250%,5.833%,5.417%,38.095238%,10.914%,25.668%
619,19348,2.551%,2.966%,17.269%,27.837%,4.552%,13.315%,18.343%,4.564%,6.822%,1.782%
620,19350,3.759%,3.261%,15.783%,34.553%,7.717%,15.185%,16.405%,2.290%,0.647%,0.398%
621,19352,0.798%,1.124%,10.225%,28.789%,8.376%,17.658%,25.236%,2.466%,4.097%,1.233%
622,19355,3.068%,4.497%,18.474%,36.172%,4.984%,14.177%,14.321%,2.946%,1.052%,0.310%
623,19358,4.741%,15.517%,4.741%,18.534%,26.293%,19.397%,10.345%,0.431%,7.792208%,-16.700723%
624,19362,0.203%,0.863%,4.317%,13.916%,7.770%,19.198%,41.493%,8.278%,3.250%,0.711%
625,19363,1.323%,0.818%,7.382%,18.854%,4.857%,17.061%,35.498%,6.302%,6.302%,1.602%
626,19365,0.165%,2.066%,5.579%,11.736%,8.140%,15.248%,44.752%,9.504%,1.901%,0.909%
627,19367,0.000000%,16.865%,21.391%,0.000000%,0.000000%,13.020590%,10.459911%,7.793210%,2.439024%,39.024390%
628,19372,10.155%,0.000%,18.244%,26.850%,2.410%,2.238%,36.661%,3.442%,25.141777%,-100.000000%
629,19373,0.578%,2.527%,14.657%,31.408%,4.404%,13.430%,23.827%,8.592%,0.578%,0.000%
630,19374,6.415%,0.000%,27.925%,22.642%,0.000%,43.019%,0.000%,4.368932%,43.732086%,-74.095417%
631,19375,0.000%,51.111111%,16.865%,25.668%,0.000%,0.000000%,0.000000%,0.000000%,11.614335%,7.045428%
632,19380,1.952%,1.316%,16.616%,34.602%,7.193%,13.446%,20.286%,2.876%,1.240%,0.473%
633,19382,3.321%,2.502%,17.186%,33.716%,7.560%,15.252%,16.612%,2.240%,1.093%,0.519%
634,19383,12.313400%,10.325347%,4.099302%,57.860452%,50.000000%,33.644618%,6.272042%,4.292246%,3.336158%,0.000000%
635,19390,0.499%,1.807%,12.007%,25.218%,7.831%,16.265%,24.013%,7.000%,4.882%,0.478%
636,19425,2.880%,4.631%,22.513%,41.925%,7.290%,10.814%,7.853%,1.289%,0.584%,0.222%
637,19442,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
638,19457,44.737%,0.000000%,10.914%,16.865%,100.000000%,0.000000%,13.020590%,10.459911%,6.153256%,0.000000%
639,19460,1.533%,1.648%,17.743%,33.696%,6.707%,10.334%,24.882%,2.492%,0.608%,0.358%
640,19465,1.228%,2.239%,12.562%,25.544%,6.639%,17.817%,29.571%,3.514%,0.653%,0.233%
641,19475,1.503%,1.278%,10.446%,24.499%,7.515%,14.053%,31.388%,6.087%,2.730%,0.501%
642,19520,0.493%,0.582%,13.211%,18.227%,9.494%,17.958%,33.408%,4.971%,1.164%,0.493%
643,19543,0.903%,1.753%,9.192%,23.433%,9.299%,17.056%,30.446%,3.188%,4.304%,0.425%
644,15721,2.857%,4.286%,15.714%,5.714%,65.714%,5.714%,0.000%,0.000000%,-100.000000%,-100.000000%
645,15724,6.378%,6.258%,5.054%,10.469%,58.243%,7.461%,5.776%,0.361%,5.436157%,-76.128664%
646,15742,0.000%,6.250%,5.921%,8.882%,10.855%,42.763%,15.132%,8.553%,1.645%,2.076125%
647,15753,0.000%,13.143%,10.286%,12.571%,50.857%,8.571%,2.857%,1.714%,5.851064%,-69.792570%
648,15757,0.000%,2.893%,8.318%,9.584%,7.595%,62.568%,7.052%,0.904%,1.085%,4.007286%
649,15767,0.076%,0.821%,3.782%,12.187%,10.201%,12.837%,47.545%,7.125%,4.145%,1.280%
650,15801,0.743%,0.000%,6.358%,11.643%,13.887%,12.276%,47.481%,5.753%,1.583%,0.275%
651,15824,0.618%,0.464%,4.843%,9.737%,13.653%,14.735%,48.120%,5.307%,2.215%,0.309%
652,15840,0.419%,4.469%,7.263%,11.313%,16.480%,52.793%,6.425%,0.838%,0.000%,5.400982%
653,15848,0.000%,2.167%,13.932%,11.146%,11.455%,43.963%,7.430%,9.288%,0.619%,14.498141%
654,15849,4.592%,3.061%,8.418%,15.816%,55.102%,10.969%,1.276%,0.765%,2.967359%,-100.000000%
655,15856,0.570%,6.838%,11.396%,13.105%,12.821%,50.997%,4.274%,0.000%,6.685237%,-12.072986%
656,15866,14.286%,8.571%,10.000%,5.714%,47.143%,5.714%,8.571%,0.000%,4.477612%,22.172273%
657,16616,6.061%,0.000%,12.121%,6.061%,66.667%,9.091%,0.000%,9.090909%,-100.000000%,-46.097534%
658,16620,0.862%,7.759%,8.621%,23.276%,54.310%,4.310%,0.862%,0.000%,5.952381%,-34.550568%
659,16627,0.000%,0.000%,3.892%,8.019%,10.613%,15.566%,53.892%,5.307%,1.651%,1.061%
660,16639,1.311%,7.116%,11.236%,10.861%,57.116%,9.551%,2.809%,4.174950%,-50.133766%,-75.245587%
661,16645,0.000%,17.910%,4.478%,20.896%,43.284%,11.940%,1.493%,0.000%,10.465116%,-100.000000%
662,16646,0.322%,1.395%,5.365%,9.764%,10.515%,16.738%,48.283%,5.258%,1.609%,0.751%
663,16651,0.000%,0.852%,1.782%,12.936%,10.612%,11.696%,48.412%,9.915%,2.866%,0.930%
664,16656,0.798%,1.597%,3.992%,11.377%,13.972%,56.287%,10.579%,1.397%,0.000%,4.370180%
665,16661,1.613%,0.000%,0.968%,12.903%,14.839%,56.452%,10.968%,2.258%,0.000000%,-65.639048%
666,16666,0.000%,0.271%,0.902%,5.140%,11.722%,18.485%,48.512%,13.436%,0.180%,1.353%
667,16671,0.000%,1.005%,3.518%,10.050%,16.080%,19.095%,36.181%,9.548%,3.518%,1.005%
668,16680,0.000%,9.756%,5.488%,26.829%,53.049%,2.439%,0.000%,2.439%,8.421053%,19.516354%
669,16692,1.581%,1.186%,5.138%,6.324%,18.577%,52.964%,11.067%,3.162%,0.000%,5.241935%
670,16821,83.582%,0.000000%,0.000%,0.000%,0.000%,100.000%,86.915888%,0.000000%,28.630705%,17.028319%
671,16825,0.000%,0.000%,100.000%,0.000%,0.000000%,0.000%,0.000%,13.158%,0.000%,100.000000%
672,16830,0.998%,0.538%,3.859%,10.943%,8.773%,15.761%,48.013%,8.178%,1.593%,1.344%
673,16833,0.332%,0.806%,4.222%,11.433%,10.247%,14.184%,48.435%,7.353%,2.324%,0.664%
674,16834,0.000%,0.000%,7.937%,55.556%,25.397%,11.111%,0.000%,5.479452%,-100.000000%,-67.510842%
675,16836,0.459%,2.064%,0.917%,5.046%,7.339%,14.679%,64.450%,3.670%,0.459%,0.917%
676,16837,20.270%,79.730%,0.000000%,0.000%,0.000%,24.138%,0.000%,100.000%,43.076923%,0.000000%
677,16838,1.387%,3.236%,8.475%,17.720%,14.176%,46.071%,6.934%,1.541%,0.462%,5.975395%
678,16839,6.098%,3.049%,15.244%,48.780%,15.854%,10.976%,0.000000%,46.606727%,-100.000000%,-100.000000%
679,16840,4.630%,6.019%,11.574%,10.185%,39.352%,28.241%,0.000000%,-7.660492%,-100.000000%,-100.000000%
680,16843,4.878%,17.886%,51.220%,17.073%,8.943%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
681,16845,0.993%,4.967%,11.921%,15.563%,57.616%,4.305%,4.636%,2.252252%,-54.510324%,-86.645785%
682,16847,6.410%,3.846%,62.821%,14.103%,12.821%,0.000000%,-100.000000%,-100.000000%,-100.000000%,11.311490%
683,16849,0.000%,3.906%,27.344%,12.500%,18.750%,33.594%,3.906%,5.747126%,266.516818%,-65.923728%
684,16855,9.497%,11.173%,0.000%,53.073%,26.257%,35.416667%,-100.000000%,109.995024%,-100.000000%,-100.000000%
685,16858,3.262%,7.495%,10.132%,9.299%,53.713%,14.018%,1.804%,0.278%,7.641742%,-76.165814%
686,16860,24.348%,31.304%,6.957%,37.391%,31.460674%,-100.000000%,86.538871%,55.829177%,-100.000000%,"-1,000.000000%"
687,16861,0.000%,16.842%,10.526%,6.316%,48.421%,12.632%,4.211%,1.053%,13.333333%,-100.000000%
688,16863,0.402%,0.000%,5.221%,18.876%,20.884%,48.996%,4.016%,1.606%,4.326923%,-100.000000%
689,16866,0.000%,0.122%,3.959%,9.196%,7.095%,16.961%,52.771%,5.451%,2.923%,1.523%
690,16871,30.000%,50.000%,20.000%,0.000%,21.428571%,10.914%,16.865%,0.000%,0.000000%,-20.000000%
691,16876,0.926%,6.481%,8.333%,2.778%,68.519%,5.556%,6.481%,0.926%,1.010101%,-5.211168%
692,16878,0.000%,0.704%,1.690%,8.732%,8.169%,9.718%,53.521%,10.845%,4.366%,2.254%
693,16879,0.000%,11.538%,4.808%,0.000%,66.346%,17.308%,9.016393%,-100.000000%,-46.539357%,-100.000000%
694,16881,0.000%,7.026%,9.804%,13.562%,57.680%,9.477%,2.451%,0.000%,9.172932%,-100.000000%
695,15714,0.163%,6.453%,11.009%,10.195%,11.388%,50.380%,5.965%,3.037%,1.410%,8.406433%
696,15722,0.223%,0.670%,3.017%,10.056%,8.156%,12.179%,56.089%,6.480%,2.905%,0.223%
697,15724,6.378%,6.258%,5.054%,10.469%,58.243%,7.461%,5.776%,0.361%,5.436157%,-76.128664%
698,15737,30.303%,0.000%,9.091%,18.182%,42.424%,0.000000%,-100.000000%,-100.000000%,-100.000000%,77.086462%
699,15738,4.167%,4.167%,9.722%,81.944%,0.000%,0.000%,0.000000%,-100.000000%,-100.000000%,-100.000000%
700,15760,0.000%,10.526%,7.895%,81.579%,0.000%,0.000%,0.000000%,-100.000000%,-100.000000%,-100.000000%
701,15762,0.608%,0.608%,11.550%,15.198%,15.805%,13.678%,37.994%,3.040%,0.608%,0.912%
702,15773,0.000%,13.659%,16.585%,10.244%,45.366%,8.780%,1.463%,3.902%,9.219858%,-77.282015%
703,15775,1.024%,6.826%,17.065%,27.645%,45.392%,1.024%,0.000%,1.024%,7.874016%,35.412618%
704,15901,0.851%,0.851%,3.405%,3.667%,7.073%,14.276%,48.723%,14.080%,3.929%,3.143%
705,15902,0.246%,0.559%,3.198%,6.911%,11.809%,17.289%,47.506%,8.365%,2.550%,1.566%
706,15904,0.334%,0.401%,11.299%,13.622%,9.945%,18.385%,37.222%,5.967%,2.641%,0.184%
707,15905,0.716%,1.629%,7.887%,21.933%,10.195%,17.119%,36.880%,2.431%,1.123%,0.086%
708,15906,0.024%,0.094%,2.950%,6.632%,9.511%,16.356%,49.776%,9.417%,4.201%,1.038%
709,15909,0.000%,0.000%,3.472%,11.762%,14.767%,13.990%,46.425%,7.461%,1.347%,0.777%
710,15921,9.615%,5.769%,17.308%,46.154%,21.154%,0.000%,0.000000%,57.981387%,-100.000000%,-100.000000%
711,15922,11.594%,8.696%,10.145%,69.565%,0.000%,0.000%,0.000%,16.666667%,47.789040%,-1.178812%
712,15925,4.348%,10.870%,10.870%,19.565%,50.000%,0.000%,4.348%,10.638298%,-23.642330%,-36.922646%
713,15927,4.444%,4.722%,0.000%,18.333%,23.611%,22.222%,14.444%,12.222%,0.000%,0.000000%
714,15930,16.667%,0.000000%,10.914%,21.391%,79.411765%,0.000000%,13.020590%,10.459911%,9.527493%,8.983906%
715,15931,1.001%,2.710%,8.748%,18.881%,9.485%,13.461%,37.054%,4.183%,3.063%,1.414%
716,15934,0.000%,28.571%,38.095%,39.784946%,-100.000000%,135.895739%,-100.000000%,-100.000000%,"1,000.000000%",100.000%
717,15938,0.441%,4.961%,10.254%,10.805%,9.372%,60.088%,2.095%,1.544%,0.441%,8.886256%
718,15940,0.347%,1.386%,10.399%,19.064%,16.984%,15.078%,33.102%,2.600%,1.040%,0.000%
719,15942,0.490%,0.490%,12.500%,11.029%,5.637%,19.118%,42.279%,3.309%,3.186%,1.961%
720,15943,0.000%,4.573%,8.546%,12.519%,14.543%,47.976%,8.771%,1.874%,1.199%,5.039788%
721,15945,12.500%,0.000%,4.167%,18.750%,0.000%,58.333%,0.000%,6.250%,26.315789%,-100.000000%
722,15946,0.748%,0.208%,6.983%,11.388%,13.134%,13.508%,45.054%,5.819%,1.746%,1.413%
723,15948,17.169%,14.458%,6.928%,40.361%,11.446%,5.120%,4.518%,0.000000%,-100.000000%,-100.000000%
724,15951,3.439%,0.000%,10.582%,3.704%,7.143%,45.767%,21.958%,7.407%,16.455696%,10.914%
725,15952,5.282%,3.825%,11.658%,9.836%,22.222%,40.255%,2.004%,4.918%,17.647059%,-100.000000%
726,15955,2.222%,3.111%,7.667%,16.111%,9.222%,57.667%,3.111%,0.444%,0.444%,9.672387%
727,15956,0.000%,0.000%,1.600%,8.571%,18.629%,8.914%,49.943%,9.943%,1.829%,0.571%
728,15957,12.227%,9.607%,9.607%,9.170%,46.725%,11.354%,1.310%,0.000%,3.940887%,-36.368608%
729,15958,0.287%,0.000%,6.743%,11.334%,11.621%,16.356%,47.920%,4.017%,1.722%,0.000%
730,15960,2.075%,0.000%,13.278%,21.577%,58.091%,1.245%,3.734%,0.000000%,-100.000000%,-100.000000%
731,15961,0.342%,2.055%,3.082%,6.849%,7.877%,14.384%,54.795%,8.219%,1.712%,0.685%
732,15962,3.390%,6.780%,10.169%,6.780%,5.085%,55.932%,11.864%,10.526316%,-100.000000%,-37.586618%
733,15963,1.097%,0.000%,5.463%,14.194%,11.188%,11.427%,43.368%,8.492%,4.342%,0.429%
734,16613,0.947%,0.000%,3.220%,11.364%,15.720%,15.530%,47.538%,2.462%,3.220%,4.139434%
735,16619,5.051%,7.071%,10.101%,73.737%,4.040%,0.000%,7.594937%,-100.000000%,-54.967560%,-76.026281%
736,16624,4.478%,0.000%,1.493%,10.448%,17.910%,14.925%,46.269%,2.985%,1.493%,16.981132%
737,16627,0.000%,0.000%,3.892%,8.019%,10.613%,15.566%,53.892%,5.307%,1.651%,1.061%
738,16630,0.511%,1.406%,6.773%,14.952%,13.674%,13.227%,40.064%,4.601%,1.661%,3.131%
739,16636,0.000%,10.526%,17.814%,10.526%,9.312%,47.773%,2.834%,0.405%,0.810%,10.500000%
740,16639,1.311%,7.116%,11.236%,10.861%,57.116%,9.551%,2.809%,4.174950%,-50.133766%,-75.245587%
741,16640,9.215%,8.532%,13.993%,13.993%,45.392%,8.874%,0.000%,12.690355%,-79.524200%,-24.755441%
742,16641,0.342%,0.342%,3.425%,13.584%,13.356%,10.502%,52.397%,5.137%,0.571%,0.342%
743,16646,0.322%,1.395%,5.365%,9.764%,10.515%,16.738%,48.283%,5.258%,1.609%,0.751%
744,16668,0.686%,1.067%,5.030%,9.680%,12.805%,12.576%,47.027%,5.564%,3.659%,1.905%
745,16699,-100.000000%,-100.000000%,8.381%,27.273%,0.000000%,27.272727%,12.366328%,10.459911%,9.157407%,30.315023%
746,15821,16.667%,10.000%,18.333%,38.333%,3.333%,13.333%,13.559322%,-30.845883%,-19.603101%,-17.502201%
747,15823,1.838%,10.110%,21.324%,12.316%,45.037%,8.824%,0.551%,0.000%,10.064240%,-29.175494%
748,15827,0.000%,0.000%,11.290%,88.710%,0.000%,0.000%,29.090909%,-100.000000%,72.487891%,-100.000000%
749,15832,0.000%,5.172%,12.931%,12.069%,48.276%,19.828%,1.724%,0.000%,8.000000%,-66.063258%
750,15841,6.818%,27.273%,10.227%,55.682%,0.000%,0.000%,15.625000%,-100.000000%,-7.355136%,-19.650581%
751,15845,0.000%,0.520%,3.209%,8.500%,10.494%,15.091%,48.395%,9.540%,3.643%,0.607%
752,15846,10.193%,18.541%,10.281%,12.830%,42.091%,4.042%,2.021%,0.000%,16.763970%,-70.880549%
753,15853,0.216%,1.124%,6.701%,12.884%,10.160%,18.029%,42.758%,6.615%,0.346%,1.167%
754,15857,0.399%,0.978%,4.732%,11.801%,12.720%,14.117%,48.722%,4.852%,0.659%,1.018%
755,15860,0.716%,4.773%,10.263%,11.933%,13.842%,48.210%,7.160%,2.387%,0.716%,4.838710%
