RecordNumber,Zipcode,City,State,Lat,Long
44279,99519,ANCHORAGE,AK,61.19,-149.98
44280,99520,ANCHORAGE,AK,61.21,-149.86
44281,99521,ANCHORAGE,AK,61.2,-149.74
44282,99522,ANCHORAGE,AK,61.15,-149.92
44283,99523,ANCHORAGE,AK,61.16,-149.83
44284,99524,ANCHORAGE,AK,61.18,-149.89
44285,99529,ANCHORAGE,AK,61.18,-149.98
44286,99530,ANCHORAGE,AK,61.26,-149.97
44287,99540,INDIAN,AK,61,-149.43
44288,99540,ANCHORAGE,AK,61,-149.43
44289,99599,ANCHORAGE,AK,61.21,-149.86
44290,99695,ANCHORAGE,AK,61.45,-150.63
44291,99556,ANCHOR POINT,AK,59.82,-151.59
44292,99556,NIKOLAEVSK,AK,59.82,-151.59
44293,99820,ANGOON,AK,57.44,-134.48
44294,99557,ANIAK,AK,61.2,-158.6
44295,99557,CHUATHBALUK,AK,61.2,-158.6
44296,99557,STONY RIVER,AK,61.2,-158.6
44297,99558,ANVIK,AK,62.63,-160.2
44298,99722,ARCTIC VILLAGE,AK,68.09,-145.57
44299,99722,ARCTIC VLG,AK,68.09,-145.57
44300,99723,BARROW,AK,71.28,-156.78
44301,99734,PRUDHOE BAY,AK,70.01,-148.88
44302,99734,BARROW,AK,70.01,-148.88
44303,99759,POINT LAY,AK,69.73,-162.82
44304,99759,BARROW,AK,69.73,-162.82
44305,99789,NUIQSUT,AK,69.83,-152.14
44306,99789,BARROW,AK,69.83,-152.14
44307,99791,ATQASUK,AK,70.48,-157.39
44308,99791,BARROW,AK,70.48,-157.39
44309,99724,BEAVER,AK,66.32,-146.77
44310,99559,BETHEL,AK,60.93,-161.8
44311,99559,ATMAUTLUAK,AK,60.93,-161.8
44312,99559,NAPASKIAK,AK,60.93,-161.8
44313,99559,NEWTOK,AK,60.93,-161.8
44314,99637,TOKSOOK BAY,AK,60.54,-165.14
44315,99637,BETHEL,AK,60.54,-165.14
44316,99679,TULUKSAK,AK,61.06,-160.36
44317,99679,BETHEL,AK,61.06,-160.36
44318,99680,TUNTUTULIAK,AK,60.41,-162.65
44319,99680,BETHEL,AK,60.41,-162.65
44320,99690,NIGHTMUTE,AK,60.49,-164.81
44321,99690,BETHEL,AK,60.49,-164.81
44322,99726,BETTLES FIELD,AK,67.24,-152.27
44323,99726,BETTLES,AK,67.24,-152.27
44324,99785,BREVIG MISSION,AK,65.44,-166.56
44325,99785,BREVIG MSN,AK,65.44,-166.56
44326,99727,BUCKLAND,AK,65.97,-161.13
44327,99729,CANTWELL,AK,63.33,-148.33
44328,99730,CENTRAL,AK,65.47,-145.19
44329,99561,CHEFORNAK,AK,60.15,-164.06
44330,99563,CHEVAK,AK,61.56,-165.38
44331,99732,CHICKEN,AK,63.86,-142.12
