RecordNumber,Zipcode,City,State,Lat,Long
43530,99161,PALOUSE,WA,46.88,-117.15
43531,98939,PARKER,WA,46.49,-120.46
43532,99301,PASCO,WA,46.41,-118.9
43533,99302,PASCO,WA,46.25,-119.08
43534,99302,TRI CITIES,WA,46.25,-119.08
43535,98846,PATEROS,WA,48.05,-120.05
43536,98846,AZWELL,WA,48.05,-120.05
43537,99345,PATERSON,WA,45.94,-119.66
43538,98572,PE ELL,WA,46.57,-123.29
43539,98572,PEELL,WA,46.57,-123.29
43540,98847,PESHASTIN,WA,47.51,-120.62
43541,99346,PLYMOUTH,WA,46,-119.18
43542,98281,POINT ROBERTS,WA,48.98,-123.05
43543,99347,POMEROY,WA,46.44,-117.54
