,School Number,Cluster,County,School
2029,7580,3,PHILADELPHIA,UNIVERSAL INSTITUTE CS
1724,8083,3,PHILADELPHIA,SANKOFA FREEDOM ACADEMY CS
2025,8287,3,PHILADELPHIA,UNIVERSAL ALCORN CHARTER SCHOOL
2026,8145,3,PHILADELPHIA,UNIVERSAL BLUFORD CHARTER SCHO
2007,5025,3,BERKS,TWELFTH & MARION EL
2013,831,3,BERKS,TYSON-SCHOENER EL SCH
2233,8337,3,ALLEGHENY,YOUNG SCHOLARS OF MCKEESPORT CS
2028,8146,3,PHILADELPHIA,UNIVERSAL DAROFF CHARTER SCHOOL
2030,8196,3,PHILADELPHIA,UNIVERSAL VARE CS
2231,8289,3,PHILADELPHIA,YOUNG SCHOLARS KENDERTON CS
1839,7888,3,ALLEGHENY,SOUTH HILLS MIDDLE SCHL
1733,379,3,ALLEGHENY,SCHILLER CLASSICAL A
2095,6959,3,ERIE,WAYNE MS
1986,4929,3,LEHIGH,TREXLER MS
2198,3731,3,PHILADELPHIA,WISTER JOHN SCH
1900,1799,3,DAUPHIN,STEELTON-HIGHSPIRE ELEM SCH
1901,1801,3,DAUPHIN,STEELTON-HIGHSPIRE HIGH SCH
2075,7225,3,PHILADELPHIA,WARING LAURA SCH
2169,554,3,ALLEGHENY,WILKINSBURG MS
1772,1943,3,DELAWARE,SHARON HILL SCH
2105,3703,3,PHILADELPHIA,WELSH JOHN SCH
1898,3727,3,PHILADELPHIA,STEEL EDWARD SCH
2102,7876,3,ALLEGHENY,WEIL TECHNOLOGY INSTITUTE
2100,5124,3,PHILADELPHIA,WEBSTER JOHN H SCH
1912,7505,3,ALLEGHENY,STO ROX ELEM SCH
1913,7606,3,ALLEGHENY,STO-ROX MS
1915,1968,3,DELAWARE,STONEHURST HILLS EL
2084,3615,3,PHILADELPHIA,WASHINGTON MARTHA SCH
1785,3702,3,PHILADELPHIA,SHEPPARD ISAAC SCH
1787,3800,3,PHILADELPHIA,SHERIDAN PHILIP H SCH
1801,5028,3,BERKS,SIXTEENTH & HAAK EL
2167,7907,3,DELAWARE,WIDENER PARTNERSHIP CS
1897,4963,3,PHILADELPHIA,STEARNE ALLEN M SCH
1949,3657,3,PHILADELPHIA,TAGGART JOHN H SCH
1862,3654,3,PHILADELPHIA,SOUTHWARK SCH
