,School Number,Cluster,County,School
2058,8338,3,DELAWARE,VISION ACADEMY CHARTER SCHOOL
1974,8302,3,DELAWARE,TOBY FARMS INTERMEDIATE SCHOOL
1969,8297,3,PHILADELPHIA,TILDEN WILLIAM MS
1747,7667,3,DAUPHIN,SCOTT SCHOOL
2210,5188,3,PHILADELPHIA,WRIGHT RICHARD R SCH
1872,3655,3,PHILADELPHIA,SPRING GARDEN SCH
1957,8296,3,PHILADELPHIA,THEODORE ROOSEVELT MS
2208,7512,3,PHILADELPHIA,WORLD COMMUNICATIONS CS
2062,3835,3,PHILADELPHIA,WAGNER GEN LOUIS MS
1956,8298,3,PHILADELPHIA,THE SD OF PHILADELPHIA VIRTUAL
1954,5026,3,BERKS,TENTH & GREEN EL SCH
1953,3755,3,PHILADELPHIA,TAYLOR BAYARD SCH
1893,3635,3,PHILADELPHIA,STANTON EDWIN M SCH
2203,107,3,ALLEGHENY,WOODLAND HILLS JSHS
2069,8018,3,DELAWARE,WALNUT STREET EL SCH
2202,8352,3,ALLEGHENY,WOODLAND HILLS INTERMEDIATE SCH
2042,7562,3,ALLEGHENY,URBAN PATHWAYS 6-12 CHARTER SCH
1930,3753,3,PHILADELPHIA,SULLIVAN JAMES J SCH
0,7484,3,BERKS,10TH & PENN EL
2237,7233,3,PHILADELPHIA,ZIEGLER WILLIAM H SCH
1150,8266,3,DAUPHIN,MARSHALL SCH
410,5123,3,PHILADELPHIA,CRAMP WILLIAM SCHOOL
1148,3797,3,PHILADELPHIA,MARSHALL JOHN SCH
418,7726,3,BUCKS,CTR STUDENT LEARNING CS - PENN
1134,7672,3,PHILADELPHIA,MARIANA BRACETTI ACAD CS
442,8237,3,YORK,DAVIS SCH
1110,1958,3,DELAWARE,MAIN STREET SCH
445,7175,3,PHILADELPHIA,DEBURGOS BILINGUAL
457,8238,3,YORK,DEVERS SCH
1094,3694,3,PHILADELPHIA,LUDLOW JAMES R SCH
460,3786,3,PHILADELPHIA,DICK WILLIAM SCH
462,2003,3,ERIE,DIEHL EL SCH
468,3763,3,PHILADELPHIA,DISSTON HAMILTON SCH
1079,6533,3,PHILADELPHIA,LONGSTRETH WILLIAM C SCH
1076,3718,3,PHILADELPHIA,LOGAN SCH
1071,4732,3,PHILADELPHIA,LOCKE ALAIN SCH
485,8265,3,DAUPHIN,DOWNEY SCH
1061,3717,3,PHILADELPHIA,LINGELBACH ANNA L SCH
1052,7870,3,ALLEGHENY,LINCOLN EL TECH ACADEMY
493,5040,3,PHILADELPHIA,DUCKREY TANNER SCH
495,3687,3,PHILADELPHIA,DUNBAR PAUL L SCH
499,7908,3,ALLEGHENY,DUQUESNE CONSOLIDATED SCHOOL
1023,8295,3,PHILADELPHIA,LEEDS MORRIS E MS
1152,7521,3,PHILADELPHIA,MARSHALL THURGOOD
395,7239,3,PHILADELPHIA,COOKE JAY MS
1166,8259,3,PHILADELPHIA,MASTERY CS - CLEVELAND ELEMENT
366,7510,3,PHILADELPHIA,COMM ACAD OF PHILA CS
283,7720,3,BLAIR,CENTRAL PENN DIGITAL LEARNING
1315,7522,3,PHILADELPHIA,MUNOZ-MARIN ELEM
1287,6535,3,PHILADELPHIA,MORTON THOMAS G SCH
1286,365,3,ALLEGHENY,MORROW EL SCH
1284,3749,3,PHILADELPHIA,MORRISON ANDREW J SCH
1283,4868,3,PHILADELPHIA,MORRIS ROBERT SCH
1266,7399,3,WESTMORELAND,MONESSEN MS
1261,3798,3,PHILADELPHIA,MITCHELL EL SCH
309,7539,3,DELAWARE,CHESTER COMM CS
312,8020,3,DELAWARE,CHESTER UPLAND SCHOOL OF ARTS
1214,8257,3,PHILADELPHIA,MEMPHIS STREET ACADEMY
1017,6530,3,PHILADELPHIA,LEA HENRY C SCH
326,7371,3,ALLEGHENY,CLAIRTON EL SCH
345,6767,3,PHILADELPHIA,CLEMENTE ROBERTO MS
1202,3611,3,PHILADELPHIA,MCMICHAEL MORTON SCH
1200,5293,3,PHILADELPHIA,MCKINLEY WILLIAM SCH
1198,2777,3,LEHIGH,MCKINLEY EL SCH
1192,3629,3,PHILADELPHIA,MCDANIEL DELAPLAINE SCH
364,3782,3,PHILADELPHIA,COMEGYS BENJAMIN B SCH
1186,6534,3,PHILADELPHIA,MCCLURE ALEXANDER K SCH
1173,7909,3,PHILADELPHIA,MASTERY CS - SHOEMAKER CAMPUS
1172,7961,3,PHILADELPHIA,MASTERY CS - PICKETT CAMPUS
1171,8288,3,PHILADELPHIA,MASTERY CS - PASTORIUS EL
1168,8207,3,PHILADELPHIA,MASTERY CS - GRATZ CAMPUS
1209,6768,3,PHILADELPHIA,MEEHAN AUSTIN MS
1010,852,3,BERKS,LAUERS PARK EL SCH
1002,3670,3,PHILADELPHIA,LAMBERTON ROBERT E SCH
986,7538,3,LANCASTER,LA ACADEMIA CS
616,3739,3,PHILADELPHIA,FINLETTER THOMAS K SCH
819,5187,3,PHILADELPHIA,HESTON EDWARD ELEMENTARY
630,1766,3,DAUPHIN,FOOSE  SCH
810,8041,3,YORK,HELEN THACKSTON CHARTER SCHOOL
809,6923,3,LUZERNE,HEIGHTS-MURRAY EL SCH
806,7936,3,LUZERNE,HAZLETON ELEM/ MS
647,7673,3,ALLEGHENY,FOUNDERS HALL SCH
800,5125,3,PHILADELPHIA,HARTRANFT JOHN F SCH
653,2792,3,LEHIGH,FRANCIS D RAUB MS
795,2791,3,LEHIGH,HARRISON-MORTON MS
791,6528,3,PHILADELPHIA,HARRINGTON AVERY D SCH
609,8239,3,YORK,FERGUSON SCH
787,7242,3,PHILADELPHIA,HARDING WARREN G MS
778,8291,3,YORK,HANNAH PENN MS
777,2593,3,LANCASTER,HAND MS
769,5185,3,PHILADELPHIA,HAMILTON ANDREW SCH
671,8150,3,PHILADELPHIA,FREDERICK DOUGLASS MASTERY CHA
686,3008,3,LUZERNE,G A R MEMORIAL JSHS
736,1252,3,CAMBRIA,GREATER JOHNSTOWN MS
695,3630,3,PHILADELPHIA,GEN GEORGE C MEADE SCH
706,3625,3,PHILADELPHIA,GIDEON EDWARD SCH
723,8240,3,YORK,GOODE SCH
721,3668,3,PHILADELPHIA,GOMPERS SAMUEL SCH
709,8161,3,SCHUYLKILL,GILLINGHAM CS
659,7231,3,PHILADELPHIA,FRANKLIN BENJAMIN
265,7404,3,PHILADELPHIA,CAYUGA SCHOOL
853,3742,3,PHILADELPHIA,HOPKINSON FRANCIS SCH
607,3751,3,PHILADELPHIA,FELTONVILLE INTERMEDIATE SCH
963,7880,3,ALLEGHENY,KING M L EL SCH
961,7826,3,PHILADELPHIA,KHEPERA CS
957,7506,3,MERCER,KEYSTONE ED CTR CS
536,8127,3,PHILADELPHIA,EASTERN UNIVERSITY ACAD CS
950,5294,3,PHILADELPHIA,KELLY JOHN B SCH
948,3626,3,PHILADELPHIA,KELLEY WILLIAM D SCH
946,3645,3,PHILADELPHIA,KEARNY GEN PHILIP SCH
928,8149,3,PHILADELPHIA,JOHN B STETSON CHARTER SCHOOL
546,2004,3,ERIE,EDISON EL SCH
547,3708,3,PHILADELPHIA,EDMONDS FRANKLIN S SCH
901,8241,3,YORK,JACKSON SCH
608,7368,3,PHILADELPHIA,FELTONVILLE SCH ARTS & SCIENCE
548,8223,3,CHESTER,EDUCATION PLUS ACADEMY CYBER CS
562,3738,3,PHILADELPHIA,ELLWOOD SCH
563,3009,3,LUZERNE,ELMER L MEYERS JSHS
572,8163,3,ERIE,ERIE RISE LEADERSHIP ACAD CS
574,8216,3,PHILADELPHIA,ESPERANZA CYBER CS
584,8325,3,LEHIGH,EXECUTIVE EDUCATION ACADEMY CH
870,7579,3,PHILADELPHIA,IMANI EDUCATION CIRCLE CS
865,3693,3,PHILADELPHIA,HUNTER WILLIAM EL
863,3807,3,PHILADELPHIA,HUEY SAMUEL B SCH
862,3743,3,PHILADELPHIA,HOWE JULIA WARD SCH
600,5248,3,MERCER,FARRELL AREA HS/UMS
858,3713,3,PHILADELPHIA,HOUSTON HENRY E SCH
560,3688,3,PHILADELPHIA,ELKIN LEWIS SCH
1341,7762,3,HUNTINGDON,NEW DAY CHARTER SCHOOL
1170,7678,3,PHILADELPHIA,MASTERY CS - LENFEST CAMPUS
256,7230,3,PHILADELPHIA,CARNELL LAURA H SCH
1552,8108,3,ALLEGHENY,PITTSBURGH MILLER PRE K-5
1551,8255,3,ALLEGHENY,PITTSBURGH LANGLEY K-8
1550,8204,3,ALLEGHENY,PITTSBURGH FAISON K-5
111,7238,3,PHILADELPHIA,BEEBER DIMNER MS
1538,7922,3,LANCASTER,PHOENIX ACADEMY
262,3664,3,PHILADELPHIA,CASSIDY LEWIS C SCH
1528,7035,3,ERIE,PFEIFFER-BURLEIGH EL
122,7750,3,PHILADELPHIA,BELMONT CS
1526,7770,3,ERIE,PERSEUS HOUSE CS OF EXCELLENCE
1519,7685,3,PHILADELPHIA,PEOPLE FOR PEOPLE CS
1518,3616,3,PHILADELPHIA,PENROSE ELEM SCH
1517,6539,3,PHILADELPHIA,PENNYPACKER SAMUEL SCH
1507,3722,3,PHILADELPHIA,PENNELL JOSEPH SCH
1497,7918,3,DELAWARE,PENN WOOD MS
1493,8293,3,PHILADELPHIA,PENN TREATY MS
130,8268,3,DAUPHIN,BENJAMIN FRANKLIN SCH
1485,3675,3,PHILADELPHIA,PEIRCE THOMAS M SCH
146,5183,3,PHILADELPHIA,BETHUNE MARY MCLEOD
156,3662,3,PHILADELPHIA,BLAINE JAMES G SCHOOL
1477,3613,3,PHILADELPHIA,PATTERSON JOHN M SCH
160,3663,3,PHILADELPHIA,BLANKENBURG RUDOLPH
1553,8110,3,ALLEGHENY,PITTSBURGH MILLIONES 6-12
1473,7020,3,DELAWARE,PARK LANE EL SCH
1556,8300,3,ALLEGHENY,PITTSBURGH ONLINE ACADEMY
1582,5121,3,PHILADELPHIA,POTTER-THOMAS SCH
7,8203,3,ALLEGHENY,ACADEMY AT WESTINGHOUSE
8,7824,3,CHESTER,ACHIEVEMENT HOUSE CS
14,7858,3,CHESTER,AGORA CYBER CS
1699,7623,3,DAUPHIN,ROWLAND SCHOOL
22,8086,3,BEAVER,ALIQUIPPA JSHS
24,7616,3,ALLEGHENY,ALLEGHENY TRAD MS ACAD
27,5292,3,PHILADELPHIA,ALLEN  ETHEL DR.
28,3758,3,PHILADELPHIA,ALLEN ETHAN SCH
41,3804,3,PHILADELPHIA,ANDERSON ADD B SCH
53,7878,3,ALLEGHENY,ARLINGTON EL SCH
1670,8317,3,LEHIGH,ROBERTO CLEMENTE ELEMENTARY CS
1642,7684,3,PHILADELPHIA,RICHARD ALLEN PREP CS
66,8148,3,PHILADELPHIA,ASPIRA BILINGUAL CYBER CHARTER
1638,8292,3,PHILADELPHIA,RHODES E W ACADEMY
1637,3614,3,PHILADELPHIA,RHOADS JAMES SCH
1618,8117,3,BERKS,READING INTERMEDIATE HIGH SCHO
81,3618,3,PHILADELPHIA,BACHE-MARTIN SCH
1598,8193,3,ALLEGHENY,PROPEL CS - NORTHSIDE
1594,8306,3,ALLEGHENY,PROPEL CS - HAZELWOOD
1591,6765,3,PHILADELPHIA,PRINCE HALL
1586,8260,3,DAUPHIN,PREMIER ARTS AND SCIENCE CS
96,8029,3,PHILADELPHIA,BARRY COMM JOHN SCH
1458,7821,3,ALLEGHENY,PA DISTANCE LEARNING CS
1530,8252,3,PHILADELPHIA,PHILADELPHIA CS FOR ARTS AND S
204,3684,3,PHILADELPHIA,BROWN HENRY A SCH
1350,7829,3,PHILADELPHIA,NEW MEDIA TECHNOLOGY CS
242,8264,3,DAUPHIN,CAMP CURTIN SCH
208,3601,3,PHILADELPHIA,BRYANT WILLIAM C SCH
203,3464,3,NORTHAMPTON,BROUGHAL MS
1410,6894,3,LEBANON,NORTHWEST EL SCH
1411,856,3,BERKS,NORTHWEST MS
1422,7665,3,PHILADELPHIA,NUEVA ESPERANZA ACAD CS
190,3620,3,PHILADELPHIA,BREGY F. AMADEE ELEM SCH
1442,3750,3,PHILADELPHIA,OLNEY EL SCH
180,7981,3,PHILADELPHIA,BOYS LATIN OF PHILADELPHIA CS
711,3776,3,PHILADELPHIA,GIRARD STEPHEN SCH
