,School Number,Cluster,County,School
35,633,3,BEAVER,AMBRIDGE AREA JHS
1947,7551,3,DAUPHIN,SYLVAN HEIGHTS SCIENCE CS
923,3714,3,PHILADELPHIA,JENKS JOHN S SCH
1904,1829,3,DELAWARE,STETSER EL SCH
477,4454,3,WESTMORELAND,DONEGAL EL SCH
786,6616,3,LEBANON,HARDING EL SCH
1491,8327,3,ALLEGHENY,PENN HILLS EL SCH
448,748,3,BEDFORD,DEFIANCE GR SCH
966,8124,3,PHILADELPHIA,KIPP WEST PHILADELPHIA PREP CS
1908,3320,3,MONTGOMERY,STEWART MS
1486,1540,3,CLEARFIELD,PENFIELD EL SCH
965,7776,3,PHILADELPHIA,KIPP PHILADELPHIA CHARTER SCHO
453,6505,3,DELAWARE,DELCROFT SCH
308,3805,3,PHILADELPHIA,CHESTER A ARTHUR
1906,7061,3,LYCOMING,STEVENS EL SCH
34,840,3,BERKS,AMANDA E STOUT EL SCH
470,2995,3,LUZERNE,DODSON EL SCH
927,2455,3,LACKAWANNA,JOHN ADAMS NO 4
213,7795,3,CLINTON,BUCKTAIL AREA MS
437,1861,3,DELAWARE,DARBY TWP EL SCH
1404,53,3,ALLEGHENY,NORTHGATE JSHS
1514,7819,3,CHESTER,PENNSYLVANIA LEADERSHIP CHARTE
1895,8243,3,LUZERNE,STATE EL CTR
738,7610,3,LUZERNE,GREATER NANTICOKE AREA ED CTR
699,2476,3,LACKAWANNA,GEORGE BANCROFT NO 34
480,6722,3,NORTHAMPTON,DONEGAN EL SCH
1899,260,3,ALLEGHENY,STEEL VALLEY MS
207,2154,3,FAYETTE,BROWNSVILLE AREA MS
1718,4002,3,SOMERSET,SALISBURY-ELK LICK JSH
45,820,3,BERKS,ANTIETAM MIDDLE/SENIOR HS
1793,2291,3,HUNTINGDON,SHIRLEY TWP EL SCH
443,3706,3,PHILADELPHIA,DAY ANNA B SCH
1773,8092,3,MERCER,SHARON MS
310,8258,3,DELAWARE,CHESTER CS FOR THE ARTS
1902,8303,3,DELAWARE,STEM AT SHOWALTER
1903,7039,3,ALLEGHENY,STERRETT CLASSICAL ACADEMY
1502,8280,3,BLAIR,PENN-LINCOLN EL SCH
930,4736,3,LACKAWANNA,JOHN F. KENNEDY NO 7
1435,7215,3,VENANGO,OIL CITY AREA MS
720,7768,3,LUZERNE,GNA ELEM CTR
1452,7472,3,PHILADELPHIA,OVERBROOK ELEM SCH
