,School Number,Cluster,County,School
2028,8146,1,PHILADELPHIA,UNIVERSAL DAROFF CHARTER SCHOOL
1110,1958,1,DELAWARE,MAIN STREET SCH
2029,7580,1,PHILADELPHIA,UNIVERSAL INSTITUTE CS
2030,8196,1,PHILADELPHIA,UNIVERSAL VARE CS
1152,7521,1,PHILADELPHIA,MARSHALL THURGOOD
1094,3694,1,PHILADELPHIA,LUDLOW JAMES R SCH
1076,3718,1,PHILADELPHIA,LOGAN SCH
1071,4732,1,PHILADELPHIA,LOCKE ALAIN SCH
2042,7562,1,ALLEGHENY,URBAN PATHWAYS 6-12 CHARTER SCH
1061,3717,1,PHILADELPHIA,LINGELBACH ANNA L SCH
1052,7870,1,ALLEGHENY,LINCOLN EL TECH ACADEMY
2058,8338,1,DELAWARE,VISION ACADEMY CHARTER SCHOOL
2062,3835,1,PHILADELPHIA,WAGNER GEN LOUIS MS
1023,8295,1,PHILADELPHIA,LEEDS MORRIS E MS
1017,6530,1,PHILADELPHIA,LEA HENRY C SCH
2069,8018,1,DELAWARE,WALNUT STREET EL SCH
2075,7225,1,PHILADELPHIA,WARING LAURA SCH
1079,6533,1,PHILADELPHIA,LONGSTRETH WILLIAM C SCH
1002,3670,1,PHILADELPHIA,LAMBERTON ROBERT E SCH
1166,8259,1,PHILADELPHIA,MASTERY CS - CLEVELAND ELEMENT
1170,7678,1,PHILADELPHIA,MASTERY CS - LENFEST CAMPUS
1286,365,1,ALLEGHENY,MORROW EL SCH
1284,3749,1,PHILADELPHIA,MORRISON ANDREW J SCH
1283,4868,1,PHILADELPHIA,MORRIS ROBERT SCH
1915,1968,1,DELAWARE,STONEHURST HILLS EL
1266,7399,1,WESTMORELAND,MONESSEN MS
1261,3798,1,PHILADELPHIA,MITCHELL EL SCH
1930,3753,1,PHILADELPHIA,SULLIVAN JAMES J SCH
1949,3657,1,PHILADELPHIA,TAGGART JOHN H SCH
1953,3755,1,PHILADELPHIA,TAYLOR BAYARD SCH
1954,5026,1,BERKS,TENTH & GREEN EL SCH
1956,8298,1,PHILADELPHIA,THE SD OF PHILADELPHIA VIRTUAL
1168,8207,1,PHILADELPHIA,MASTERY CS - GRATZ CAMPUS
1214,8257,1,PHILADELPHIA,MEMPHIS STREET ACADEMY
1969,8297,1,PHILADELPHIA,TILDEN WILLIAM MS
1202,3611,1,PHILADELPHIA,MCMICHAEL MORTON SCH
1200,5293,1,PHILADELPHIA,MCKINLEY WILLIAM SCH
1198,2777,1,LEHIGH,MCKINLEY EL SCH
1974,8302,1,DELAWARE,TOBY FARMS INTERMEDIATE SCHOOL
1986,4929,1,LEHIGH,TREXLER MS
1192,3629,1,PHILADELPHIA,MCDANIEL DELAPLAINE SCH
1186,6534,1,PHILADELPHIA,MCCLURE ALEXANDER K SCH
1173,7909,1,PHILADELPHIA,MASTERY CS - SHOEMAKER CAMPUS
1172,7961,1,PHILADELPHIA,MASTERY CS - PICKETT CAMPUS
1171,8288,1,PHILADELPHIA,MASTERY CS - PASTORIUS EL
1209,6768,1,PHILADELPHIA,MEEHAN AUSTIN MS
0,7484,1,BERKS,10TH & PENN EL
2237,7233,1,PHILADELPHIA,ZIEGLER WILLIAM H SCH
22,8086,1,BEAVER,ALIQUIPPA JSHS
28,3758,1,PHILADELPHIA,ALLEN ETHAN SCH
547,3708,1,PHILADELPHIA,EDMONDS FRANKLIN S SCH
27,5292,1,PHILADELPHIA,ALLEN  ETHEL DR.
548,8223,1,CHESTER,EDUCATION PLUS ACADEMY CYBER CS
130,8268,1,DAUPHIN,BENJAMIN FRANKLIN SCH
671,8150,1,PHILADELPHIA,FREDERICK DOUGLASS MASTERY CHA
418,7726,1,BUCKS,CTR STUDENT LEARNING CS - PENN
560,3688,1,PHILADELPHIA,ELKIN LEWIS SCH
562,3738,1,PHILADELPHIA,ELLWOOD SCH
410,5123,1,PHILADELPHIA,CRAMP WILLIAM SCHOOL
24,7616,1,ALLEGHENY,ALLEGHENY TRAD MS ACAD
563,3009,1,LUZERNE,ELMER L MEYERS JSHS
493,5040,1,PHILADELPHIA,DUCKREY TANNER SCH
122,7750,1,PHILADELPHIA,BELMONT CS
572,8163,1,ERIE,ERIE RISE LEADERSHIP ACAD CS
395,7239,1,PHILADELPHIA,COOKE JAY MS
574,8216,1,PHILADELPHIA,ESPERANZA CYBER CS
242,8264,1,DAUPHIN,CAMP CURTIN SCH
584,8325,1,LEHIGH,EXECUTIVE EDUCATION ACADEMY CH
366,7510,1,PHILADELPHIA,COMM ACAD OF PHILA CS
364,3782,1,PHILADELPHIA,COMEGYS BENJAMIN B SCH
66,8148,1,PHILADELPHIA,ASPIRA BILINGUAL CYBER CHARTER
659,7231,1,PHILADELPHIA,FRANKLIN BENJAMIN
546,2004,1,ERIE,EDISON EL SCH
536,8127,1,PHILADELPHIA,EASTERN UNIVERSITY ACAD CS
736,1252,1,CAMBRIA,GREATER JOHNSTOWN MS
208,3601,1,PHILADELPHIA,BRYANT WILLIAM C SCH
499,7908,1,ALLEGHENY,DUQUESNE CONSOLIDATED SCHOOL
485,8265,1,DAUPHIN,DOWNEY SCH
180,7981,1,PHILADELPHIA,BOYS LATIN OF PHILADELPHIA CS
695,3630,1,PHILADELPHIA,GEN GEORGE C MEADE SCH
706,3625,1,PHILADELPHIA,GIDEON EDWARD SCH
709,8161,1,SCHUYLKILL,GILLINGHAM CS
711,3776,1,PHILADELPHIA,GIRARD STEPHEN SCH
160,3663,1,PHILADELPHIA,BLANKENBURG RUDOLPH
468,3763,1,PHILADELPHIA,DISSTON HAMILTON SCH
41,3804,1,PHILADELPHIA,ANDERSON ADD B SCH
190,3620,1,PHILADELPHIA,BREGY F. AMADEE ELEM SCH
111,7238,1,PHILADELPHIA,BEEBER DIMNER MS
686,3008,1,LUZERNE,G A R MEMORIAL JSHS
723,8240,1,YORK,GOODE SCH
462,2003,1,ERIE,DIEHL EL SCH
460,3786,1,PHILADELPHIA,DICK WILLIAM SCH
53,7878,1,ALLEGHENY,ARLINGTON EL SCH
156,3662,1,PHILADELPHIA,BLAINE JAMES G SCHOOL
457,8238,1,YORK,DEVERS SCH
203,3464,1,NORTHAMPTON,BROUGHAL MS
204,3684,1,PHILADELPHIA,BROWN HENRY A SCH
146,5183,1,PHILADELPHIA,BETHUNE MARY MCLEOD
445,7175,1,PHILADELPHIA,DEBURGOS BILINGUAL
442,8237,1,YORK,DAVIS SCH
721,3668,1,PHILADELPHIA,GOMPERS SAMUEL SCH
14,7858,1,CHESTER,AGORA CYBER CS
495,3687,1,PHILADELPHIA,DUNBAR PAUL L SCH
309,7539,1,DELAWARE,CHESTER COMM CS
787,7242,1,PHILADELPHIA,HARDING WARREN G MS
265,7404,1,PHILADELPHIA,CAYUGA SCHOOL
608,7368,1,PHILADELPHIA,FELTONVILLE SCH ARTS & SCIENCE
778,8291,1,YORK,HANNAH PENN MS
262,3664,1,PHILADELPHIA,CASSIDY LEWIS C SCH
607,3751,1,PHILADELPHIA,FELTONVILLE INTERMEDIATE SCH
647,7673,1,ALLEGHENY,FOUNDERS HALL SCH
630,1766,1,DAUPHIN,FOOSE  SCH
777,2593,1,LANCASTER,HAND MS
8,7824,1,CHESTER,ACHIEVEMENT HOUSE CS
791,6528,1,PHILADELPHIA,HARRINGTON AVERY D SCH
326,7371,1,ALLEGHENY,CLAIRTON EL SCH
256,7230,1,PHILADELPHIA,CARNELL LAURA H SCH
7,8203,1,ALLEGHENY,ACADEMY AT WESTINGHOUSE
81,3618,1,PHILADELPHIA,BACHE-MARTIN SCH
609,8239,1,YORK,FERGUSON SCH
600,5248,1,MERCER,FARRELL AREA HS/UMS
283,7720,1,BLAIR,CENTRAL PENN DIGITAL LEARNING
616,3739,1,PHILADELPHIA,FINLETTER THOMAS K SCH
312,8020,1,DELAWARE,CHESTER UPLAND SCHOOL OF ARTS
345,6767,1,PHILADELPHIA,CLEMENTE ROBERTO MS
653,2792,1,LEHIGH,FRANCIS D RAUB MS
96,8029,1,PHILADELPHIA,BARRY COMM JOHN SCH
769,5185,1,PHILADELPHIA,HAMILTON ANDREW SCH
795,2791,1,LEHIGH,HARRISON-MORTON MS
