,% Advanced,% Proficient,% Basic,% Below Basic,Conduct OSS
Cluster1,41.524746192893396,38.28591370558376,14.741167512690343,5.449365482233503,0.46940439080450336
Cluster2,13.244739263803666,33.51963190184049,30.883297546012265,22.353496932515334,4.351046063608074
Cluster3,3.706591639871391,18.262025723472675,31.922733118971063,46.11032154340838,14.005963084264131
Cluster4,25.05024600246002,39.52544895448955,23.662029520295203,11.765584255842548,1.4312277564802933
Cluster5,2.4408823529411805,13.672941176470584,31.604999999999997,52.28470588235293,56.811336807233275
