,School Number,Cluster,County,School
1077,4547,4,YORK,LOGANVILLE-SPRINGFIELD ELEM
143,7714,4,DELAWARE,BETHEL SPRINGS EL
1248,5226,4,ERIE,MILL VILLAGE EL SCH
65,2053,4,ERIE,ASBURY EL SCH
1249,7654,4,BUCKS,MILLCREEK ELEMENTARY SCHOOL
1068,6476,4,CHESTER,LIONVILLE EL SCH
970,7190,4,WESTMORELAND,KISKI AREA NORTH PRIMARY
58,6845,4,MONTGOMERY,ARROWHEAD EL SCH
2186,7053,4,NORTHAMPTON,WILSON BOROUGH EL
1065,4081,4,UNION,LINNTOWN EL SCH
612,1454,4,CHESTER,FERN HILL EL SCH
1373,6144,4,ERIE,NORTH EAST INTERMEDIATE
223,1081,4,BUCKS,BUTLER EL SCH
724,1086,4,BUCKS,GOODNOE EL SCH
1756,1052,4,BUCKS,SEYLAR SCHOOL
722,4849,4,CUMBERLAND,GOOD HOPE MS
475,4665,4,UNION,DONALD H EICHHORN MIDDLE SCHOOL
476,7760,4,ALLEGHENY,DONALDSON ELEM SCHOOL
718,1940,4,DELAWARE,GLENWOOD EL SCH
482,147,4,ALLEGHENY,DORSEYVILLE MS
713,4812,4,CHESTER,GLEN ACRES EL SCH
487,4852,4,BUCKS,DOYLE EL SCH
712,3291,4,MONTGOMERY,GLADWYNE SCH
710,7664,4,PHILADELPHIA,GIRARD ACAD MUSIC PROG
1759,6835,4,MONTGOMERY,SHADY GROVE EL SCH
1527,4256,4,WASHINGTON,PETERS TWP MS
708,516,4,ALLEGHENY,GILL HALL EL SCH
707,754,4,BERKS,GILBERTSVILLE EL SCH
1732,2620,4,LANCASTER,SCHAEFFER  EL SCH
1731,6519,4,DELAWARE,SCENIC HILLS EL SCH
698,3018,4,LYCOMING,GEORGE A FERRELL EL
500,7063,4,BUCKS,DURHAM-NOCKAMIXON EL
501,7823,4,BEAVER,DUTCH RIDGE EL SCH
1726,7324,4,CHESTER,SARAH W STARKWEATHER
507,763,4,BERKS,EARL EL SCH
509,1392,4,CHESTER,EAST BRADFORD EL SCH
696,6907,4,MONTGOMERY,GENERAL NASH EL SCH
1738,4841,4,CHESTER,SCHUYLKILL EL SCH
694,1048,4,BUCKS,GAYMAN EL SCH
459,1434,4,CHESTER,DEVON EL SCH
1768,7265,4,CHESTER,SHAMONA CREEK EL SCH
1802,7554,4,MONTGOMERY,SKIPPACK ELEM
419,1898,4,DELAWARE,CULBERTSON EL SCH
1799,3270,4,MONTGOMERY,SIMMONS EL SCH
1798,1699,4,CUMBERLAND,SILVER SPRING EL SCH
758,7314,4,MONTGOMERY,GWYNEDD SQUARE EL SCH
1795,3866,4,PIKE,SHOHOLA EL SCH
424,3286,4,MONTGOMERY,CYNWYD SCH
753,7653,4,BUCKS,GROVELAND ELEMENTARY SCHOOL
1483,5154,4,BUCKS,PEARL S. BUCK ES
1790,8233,4,BERKS,SHILOH HILLS EL SCH
1484,269,4,ALLEGHENY,PEEBLES EL SCH
1504,3322,4,MONTGOMERY,PENNBROOK MS
427,2868,4,LUZERNE,DALLAS EL SCH
1487,7706,4,PHILADELPHIA,PENN ALEXANDER SCHOOL
740,8234,4,BERKS,GREEN VALLEY EL SCH
739,1700,4,CUMBERLAND,GREEN RIDGE EL SCH
735,1422,4,CHESTER,GREAT VALLEY MS
734,7735,4,CENTRE,GRAYS WOOD EL
1777,1696,4,CUMBERLAND,SHAULL EL SCH
1495,3288,4,MONTGOMERY,PENN VALLEY SCH
1496,4813,4,CHESTER,PENN WOOD EL SCH
733,1055,4,BUCKS,GRASSE SCHOOL
449,1054,4,BUCKS,DEIBLER SCHOOL
1498,3289,4,MONTGOMERY,PENN WYNNE SCH
431,4546,4,YORK,DALLASTOWN EL SCH
761,8101,4,WESTMORELAND,HAHNTOWN ELEM SCHOOL
1540,1432,4,CHESTER,PICKERING VALLEY EL
1717,6818,4,SOMERSET,SALISBURY-ELK LICK EL
1574,178,4,ALLEGHENY,POFF EL SCH
656,3266,4,MONTGOMERY,FRANCONIA EL SCH
651,1991,4,ELK,FOX TWP EL SCH
646,249,4,ALLEGHENY,FOSTER EL SCH
645,5251,4,MONTGOMERY,FORT WASHINGTON EL SCH
643,491,4,ALLEGHENY,FORT COUCH MS
1651,3332,4,MONTGOMERY,RIDGE PARK EL SCH
628,4672,4,LEHIGH,FOGELSVILLE SCH
583,8173,4,WAYNE,EVERGREEN EL SCH
1646,1121,4,BUCKS,RICHLAND EL SCH
586,1456,4,CHESTER,EXTON EL SCH
1671,3391,4,MONTGOMERY,ROBERTS EL SCH
1641,5341,4,LUZERNE,RICE EL SCH
624,3385,4,MONTGOMERY,FITZWATER EL SCH
1636,2559,4,LANCASTER,RHEEMS EL SCH
619,4207,4,WASHINGTON,FIRST STREET EL SCH
603,4601,4,YORK,FAWN EL SCH
1609,1102,4,BUCKS,QUARRY HILL EL
1611,1359,4,CENTRE,RADIO PARK EL SCH
1612,7697,4,DELAWARE,RADNOR EL SCH
1626,7383,4,LANCASTER,REIDENBAUGH EL SCH
610,1350,4,CENTRE,FERGUSON TWP EL SCH
1613,6511,4,DELAWARE,RADNOR MS
1621,7332,4,YORK,RED MILL EL SCH
591,4588,4,YORK,FAIRVIEW EL SCH
516,1395,4,CHESTER,EAST GOSHEN EL SCH
1573,7736,4,CHESTER,POCOPSON EL SCH
1570,4711,4,MONTGOMERY,PLYMOUTH EL SCH
1714,8282,4,MONTGOMERY,SALFORD HILLS EL SCH
1544,3297,4,MONTGOMERY,PINE ROAD EL SCH
1545,5306,4,BUCKS,PINE RUN EL SCH
1546,2764,4,LEBANON,PINE STREET EL SCH
1709,6518,4,DELAWARE,SABOLD EL SCH
1708,3226,4,MONTGOMERY,RYDAL SCH
690,7486,4,DELAWARE,GARNET VALLEY EL
1706,1894,4,DELAWARE,RUSSELL EL SCH
685,2563,4,LANCASTER,FULTON ELEM SCH
527,4964,4,INDIANA,EAST PIKE EL SCH
528,1396,4,CHESTER,EAST PIKELAND EL SCH
1673,868,4,BERKS,ROBESON EL CTR
532,5011,4,CHESTER,EAST WARD EL SCH
1697,1179,4,BUTLER,ROWAN EL SCH
541,7999,4,ALLEGHENY,EDEN HALL UPPER EL SCH
543,4853,4,BUCKS,EDGEWOOD ELEM
544,6108,4,ALLEGHENY,EDGEWORTH EL SCH
668,8141,4,LEHIGH,FRED J JAINDL ES
1690,1937,4,DELAWARE,ROSE TREE EL SCH
1560,7193,4,ALLEGHENY,PIVIK EL SCH
549,8335,4,WARREN,EISENHOWER EL SCH
1686,5227,4,ERIE,ROLLING RIDGE EL SCH
1682,458,4,ALLEGHENY,ROGERS PRIMARY SCH
660,3339,4,MONTGOMERY,FRANKLIN EL SCH
679,7197,4,CHESTER,FRENCH CREEK EL SCH
1476,2826,4,LEHIGH,PARKWAY MANOR SCH
762,4907,4,BUTLER,HAINE EL SCH
1808,4357,4,WESTMORELAND,SLOAN EL SCH
272,5236,4,LANCASTER,CENTERVILLE EL SCH
1353,4617,4,YORK,NEW SALEM EL SCH
1354,6963,4,LAWRENCE,NEW WILMINGTON EL SCH
275,7201,4,COLUMBIA,CENTRAL COLUMBIA EL
1355,7830,4,BUCKS,NEW-HOPE SOLEBURY UPPER EL
1357,4354,4,WESTMORELAND,NEWLONGSBURG EL SCH
1361,7432,4,BUCKS,NEWTOWN EL SCH
1941,1952,4,DELAWARE,SWARTHMORE-RUTLEDGE
1364,5165,4,WESTMORELAND,NICELY EL SCH
1365,4708,4,LANCASTER,NITRAUER EL SCH
1935,7716,4,WESTMORELAND,SUNSET VALLEY ELEM SCHOOL
266,4205,4,WASHINGTON,CECIL EL SCH
1934,6187,4,WESTMORELAND,SUNRISE EL SCH
288,2824,4,LEHIGH,CETRONIA SCH
289,1441,4,CHESTER,CHADDS FORD EL SCH
1372,1687,4,CUMBERLAND,NORTH DICKINSON EL SCH
1927,1461,4,CHESTER,SUGARTOWN ELEM SCHOOL
861,248,4,ALLEGHENY,HOWE EL SCH
859,1333,4,CENTRE,HOWARD EL SCH
857,1357,4,CENTRE,HOUSERVILLE/LEMONT E
1920,4859,4,ALLEGHENY,STREAMS EL SCH
1918,1908,4,DELAWARE,STRATH HAVEN MS
1917,3414,4,MONTGOMERY,STONY CREEK EL SCH
855,6603,4,ALLEGHENY,HOSACK EL SCH
1371,6487,4,CHESTER,NORTH COVENTRY EL SCH
1386,3325,4,MONTGOMERY,NORTH WALES EL SCH
875,7365,4,DELAWARE,INDIAN LANE EL SCH
1963,7535,4,ALLEGHENY,THOMAS JEFFERSON MS
2000,3572,4,NORTHUMBERLAND,TURBOTVILLE EL SCH
912,3382,4,MONTGOMERY,JARRETTOWN EL SCH
1317,4210,4,WASHINGTON,MUSE EL SCH
1997,7630,4,BUCKS,TRUMBAUERSVILLE EL SCH
911,7520,4,BUCKS,JAMISON EL SCH
1994,7388,4,WASHINGTON,TRINITY WEST EL SCH
230,4832,4,MONTGOMERY,CALEY EL SCH
1990,4276,4,WASHINGTON,TRINITY EAST EL SCH
898,8347,4,ALLEGHENY,J.A. ALLARD INTERMEDIATE SCH
1985,1421,4,CHESTER,TREDYFFRIN-EASTTOWN
897,229,4,ALLEGHENY,J W BURKETT EL SCH
876,6688,4,YORK,INDIAN ROCK EL SCH
1328,2621,4,LANCASTER,NEFF EL SCH
245,3389,4,MONTGOMERY,CANDLEBROOK EL SCH
893,6510,4,DELAWARE,ITHAN ELEMENTARY
1977,7715,4,BUCKS,TOHICKON MS
1335,1905,4,DELAWARE,NETHER PROVIDENCE EL
888,2823,4,LEHIGH,IRONTON SCH
1972,1131,4,BUCKS,TITUS EL SCH
1970,6456,4,BUCKS,TINICUM EL SCH
884,270,4,ALLEGHENY,INGOMAR MS
883,266,4,ALLEGHENY,INGOMAR EL SCH
881,7765,4,DAUPHIN,INFINITY CHARTER SCHOOL
1342,1440,4,CHESTER,NEW EAGLE EL SCH
895,5137,4,CHESTER,J R FUGETT MS
296,6719,4,CHESTER,CHARLES F PATTON MS
302,1368,4,CHESTER,CHARLESTOWN EL SCH
847,251,4,ALLEGHENY,HOOVER EL SCH
1441,4948,4,BUCKS,OLIVER HECKMAN ES
1444,4551,4,YORK,ORE VALLEY EL SCH
1447,6852,4,ALLEGHENY,OSBORNE EL SCH
375,2516,4,LANCASTER,CONESTOGA EL SCH
1448,6239,4,CLEARFIELD,OSCEOLA MILLS EL SCH
1838,1797,4,DAUPHIN,SOUTH HANOVER EL SCH
387,1150,4,BUTLER,CONNOQUENESSING EL SCH
1836,7490,4,ALLEGHENY,SOUTH FAYETTE MS
1835,8263,4,ALLEGHENY,SOUTH FAYETTE INTERMEDIATE SCH
1834,3327,4,MONTGOMERY,SOUTH ELEMENTARY SCHOOL
784,2606,4,LANCASTER,HANS HERR EL SCH
371,3977,4,SOMERSET,CONEMAUGH TWP AREA EL SCH
1831,4937,4,WASHINGTON,SOUTH CENTRAL EL
1456,1106,4,BUCKS,OXFORD VALLEY EL SCH
392,3261,4,MONTGOMERY,CONSHOHOCKEN EL SCH
396,1877,4,DELAWARE,COOPERTOWN EL SCH
781,3459,4,NORTHAMPTON,HANOVER EL SCH
398,1354,4,CENTRE,CORL STREET EL SCH
1822,7638,4,MONTGOMERY,SOUDERTON COLLABORATIVE CS
401,6302,4,LEBANON,CORNWALL EL SCH
1817,1130,4,BUCKS,SOL FEINSTONE EL SCH
774,7998,4,ALLEGHENY,HANCE EL SCH
773,179,4,ALLEGHENY,HAMPTON MS
772,5020,4,CUMBERLAND,HAMPDEN EL SCH
388,1178,4,BUTLER,CONNOQUENESSING VALL
801,6780,4,ALLEGHENY,HARTWOOD EL SCH
1434,461,4,ALLEGHENY,OHARA EL SCH
1857,8075,4,LEHIGH,SOUTHERN LEHIGH INTRMD SCH
306,1871,4,DELAWARE,CHATHAM PARK EL SCH
1905,1451,4,CHESTER,STETSON MS
316,1876,4,DELAWARE,CHESTNUTWOLD ELEM SCH
838,5307,4,BUCKS,HOLICONG MS
834,1716,4,YORK,HILLSIDE EL SCH
833,6910,4,CHESTER,HILLSDALE EL SCH
832,4938,4,WASHINGTON,HILLS-HENDERSONVILLE
337,2568,4,LANCASTER,CLAY EL SCH
1887,7990,4,CHESTER,SPRINGTON MANOR EL SCH
1886,6625,4,DELAWARE,SPRINGTON LAKE MS
1885,7603,4,LEHIGH,SPRINGHOUSE MIDDLE SCHOOL
831,7214,4,CHESTER,HILLENDALE
1880,7818,4,MONTGOMERY,SPRING-FORD MS 8TH GRADE CTR
1879,7817,4,MONTGOMERY,SPRING-FORD MS 7TH GRADE CTR
826,3229,4,MONTGOMERY,HIGHLAND SCH
1877,7436,4,BERKS,SPRING RIDGE EL SCH
817,6678,4,DAUPHIN,HERSHEY MS
816,7186,4,DAUPHIN,HERSHEY INTRMD ELEM SCH
813,7128,4,BUCKS,HERBERT HOOVER ES
354,7435,4,BUCKS,COLD SPRING EL SCH
1426,7262,4,MONTGOMERY,OAK RIDGE EL SCH
804,1878,4,DELAWARE,HAVERFORD MS
1428,4809,4,MONTGOMERY,OAKS EL SCH
360,7143,4,MONTGOMERY,COLONIAL EL SCH
1429,7307,4,MERCER,OAKVIEW EL SCH
216,4696,4,ALLEGHENY,BURCHFIELD PRIMARY SCH
1683,2575,4,LANCASTER,ROHRERSTOWN EL SCH
