,School Number,Cluster,County,School
1102,3042,4,LYCOMING,LYTER EL
1141,6479,4,CHESTER,MARKLEY EL SCH
1101,1874,4,DELAWARE,LYNNEWOOD EL SCH
181,7266,4,CHESTER,BRADFORD HGTS EL SCH
1139,247,4,ALLEGHENY,MARKHAM EL SCH
953,6801,4,LEHIGH,KERNSVILLE SCH
954,153,4,ALLEGHENY,KERR EL SCH
2209,1896,4,DELAWARE,WORRALL EL SCH
1149,7379,4,ALLEGHENY,MARSHALL MS
1122,7652,4,MONTGOMERY,MAPLE GLEN EL
2014,4678,4,BUCKS,UNAMI MS
200,7321,4,MONTGOMERY,BROOKE EL SCH
2211,1133,4,BUCKS,WRIGHTSTOWN EL SCH
176,5196,4,ALLEGHENY,BOYCE MS
2222,886,4,BERKS,WYOMISSING HILLS EL CTR
211,1044,4,BUCKS,BUCKINGHAM EL SCH
936,3019,4,LYCOMING,JOSEPH C ASHKAR EL SCH
2040,7763,4,MONTGOMERY,UPPER PROVIDENCE ELEM SCHOOL
187,2619,4,LANCASTER,BRECHT  EL SCH
2215,7596,4,LUZERNE,WYCALLIS ELEM
2022,1442,4,CHESTER,UNIONVILLE EL SCH
1117,1875,4,DELAWARE,MANOA EL SCH
186,1431,4,CHESTER,BRANDYWINE-WALLACE E
2216,176,4,ALLEGHENY,WYLAND EL SCH
1146,8309,4,CHESTER,MARSH CREEK 6TH GRADE CENTER
2044,6621,4,CHESTER,UWCHLAN HILLS EL SCH
918,457,4,ALLEGHENY,JEFFERY PRIMARY SCH
13,7519,4,BUCKS,AFTON EL SCH
2225,3278,4,MONTGOMERY,YORK AVENUE EL SCH
182,263,4,ALLEGHENY,BRADFORD WOODS EL SCH
2047,1438,4,CHESTER,VALLEY FORGE EL SCH
1143,1155,4,BUTLER,MARS AREA  ELEMENTARY  SCH
2048,4689,4,CHESTER,VALLEY FORGE MS
193,7796,4,BUCKS,BRIDGE VALLEY EL SCH
919,3276,4,MONTGOMERY,JENKINTOWN EL SCH
2227,4657,4,YORK,YORK SUBURBAN MS
212,7670,4,BUCKS,BUCKS CO MONTESSORI CS
1281,1690,4,CUMBERLAND,MOORELAND EL SCH
210,6733,4,LANCASTER,BUCHER EL SCH
1162,3808,4,PHILADELPHIA,MASTERMAN JULIA R SCH
2057,7198,4,CHESTER,VINCENT EL SCH
1229,1791,4,DAUPHIN,MIDDLE PAXTON EL SCH
2157,7996,4,ALLEGHENY,WEXFORD EL SCH
86,3293,4,MONTGOMERY,BALA-CYNWYD MS
124,7597,4,MONTGOMERY,BELMONT HILLS ELEM SCH
85,891,4,BLAIR,BAKER EL SCH
2110,6477,4,CHESTER,WEST BRADFORD EL SCH
83,4379,4,WESTMORELAND,BAGGALEY EL SCH
125,2314,4,INDIANA,BEN FRANKLIN EL SCH
2106,3294,4,MONTGOMERY,WELSH VALLEY MS
129,7326,4,ALLEGHENY,BENJAMIN FRANKLIN EL
1049,3358,4,MONTGOMERY,LIMERICK EL SCH
2163,3411,4,MONTGOMERY,WHITEMARSH EL SCH
2103,2819,4,LEHIGH,WEISENBERG EL SCH
1191,4490,4,WESTMORELAND,MCCULLOUGH EL SCH
1190,7952,4,ALLEGHENY,MCCORMICK ELEM SCH
2155,1458,4,CHESTER,WESTTOWN-THORNBURY E
1195,8052,4,ALLEGHENY,MCINTYRE EL SCH
1006,7442,4,LANCASTER,LANDISVILLE PRIMARY CTR
114,8077,4,JEFFERSON,BELL TWP EL SCH
2139,7260,4,BUCKS,WEST ROCKHILL SCHOOL
1208,6514,4,DELAWARE,MEDIA EL SCH
2137,4400,4,WESTMORELAND,WEST POINT EL SCH
103,4690,4,CHESTER,BEAUMONT EL SCH
1033,1041,4,BUCKS,LENAPE MS
105,1391,4,CHESTER,BEAVER CREEK EL SCH
97,2656,4,LANCASTER,BART-COLERAIN EL SCH
131,1339,4,CENTRE,BENNER EL SCH
107,1610,4,COLUMBIA,BEAVER-MAIN EL SCH
2145,7994,4,CHESTER,WEST VINCENT EL SCH
1203,7393,4,WASHINGTON,MCMURRAY EL SCH
1201,268,4,ALLEGHENY,MCKNIGHT EL SCH
110,1053,4,BUCKS,BEDMINSTER SCHOOL
1038,6186,4,WESTMORELAND,LEVEL GREEN EL SCH
1042,8073,4,LEHIGH,LIBERTY BELL EL SCH
1221,3287,4,MONTGOMERY,MERION EL SCH
1211,5361,4,WESTMORELAND,MELLON EL SCH
78,34,4,ALLEGHENY,AVONWORTH EL SCH
1062,8157,4,LEBANON,LINGLE AVENUE EL SCH
68,7433,4,MONTGOMERY,AUDUBON EL SCH
1088,8074,4,LEHIGH,LOWER MILFORD EL SCH
42,7534,4,ALLEGHENY,ANDREW W. MELLON MS
1161,7574,4,PHILADELPHIA,MAST COMMUNITY CS
2073,7407,4,MONTGOMERY,WALTON FARM EL SCH
2197,3245,4,MONTGOMERY,WISSAHICKON MS
1159,5101,4,ALLEGHENY,MARZOLF PRIMARY SCH
1158,1457,4,CHESTER,MARY C HOWSE EL SCH
1086,7491,4,MONTGOMERY,LOWER GWYNEDD EL SCH
1093,3044,4,LYCOMING,LOYALSOCK VALLEY EL
2067,1906,4,DELAWARE,WALLINGFORD EL SCH
1098,1530,4,CLEARFIELD,LUTHERSBURG EL SCH
1268,1698,4,CUMBERLAND,MONROE EL SCH
174,4211,4,WASHINGTON,BORLAND MANOR EL SCH
1273,4830,4,MONTGOMERY,MONTGOMERY EL SCH
2207,7573,4,MONTGOMERY,WORCESTER ELEM SCH
175,7594,4,WASHINGTON,BOWER HILL EL SCH
164,6470,4,MONTGOMERY,BLUE BELL EL SCH
2054,7752,4,MONTGOMERY,VERNFIELD ELEM SCHOOL
1083,7836,4,BUCKS,LOUIS F PFAFF ELEM SCHOOL
2079,1132,4,BUCKS,WARWICK EL SCH
2174,3520,4,NORTHAMPTON,WILLIAMS TOWNSHIP EL
982,1047,4,BUCKS,KUTZ EL SCH
2093,6512,4,DELAWARE,WAYNE ELEM
2092,2402,4,LACKAWANNA,WAVERLY SCH
978,2827,4,LEHIGH,KRATZER SCH
1178,4394,4,WESTMORELAND,MAXWELL EL SCH
1247,2558,4,LANCASTER,MILL ROAD EL SCH
