,School Number,Cluster,County,School
1328,2621,2,LANCASTER,NEFF EL SCH
1317,4210,2,WASHINGTON,MUSE EL SCH
1990,4276,2,WASHINGTON,TRINITY EAST EL SCH
1997,7630,2,BUCKS,TRUMBAUERSVILLE EL SCH
1994,7388,2,WASHINGTON,TRINITY WEST EL SCH
1143,1155,2,BUTLER,MARS AREA  ELEMENTARY  SCH
1141,6479,2,CHESTER,MARKLEY EL SCH
2073,7407,2,MONTGOMERY,WALTON FARM EL SCH
628,4672,2,LEHIGH,FOGELSVILLE SCH
1977,7715,2,BUCKS,TOHICKON MS
624,3385,2,MONTGOMERY,FITZWATER EL SCH
1342,1440,2,CHESTER,NEW EAGLE EL SCH
1146,8309,2,CHESTER,MARSH CREEK 6TH GRADE CENTER
1985,1421,2,CHESTER,TREDYFFRIN-EASTTOWN
1139,247,2,ALLEGHENY,MARKHAM EL SCH
516,1395,2,CHESTER,EAST GOSHEN EL SCH
1149,7379,2,ALLEGHENY,MARSHALL MS
1335,1905,2,DELAWARE,NETHER PROVIDENCE EL
1195,8052,2,ALLEGHENY,MCINTYRE EL SCH
2000,3572,2,NORTHUMBERLAND,TURBOTVILLE EL SCH
1386,3325,2,MONTGOMERY,NORTH WALES EL SCH
500,7063,2,BUCKS,DURHAM-NOCKAMIXON EL
501,7823,2,BEAVER,DUTCH RIDGE EL SCH
85,891,2,BLAIR,BAKER EL SCH
1963,7535,2,ALLEGHENY,THOMAS JEFFERSON MS
1373,6144,2,ERIE,NORTH EAST INTERMEDIATE
1372,1687,2,CUMBERLAND,NORTH DICKINSON EL SCH
1371,6487,2,CHESTER,NORTH COVENTRY EL SCH
1117,1875,2,DELAWARE,MANOA EL SCH
1970,6456,2,BUCKS,TINICUM EL SCH
509,1392,2,CHESTER,EAST BRADFORD EL SCH
164,6470,2,MONTGOMERY,BLUE BELL EL SCH
1364,5165,2,WESTMORELAND,NICELY EL SCH
86,3293,2,MONTGOMERY,BALA-CYNWYD MS
1972,1131,2,BUCKS,TITUS EL SCH
1122,7652,2,MONTGOMERY,MAPLE GLEN EL
1361,7432,2,BUCKS,NEWTOWN EL SCH
507,763,2,BERKS,EARL EL SCH
1357,4354,2,WESTMORELAND,NEWLONGSBURG EL SCH
1355,7830,2,BUCKS,NEW-HOPE SOLEBURY UPPER EL
1354,6963,2,LAWRENCE,NEW WILMINGTON EL SCH
1353,4617,2,YORK,NEW SALEM EL SCH
1365,4708,2,LANCASTER,NITRAUER EL SCH
2079,1132,2,BUCKS,WARWICK EL SCH
143,7714,2,DELAWARE,BETHEL SPRINGS EL
528,1396,2,CHESTER,EAST PIKELAND EL SCH
603,4601,2,YORK,FAWN EL SCH
1229,1791,2,DAUPHIN,MIDDLE PAXTON EL SCH
2044,6621,2,CHESTER,UWCHLAN HILLS EL SCH
1221,3287,2,MONTGOMERY,MERION EL SCH
2047,1438,2,CHESTER,VALLEY FORGE EL SCH
2048,4689,2,CHESTER,VALLEY FORGE MS
114,8077,2,JEFFERSON,BELL TWP EL SCH
583,8173,2,WAYNE,EVERGREEN EL SCH
1211,5361,2,WESTMORELAND,MELLON EL SCH
1208,6514,2,DELAWARE,MEDIA EL SCH
2040,7763,2,MONTGOMERY,UPPER PROVIDENCE ELEM SCHOOL
103,4690,2,CHESTER,BEAUMONT EL SCH
2054,7752,2,MONTGOMERY,VERNFIELD ELEM SCHOOL
1190,7952,2,ALLEGHENY,MCCORMICK ELEM SCH
1203,7393,2,WASHINGTON,MCMURRAY EL SCH
1191,4490,2,WESTMORELAND,MCCULLOUGH EL SCH
105,1391,2,CHESTER,BEAVER CREEK EL SCH
1201,268,2,ALLEGHENY,MCKNIGHT EL SCH
110,1053,2,BUCKS,BEDMINSTER SCHOOL
591,4588,2,YORK,FAIRVIEW EL SCH
2057,7198,2,CHESTER,VINCENT EL SCH
107,1610,2,COLUMBIA,BEAVER-MAIN EL SCH
586,1456,2,CHESTER,EXTON EL SCH
1178,4394,2,WESTMORELAND,MAXWELL EL SCH
1247,2558,2,LANCASTER,MILL ROAD EL SCH
1248,5226,2,ERIE,MILL VILLAGE EL SCH
619,4207,2,WASHINGTON,FIRST STREET EL SCH
532,5011,2,CHESTER,EAST WARD EL SCH
2014,4678,2,BUCKS,UNAMI MS
97,2656,2,LANCASTER,BART-COLERAIN EL SCH
541,7999,2,ALLEGHENY,EDEN HALL UPPER EL SCH
543,4853,2,BUCKS,EDGEWOOD ELEM
1281,1690,2,CUMBERLAND,MOORELAND EL SCH
2022,1442,2,CHESTER,UNIONVILLE EL SCH
1158,1457,2,CHESTER,MARY C HOWSE EL SCH
