,School Number,Cluster,County,School
1578,3111,0,MCKEAN,PORT ALLEGANY JSHS
1382,1781,0,DAUPHIN,NORTH SIDE EL SCH
1380,7950,0,SCHUYLKILL,NORTH SCHUYKILL ELEM SCHOOL
1375,4540,0,YORK,NORTH HILLS EL SCH
1369,5139,0,CLARION,NORTH CLARION CO EL
1367,7566,0,CENTRE,NITTANY VALLEY CS
1366,3463,0,NORTHAMPTON,NITSCHMANN MS
1359,7931,0,PERRY,NEWPORT MS
1358,5260,0,PERRY,NEWPORT EL SCH
1384,7259,0,SOMERSET,NORTH STAR EAST EL/M
1356,4585,0,YORK,NEWBERRY EL SCH
511,6261,0,MIFFLIN,EAST DERRY EL SCH
1345,8324,0,FRANKLIN,NEW FRANKLIN EL SCH
513,1374,0,CHESTER,EAST FALLOWFIELD EL
1344,7649,0,PHILADELPHIA,NEW FOUNDATIONS CS
515,6159,0,FOREST,EAST FOREST JSHS
1340,8276,0,YORK,NEW CUMBERLAND MS
518,2561,0,LANCASTER,EAST HIGH STREET EL
519,4956,0,NORTHAMPTON,EAST HILLS MS
1352,6898,0,ADAMS,NEW OXFORD MS
520,2394,0,JUNIATA,EAST JUNIATA JSHS
498,8312,0,LACKAWANNA,DUNMORE JSHS
496,5048,0,FAYETTE,DUNBAR TWP EL SCH
1420,1883,0,DELAWARE,NORWOOD SCH
1417,7856,0,PHILADELPHIA,NORTHWOOD ACADEMY CS
478,8228,0,LANCASTER,DONEGAL INTERMEDIATE SCHOOL
479,7165,0,LANCASTER,DONEGAL JHS
1409,2956,0,LUZERNE,NORTHWEST AREA PRIMARY SCHOOL
1408,2955,0,LUZERNE,NORTHWEST AREA INTERMEDIATE SCH
484,6283,0,YORK,DOVER AREA INTRMD SCH
1407,2958,0,LUZERNE,NORTHWEST AREA HS
497,6591,0,LACKAWANNA,DUNMORE EL CTR
1405,5143,0,DELAWARE,NORTHLEY MS
1401,6346,0,YORK,NORTHERN MS
1396,6859,0,CAMBRIA,NORTHERN CAMBRIA EL SCH
1395,747,0,BEDFORD,NORTHERN BEDFORD CO M/S HS
491,7661,0,LUZERNE,DRUMS ELEM/MIDDLE SCHOOL
492,1541,0,CLEARFIELD,DUBOIS AREA MS
1393,4578,0,YORK,NORTHEASTERN MS
1390,964,0,BRADFORD,NORTHEAST BRADFORD J
1387,5258,0,NORTHAMPTON,NORTHAMPTON AREA MIDDLE SCHOOL
1402,6931,0,POTTER,NORTHERN POTTER CHIL
1421,6623,0,CHESTER,NOTTINGHAM SCH
1331,5232,0,LACKAWANNA,NEIL ARMSTRONG NO 40
1326,1650,0,CRAWFORD,NEASON HILL EL SCH
551,4143,0,WARREN,EISENHOWER MS/HS
552,8137,0,LEBANON,ELCO INTERMEDIATE SCHOOL
1264,2686,0,LAWRENCE,MOHAWK JSHS
556,6862,0,LANCASTER,ELIZABETHTOWN AREA M
1260,6583,0,SCHUYLKILL,MINERSVILLE AREA JSH
1259,6699,0,SCHUYLKILL,MINERSVILLE AREA EL
1256,5353,0,NORTHUMBERLAND,MILTON AREA EL SCH
1254,7064,0,COLUMBIA,MILLVILLE AREA EL SCH
1267,1164,0,BUTLER,MONITEAU JSHS
561,3257,0,MONTGOMERY,ELKINS PARK SCH
1251,6010,0,GREENE,MILLER MS
1246,1570,0,CLINTON,MILL HALL EL SCH
565,69,0,ALLEGHENY,ELROY AVENUE EL SCH
566,1020,0,BUCKS,EMERSON EL SCH
1242,6809,0,UNION,MIFFLINBURG AREA MS
568,1134,0,BUTLER,EMILY BRITTAIN EL SCH
1235,6566,0,BEAVER,MIDLAND EL/MS
1234,1785,0,DAUPHIN,MIDDLETOWN AREA MIDDLE SCHOOL
1252,6682,0,DAUPHIN,MILLERSBURG AREA MS
522,3265,0,MONTGOMERY,EAST NORRITON MS
1269,2391,0,JUNIATA,MONROE TWP EL SCH
1274,3040,0,LYCOMING,MONTGOMERY JSHS
524,5220,0,CUMBERLAND,EAST PENNSBORO AREA MS
1322,7924,0,CUMBERLAND,NANCY GRAYSON ELEM SCHOOL
1314,3048,0,LYCOMING,MUNCY JSHS
1312,4919,0,BERKS,MUHLENBERG ELEM CTR
1311,2780,0,LEHIGH,MUHLENBERG EL SCH
1308,5205,0,BERKS,MT PENN EL SCH
1307,1686,0,CUMBERLAND,MT HOLLY SPRINGS EL
1306,7199,0,BLAIR,MOWRIE A EBNER EL SCH
1271,7800,0,ERIE,MONTESSORI REGIONAL CS
1302,4049,0,SUSQUEHANNA,MOUNTAIN VIEW JSHS
1293,7498,0,NORTHUMBERLAND,MOUNT CARMEL AREA EL
1291,169,0,ALLEGHENY,MOSS SIDE MS
1290,1550,0,CLEARFIELD,MOSHANNON VALLEY JSH
1289,6929,0,CLEARFIELD,MOSHANNON VALLEY EL
540,5043,0,DELAWARE,EDDYSTONE EL SCH
542,1926,0,DELAWARE,EDGEWOOD EL SCH
1282,1169,0,BUTLER,MORAINE EL SCH
1275,4044,0,SUSQUEHANNA,MONTROSE AREA JSHS
1294,8135,0,NORTHUMBERLAND,MOUNT CARMEL AREA JHS
1432,1414,0,CHESTER,OCTORARA AREA JSHS
472,7301,0,NORTHAMPTON,DOMENICK DEFRANCO EL
1433,8004,0,CHESTER,OCTORARA INTERMEDIATE SCH
383,8226,0,CRAWFORD,CONNEAUT VALLEY MS
384,2021,0,ERIE,CONNELL EL SCH
1596,7831,0,ALLEGHENY,PROPEL CS - MCKEESPORT
386,2103,0,FAYETTE,CONNELLSVILLE TWP EL
1593,7848,0,ALLEGHENY,PROPEL CS - EAST
390,7651,0,BERKS,CONRAD WEISER MIDDLE SCHOOL
391,5203,0,BERKS,CONRAD WEISER WEST ELEM
1590,7359,0,DELAWARE,PRIMOS EL SCH
1597,7832,0,ALLEGHENY,PROPEL CS - MONTOUR
1585,3783,0,PHILADELPHIA,POWEL SAMUEL SCH
1581,1270,0,CAMBRIA,PORTAGE AREA HS
399,6944,0,ALLEGHENY,CORNELL EL SCH
1577,7055,0,MCKEAN,PORT ALLEGANY EL SCH
1576,1077,0,BUCKS,POQUESSING MS
1571,8010,0,MONROE,POCONO MT EAST JHS
1567,7183,0,MONROE,PLEASANT VALLEY MS
404,1997,0,ERIE,CORRY AREA INTERMEDIATE SCH
1566,7660,0,MONROE,PLEASANT VALLEY INTRM
1583,6746,0,MONTGOMERY,POTTSGROVE MS
406,3868,0,POTTER,COUDERSPORT AREA EL
1600,6508,0,DELAWARE,PROSPECT PARK SCH
1605,2350,0,INDIANA,PURCHASE LINE JSHS
358,24,0,ALLEGHENY,COLFAX UPPER EL SCH
359,7628,0,CHESTER,COLLEGIUM CS
1633,3165,0,MERCER,REYNOLDS JSHS
